Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Sigma	Salinity [psu]	oxper [%]	oxconc	Temperature [C]	fluor [v]	tran [v]	PAR
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	1	0.991	21.7395	27.7372	93.58814	9.5469	6.7005	0.4215	1.7243	1.98E+02
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	2	1.981	21.7643	27.766	93.67721	9.55819	6.6829	0.5474	1.7331	7.67E+01
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	3	2.972	21.7883	27.795	93.75971	9.56691	6.6736	0.6184	1.7357	3.48E+01
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	4	3.963	21.8926	27.9235	93.82285	9.5717	6.6456	0.6469	1.7899	1.54E+01
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	5	4.953	22.0274	28.0891	93.66962	9.55424	6.6082	0.7301	1.7975	7.16E+00
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	6	5.944	22.8562	29.1095	93.35796	9.5077	6.3935	0.7496	2.2156	3.57E+00
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	7	6.934	23.1007	29.4033	92.36325	9.4131	6.283	0.6179	2.3914	2.34E+00
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	8	7.925	23.2536	29.5831	91.08956	9.29341	6.188	0.4551	2.3201	1.38E+00
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	9	8.916	23.3929	29.7484	90.24992	9.21471	6.111	0.4109	2.185	8.16E-01
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	10	9.906	23.495	29.8702	89.53688	9.14595	6.0592	0.3621	2.0879	4.73E-01
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	11	10.897	23.5955	29.9895	88.85437	9.08106	6.0043	0.3277	1.95	2.54E-01
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	12	11.887	23.7041	30.1187	88.28311	9.0276	5.9462	0.2771	1.7823	1.11E-01
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	13	12.878	23.7406	30.1619	88.0806	9.00886	5.9252	0.2725	1.5914	7.86E-02
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	14	13.869	23.7487	30.1714	87.84175	8.98493	5.9203	0.2632	1.603	4.85E-02
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	15	14.859	23.7551	30.179	87.76373	8.97715	5.9172	0.2649	1.4584	4.22E-02
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	16	15.85	23.7612	30.1863	87.5984	8.96061	5.9136	0.2638	1.4108	3.80E-02
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	17	16.84	23.7633	30.1887	87.50873	8.95154	5.9124	0.2611	1.3138	3.67E-02
2	38	c	5/25/2004	16:47	-152.56667	60.00667	24	18	17.831	23.7629	30.1882	87.53019	8.95374	5.9125	0.2624	1.2128	3.62E-02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	1	0.991	21.6243	27.6329	88.48373	8.97289	6.9789	0.3475	2.4666	2.09E+02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	2	1.981	21.9374	28.0089	79.03838	8.02303	6.8345	0.4809	2.4724	1.17E+02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	3	2.972	22.6851	28.9136	78.17129	7.94459	6.5345	0.4742	2.4477	7.63E+01
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	4	3.962	22.9392	29.2191	76.95088	7.8261	6.4208	0.4723	2.434	4.84E+01
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	5	4.953	23.1317	29.4487	75.21102	7.65551	6.3229	0.5039	2.457	2.75E+01
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	6	5.944	23.3458	29.6971	75.21851	7.67217	6.1679	0.5082	2.3952	1.59E+01
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	7	6.934	23.6477	30.053	78.62703	8.03611	5.9849	0.5056	2.2478	1.05E+01
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	8	7.925	23.7273	30.1472	81.69701	8.35387	5.9394	0.4243	2.0704	5.61E+00
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	9	8.916	23.7861	30.2176	81.954	8.38174	5.9124	0.3881	1.8363	3.00E+00
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	10	9.906	23.8075	30.2468	80.0271	8.18041	5.9261	0.3264	1.7287	1.41E+00
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	11	10.897	23.813	30.253	78.72334	8.04788	5.9207	0.3315	1.6799	8.07E-01
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	12	11.887	23.819	30.2601	76.60957	7.83199	5.9176	0.3559	1.6375	3.20E-01
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	13	12.878	23.8149	30.2545	77.70614	7.94495	5.9147	0.2739	1.5771	1.60E-01
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	14	13.869	23.8068	30.2433	81.64518	8.3496	5.9082	0.2804	1.4999	7.31E-02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	15	14.859	23.804	30.2388	83.74014	8.56546	5.9015	0.2343	1.496	5.04E-02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	16	15.85	23.8038	30.2385	84.79782	8.67356	5.902	0.2375	1.3956	4.12E-02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	17	16.84	23.8066	30.242	85.52735	8.74807	5.9016	0.2439	1.4122	3.80E-02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	18	17.831	23.8071	30.2426	85.81309	8.77731	5.9014	0.234	1.4303	3.67E-02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	19	18.821	23.8065	30.2418	86.11484	8.80819	5.9015	0.2338	1.3107	3.62E-02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	20	19.812	23.8075	30.2431	86.17501	8.81424	5.9017	0.2345	1.2586	3.63E-02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	21	20.803	23.8081	30.2439	86.19261	8.81603	5.9015	0.2335	1.3284	3.63E-02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	22	21.793	23.8085	30.2444	86.27401	8.82428	5.9017	0.2341	1.2587	3.63E-02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	23	22.784	23.8085	30.2444	86.39392	8.83661	5.9014	0.2282	1.3455	3.63E-02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	24	23.774	23.8094	30.2455	86.44906	8.84223	5.9012	0.2258	1.3569	3.63E-02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	25	24.765	23.8102	30.2464	86.55533	8.85304	5.9012	0.2377	1.381	3.63E-02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	26	25.755	23.8106	30.2469	86.63247	8.86099	5.9008	0.2309	1.1166	3.63E-02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	27	26.746	23.8107	30.247	86.66009	8.86379	5.9009	0.2314	1.2482	3.63E-02
2	39	c	5/25/2004	16:34	-152.53667	59.99667	32	28	27.737	23.8111	30.2474	86.55998	8.85366	5.9003	0.2336	1.3716	3.63E-02
2	40	c	5/25/2004	16:22	-152.51	59.98667	35	1	0.991	22.0596	28.1848	91.42243	9.24062	6.9664	0.208	2.5334	2.48E+02
2	40	c	5/25/2004	16:22	-152.51	59.98667	35	2	1.981	22.179	28.3218	90.19805	9.12945	6.8703	0.2633	2.5407	1.36E+02
