Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Temperature [C]	fluor [v]	Depth [m]	Sigma	Salinity [psu]
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	1	11.7102	0.4588	0.991	21.1376	27.9064
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	2	11.5894	0.4223	1.981	21.2863	28.0712
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	3	11.2355	0.3735	2.972	21.7057	28.5335
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	4	11.0402	0.3286	3.962	21.9184	28.7646
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	5	10.9767	0.324	4.953	21.9862	28.8382
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	6	10.9576	0.311	5.944	22.0059	28.8594
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	7	10.9572	0.3158	6.934	22.0059	28.8592
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	8	10.9536	0.3129	7.925	22.0097	28.8633
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	9	10.9498	0.3146	8.916	22.013	28.8667
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	10	10.9491	0.3084	9.906	22.0138	28.8675
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	11	10.9506	0.3095	10.897	22.0125	28.8662
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	12	10.9497	0.3097	11.887	22.0132	28.8668
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	13	10.9482	0.3091	12.878	22.0144	28.868
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	14	10.9493	0.3105	13.869	22.0128	28.8662
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	15	10.9491	0.3087	14.859	22.0131	28.8665
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	16	10.9495	0.3087	15.85	22.0126	28.866
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	17	10.9489	0.3089	16.84	22.0134	28.8668
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	18	10.9495	0.3132	17.831	22.0122	28.8654
4	38	c	7/17/2004	13:24	-152.56667	60.00667	24	19	10.9507	0.3105	18.822	22.0111	28.8642
4	42	c	7/17/2004	13:24	-152.42167	59.95667	30	1	11.1855	0.379	0.99	21.7224	28.544
4	42	c	7/17/2004	13:24	-152.42167	59.95667	30	2	11.1654	0.3681	1.981	21.7946	28.6325
4	42	c	7/17/2004	13:24	-152.42167	59.95667	30	3	11.1611	0.3583	2.972	21.7985	28.6367
4	42	c	7/17/2004	13:24	-152.42167	59.95667	30	4	11.1357	0.3462	3.963	21.8298	28.6714
