Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Sigma	Salinity [psu]	oxper [%]	oxconc	Temperature [C]	tran [v]	fluor [v]
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	1	0.991	20.1324	26.9795	87.78698	7.76379	13.303	2.7722	0.169
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	2	1.981	20.1336	26.98	87.86612	7.77142	13.299	2.773	0.1649
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	3	2.972	20.1484	26.9918	87.79346	7.76946	13.2682	2.7643	0.1826
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	4	3.963	20.1643	27.0045	87.69866	7.76568	13.2363	2.7474	0.2091
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	5	4.953	20.2014	27.0387	87.5952	7.7643	13.1788	2.7163	0.2439
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	6	5.944	20.2109	27.0469	87.38037	7.74754	13.1625	2.7058	0.243
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	7	6.934	20.2471	27.0828	87.10448	7.72872	13.1174	2.6914	0.2502
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	8	7.925	20.3725	27.2087	86.83394	7.7235	12.9654	2.5995	0.2539
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	9	8.916	20.4333	27.2723	86.49909	7.70084	12.903	2.5692	0.2422
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	10	9.906	20.5693	27.422	86.29419	7.69353	12.7922	2.411	0.2403
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	11	10.897	20.6625	27.5247	86.05636	7.67963	12.7174	2.2185	0.2325
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	12	11.888	20.7606	27.6354	85.80215	7.66284	12.6488	2.0166	0.2295
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	13	12.878	20.8288	27.7121	85.70724	7.65854	12.6008	1.8871	0.2239
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	14	13.869	20.8632	27.7507	85.74539	7.66416	12.5759	1.8181	0.2116
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	15	14.859	20.876	27.7654	85.7284	7.66324	12.568	1.7807	0.2274
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	16	15.85	20.8818	27.7719	85.7069	7.66167	12.5639	1.7614	0.2246
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	17	16.841	20.8885	27.7797	85.62496	7.65456	12.5603	1.7149	0.2197
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	18	17.831	20.894	27.7861	85.61562	7.65391	12.5573	1.7042	0.2228
5	38	c	8/16/2004	14:51	-152.56667	60.00667	22	19	18.822	20.8953	27.7876	85.61828	7.65417	12.5567	1.6778	0.2245
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	1	0.991	20.2173	27.1152	87.98283	7.75741	13.4079	3.0362	0.1631
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	2	1.981	20.2219	27.1174	87.97029	7.75872	13.3925	3.039	0.1597
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	3	2.972	20.2329	27.1159	87.87269	7.76068	13.3282	3.0418	0.1911
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	4	3.963	20.242	27.1149	87.67052	7.75141	13.2759	3.0782	0.2187
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	5	4.953	20.2599	27.1226	87.36447	7.73431	13.2125	3.0966	0.244
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	6	5.944	20.3564	27.2196	86.788	7.69743	13.0969	3.1049	0.2572
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	7	6.935	20.5659	27.4536	86.45695	7.68194	12.9428	3.2115	0.2594
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	8	7.925	20.5958	27.4865	86.20477	7.66186	12.9188	3.231	0.2604
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	9	8.916	20.6706	27.5687	85.82913	7.63445	12.8578	3.2151	0.256
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	10	9.906	20.7639	27.67	85.45276	7.60927	12.7767	3.2011	0.2262
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	11	10.897	20.8835	27.8001	85.22786	7.59979	12.6733	3.1583	0.2195
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	12	11.888	20.9213	27.8405	85.11872	7.594	12.6371	3.1354	0.2149
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	13	12.878	20.9837	27.9083	85.16491	7.60366	12.583	3.0394	0.2175
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	14	13.869	21.0074	27.9334	85.15892	7.60568	12.5599	3.0026	0.211
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	15	14.859	21.0086	27.9345	85.11008	7.60161	12.5578	3.0007	0.2146
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	16	15.85	21.0284	27.9558	84.93743	7.58802	12.5402	2.9713	0.2229
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	17	16.84	21.053	27.9826	84.85405	7.5828	12.5186	2.8824	0.2073
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	18	17.831	21.1314	28.0694	84.78725	7.58265	12.4572	2.6152	0.1999
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	19	18.822	21.1738	28.1165	84.66691	7.57503	12.424	2.5202	0.2003
5	39	c	8/16/2004	14:41	-152.53667	59.99667	31	20	19.812	21.2171	28.1649	84.65967	7.57723	12.3923	2.4445	0.1981
