Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Temperature [C]	Sigma	Salinity [psu]	oxper [%]	oxconc	tran [v]	flour [v]
6	38	c	9/9/2004	8:47	-152.56667	60.00667	22	1	0.991	12.3187	20.6072	27.3603	85.11376	7.66854	3.6151	0.2741
6	38	c	9/9/2004	8:47	-152.56667	60.00667	22	2	1.981	12.6632	20.8642	27.773	84.42761	7.53127	3.7122	0.2485
6	38	c	9/9/2004	8:47	-152.56667	60.00667	22	3	2.972	12.7789	20.9216	27.8748	84.198	7.48768	3.7058	0.2361
6	38	c	9/9/2004	8:47	-152.56667	60.00667	22	4	3.963	12.8094	21.008	27.9938	83.7342	7.43607	3.7003	0.219
6	38	c	9/9/2004	8:47	-152.56667	60.00667	22	5	4.953	12.7617	21.0923	28.0915	83.58077	7.42544	3.5947	0.2098
6	38	c	9/9/2004	8:47	-152.56667	60.00667	22	6	5.944	12.7515	21.1087	28.1102	83.44103	7.41377	3.5437	0.2166
6	38	c	9/9/2004	8:47	-152.56667	60.00667	22	7	6.934	12.7365	21.1356	28.1414	83.45237	7.4157	3.4667	0.2092
6	38	c	9/9/2004	8:47	-152.56667	60.00667	22	8	7.925	12.7309	21.1474	28.1553	83.29478	7.40194	3.4489	0.213
6	38	c	9/9/2004	8:47	-152.56667	60.00667	22	9	8.916	12.7199	21.1746	28.1878	83.10206	7.38505	3.3916	0.2168
6	38	c	9/9/2004	8:47	-152.56667	60.00667	22	10	9.906	12.7179	21.181	28.1956	83.18053	7.39196	3.3793	0.2039
6	38	c	9/9/2004	8:47	-152.56667	60.00667	22	11	10.897	12.7188	21.1786	28.1926	83.1627	7.39038	3.3787	0.2033
6	38	c	9/9/2004	8:47	-152.56667	60.00667	22	12	11.888	12.7193	21.1782	28.1923	83.22235	7.39562	3.387	0.2078
6	38	c	9/9/2004	8:47	-152.56667	60.00667	22	13	12.878	12.7205	21.1749	28.1883	83.24849	7.39794	3.3944	0.2044
6	38	c	9/9/2004	8:47	-152.56667	60.00667	22	14	13.869	12.7173	21.1941	28.2123	83.19976	7.393	3.4104	0.2012
6	38	c	9/9/2004	8:47	-152.56667	60.00667	22	15	14.859	12.7144	21.2093	28.2312	83.13801	7.3871	3.3961	0.2046
6	38	c	9/9/2004	8:47	-152.56667	60.00667	22	16	15.849	12.715	21.2101	28.2323	82.95721	7.37089	3.4476	0.1981
6	39	c	9/9/2004	9:03	-152.53667	59.99667	31	1	0.991	12.5903	20.932	27.8435	83.1889	7.42909	3.8046	0.1819
6	39	c	9/9/2004	9:03	-152.53667	59.99667	31	2	1.981	12.5909	20.9577	27.8769	83.29527	7.43694	3.8031	0.1829
6	39	c	9/9/2004	9:03	-152.53667	59.99667	31	3	2.972	12.6172	20.9858	27.9194	83.43322	7.44311	3.7988	0.1863
6	39	c	9/9/2004	9:03	-152.53667	59.99667	31	4	3.963	12.6634	21.0114	27.9634	83.39228	7.43011	3.7925	0.1935
6	39	c	9/9/2004	9:03	-152.53667	59.99667	31	5	4.953	12.6742	21.0172	27.9735	83.36059	7.42511	3.7911	0.2005
6	39	c	9/9/2004	9:03	-152.53667	59.99667	31	6	5.944	12.7144	21.0344	28.0052	83.47811	7.42777	3.7871	0.1927
6	39	c	9/9/2004	9:03	-152.53667	59.99667	31	7	6.934	12.7728	21.0572	28.0487	83.40756	7.41028	3.7738	0.1992
6	39	c	9/9/2004	9:03	-152.53667	59.99667	31	8	7.925	12.7878	21.0612	28.0574	83.39194	7.40614	3.7625	0.1956
