Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Sigma	Salinity [psu]	oxper [%]	oxconc	Temperature [C]	fluor [v]	tran [v]	PAR
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	1	0.991	24.9022	31.4416	85.67953	8.9838	4.551	0.4213	4.1293	1.54E+01
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	2	1.981	24.8981	31.4363	85.97447	9.01513	4.5505	0.4332	4.1359	1.17E+01
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	3	2.972	24.9056	31.4492	86.03645	9.01512	4.5766	0.4259	4.1316	8.72E+00
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	4	3.963	24.9096	31.456	86.00901	9.00865	4.591	0.4294	4.1251	6.77E+00
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	5	4.953	24.9189	31.4688	85.98715	9.00387	4.5989	0.4384	4.1133	5.54E+00
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	6	5.944	24.9206	31.4718	85.9555	8.99883	4.6058	0.4438	4.1061	4.69E+00
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	7	6.935	24.9218	31.4734	85.92017	8.99496	4.6062	0.4367	4.1081	3.44E+00
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	8	7.925	24.9215	31.4729	85.85537	8.98828	4.6059	0.4352	4.109	1.60E+00
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	9	8.916	24.9234	31.4757	85.84935	8.98683	4.6089	0.4469	4.1102	2.92E+00
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	10	9.906	24.9233	31.4757	85.83398	8.98507	4.6096	0.4574	4.1077	2.59E+00
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	11	10.897	24.9237	31.4763	85.87428	8.98908	4.6103	0.4467	4.1077	2.27E+00
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	12	11.888	24.9235	31.4759	85.8995	8.99179	4.6101	0.4436	4.1062	2.00E+00
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	13	12.878	24.9235	31.4761	85.92826	8.99461	4.6109	0.4486	4.1094	1.77E+00
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	14	13.869	24.9245	31.4774	85.91847	8.99328	4.612	0.4338	4.1078	1.54E+00
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	15	14.859	24.9254	31.4789	85.93321	8.99429	4.614	0.431	4.1036	1.36E+00
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	16	15.85	24.9253	31.4788	85.87992	8.98866	4.6142	0.4428	4.1143	1.20E+00
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	17	16.84	24.9254	31.4789	85.93709	8.99468	4.6141	0.4416	4.1143	1.08E+00
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	18	17.831	24.9256	31.4791	85.89177	8.98981	4.6146	0.4644	4.1147	9.61E-01
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	19	18.822	24.9257	31.4793	85.79789	8.9799	4.6149	0.4415	4.1165	8.13E-01
1	55	c	4/21/2004	7:16	-151.65	59.49167	20	20	19.813	24.9256	31.4791	85.84162	8.98467	4.6141	0.4002	4.1172	2.08E-01
1	56	c	4/21/2004	7:29	-151.65	59.50833	100	2	1.981	24.9749	31.527	84.01972	8.81524	4.5025	0.4014	4.1862	1.70E+01
1	56	c	4/21/2004	7:29	-151.65	59.50833	100	3	2.972	24.9743	31.5263	84.52766	8.86849	4.5029	0.4042	4.1861	1.33E+01
1	56	c	4/21/2004	7:29	-151.65	59.50833	100	4	3.963	24.974	31.526	84.56643	8.87245	4.5035	0.4016	4.1881	1.07E+01
1	56	c	4/21/2004	7:29	-151.65	59.50833	100	5	4.953	24.9742	31.5263	84.58291	8.87394	4.5045	0.4063	4.1903	1.03E+02
1	56	c	4/21/2004	7:29	-151.65	59.50833	100	6	5.944	24.9741	31.5262	84.55168	8.87063	4.5047	0.4089	4.1874	4.87E+02
1	56	c	4/21/2004	7:29	-151.65	59.50833	100	7	6.934	24.9748	31.5271	84.55726	8.87115	4.5047	0.3945	4.1887	1.88E+03
1	56	c	4/21/2004	7:29	-151.65	59.50833	100	8	7.925	24.9749	31.5273	84.56786	8.87222	4.5049	0.4036	4.1911	1.20E+03
1	56	c	4/21/2004	7:29	-151.65	59.50833	100	9	8.916	24.9739	31.5258	84.58149	8.87399	4.5037	0.4044	4.1915	2.85E+01
1	56	c	4/21/2004	7:29	-151.65	59.50833	100	10	9.906	24.9762	31.5278	84.57804	8.87506	4.4966	0.3993	4.1895	4.82E+00
1	56	c	4/21/2004	7:29	-151.65	59.50833	100	11	10.897	24.978	31.5294	84.59873	8.87823	4.4916	0.3884	4.1889	4.30E+00
1	56	c	4/21/2004	7:29	-151.65	59.50833	100	12	11.888	24.9799	31.5313	84.55821	8.87481	4.4873	0.3771	4.1885	3.82E+00
1	56	c	4/21/2004	7:29	-151.65	59.50833	100	13	12.878	24.9816	31.533	84.4844	8.86762	4.4842	0.3875	4.1885	3.39E+00
