Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Temperature [C]	fluor [v]	Depth [m]	Sigma	Salinity [psu]
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	1	11.1146	0.8946	0.991	23.2433	30.486
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	2	10.6148	0.9664	1.981	23.4979	30.7038
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	3	10.3951	1.0134	2.972	23.6246	30.8193
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	4	10.2771	1.0145	3.963	23.6997	30.8906
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	5	10.1863	1.0167	4.953	23.7539	30.9409
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	6	9.9794	0.9881	5.944	23.8809	31.0605
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	7	9.661	0.9023	6.934	24.0563	31.2195
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	8	9.531	0.8227	7.925	24.1179	31.272
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	9	9.4997	0.7932	8.916	24.1305	31.2817
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	10	9.3928	0.7712	9.906	24.1767	31.3193
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	11	9.3661	0.7609	10.897	24.1859	31.3258
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	12	9.35	0.7508	11.887	24.1916	31.3297
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	13	9.345	0.7416	12.878	24.193	31.3306
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	14	9.3276	0.7377	13.869	24.1995	31.3353
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	15	9.3171	0.726	14.859	24.203	31.3376
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	16	9.3011	0.7162	15.85	24.2089	31.3421
4	55	c	7/18/2004	23:46	-151.65	59.49167	20	17	9.2972	0.7172	16.84	24.2102	31.3429
4	57	c	7/18/2004	23:46	-151.65	59.525	109	1	11.9653	0.6773	0.991	22.7481	30.0425
4	57	c	7/18/2004	23:46	-151.65	59.525	109	2	12.0918	0.7081	1.981	22.7492	30.0733
