Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Sigma	Salinity [psu]	oxper [%]	oxconc	Temperature [C]	tran [v]	fluor [v]
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	1	0.99	23.7161	30.9847	84.09103	7.68376	10.6171	3.8531	0.3594
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	2	1.981	23.7354	30.9957	83.73909	7.66176	10.5533	3.849	0.3653
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	3	2.972	23.7461	31.003	83.50037	7.64447	10.5241	3.8456	0.3532
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	4	3.963	23.7501	31.0055	83.38646	7.63592	10.5121	3.8515	0.344
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	5	4.953	23.7624	31.0123	83.13427	7.6195	10.4703	3.855	0.3492
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	6	5.944	23.7715	31.0178	83.05034	7.61632	10.4417	3.8544	0.3665
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	7	6.934	23.772	31.0189	83.07421	7.61819	10.4434	3.8515	0.3473
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	8	7.925	23.7705	31.0174	82.83678	7.5961	10.4457	3.8611	0.3729
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	9	8.916	23.7723	31.018	82.55853	7.57188	10.4377	3.8492	0.3376
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	10	9.906	23.7768	31.0204	82.63142	7.58098	10.4225	3.8556	0.3481
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	11	10.897	23.7802	31.0226	82.72489	7.59118	10.4122	3.8646	0.3619
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	12	11.888	23.7818	31.0231	82.74595	7.59427	10.4051	3.8626	0.3249
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	13	12.878	23.7838	31.0246	82.66849	7.58793	10.4001	3.8535	0.3275
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	14	13.869	23.7842	31.0244	82.54896	7.57742	10.3974	3.8576	0.3344
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	15	14.859	23.7904	31.0274	82.33137	7.56109	10.3746	3.8583	0.3127
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	16	15.85	23.7927	31.0294	82.23629	7.55307	10.3698	3.8615	0.3271
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	17	16.84	23.7944	31.03	82.31437	7.56144	10.3624	3.8679	0.3202
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	18	17.831	23.795	31.0307	82.35477	7.5651	10.3625	3.8592	0.3592
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	19	18.822	23.7936	31.0295	82.23349	7.55349	10.3656	3.8611	0.3426
5	55	c	8/18/2004	4:09	-151.65	59.49167	20	20	19.812	23.7946	31.0302	82.18735	7.5497	10.3628	3.8485	0.3009
5	56	c	8/18/2004	4:21	-151.65	59.50833	100	1	0.991	23.4985	30.8459	92.34097	8.32851	11.2542	3.7178	0.7678
5	56	c	8/18/2004	4:21	-151.65	59.50833	100	2	1.981	23.5449	30.869	91.91122	8.31789	11.0914	3.7274	0.7351
5	56	c	8/18/2004	4:21	-151.65	59.50833	100	3	2.972	23.5576	30.8792	91.37803	8.27402	11.064	3.7122	0.7298
5	56	c	8/18/2004	4:21	-151.65	59.50833	100	4	3.963	23.5706	30.8846	90.55792	8.20855	11.0132	3.7542	0.7758
5	56	c	8/18/2004	4:21	-151.65	59.50833	100	5	4.953	23.5921	30.8969	89.72245	8.14452	10.9436	3.7359	0.7125
5	56	c	8/18/2004	4:21	-151.65	59.50833	100	6	5.944	23.606	30.905	87.86067	7.98264	10.9002	3.7453	0.5792
5	56	c	8/18/2004	4:21	-151.65	59.50833	100	7	6.935	23.6405	30.9244	86.12778	7.84362	10.7869	3.7957	0.454
5	56	c	8/18/2004	4:21	-151.65	59.50833	100	8	7.925	23.6819	30.9472	84.8185	7.74678	10.648	3.8611	0.4408
5	56	c	8/18/2004	4:21	-151.65	59.50833	100	9	8.916	23.7236	30.9726	83.96756	7.68988	10.5172	3.8883	0.3665
