Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Temperature [C]	Sigma	Salinity [psu]	oxper [%]	oxconc	tran [v]	flour [v]
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	1	0.991	13.4771	21.9134	29.3303	94.47611	8.20453	3.9501	0.488
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	2	1.981	13.3375	22.1007	29.5378	95.45286	8.3029	3.8982	0.6359
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	3	2.972	13.2948	22.1159	29.5467	95.71693	8.33289	3.9002	0.7047
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	4	3.963	13.1818	22.1638	29.5804	96.03343	8.37851	3.8689	0.8168
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	5	4.953	13.1451	22.1795	29.5917	95.5463	8.34186	3.8589	0.8784
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	6	5.944	13.0438	22.2271	29.628	94.89677	8.30096	3.8818	0.9359
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	7	6.934	13.0055	22.2493	29.6473	94.53564	8.27505	3.9175	0.943
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	8	7.925	12.9443	22.2785	29.67	94.07939	8.24457	3.9303	1.0155
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	9	8.916	12.8898	22.3064	29.6927	93.92297	8.23918	3.9382	0.9343
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	10	9.906	12.8351	22.3377	29.7197	94.02099	8.25591	3.9554	1.0256
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	11	10.897	12.7751	22.3711	29.7482	93.72789	8.23916	3.9088	0.9564
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	12	11.887	12.7101	22.4045	29.7756	93.17838	8.20073	3.9511	0.9073
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	13	12.878	12.6114	22.4558	29.818	93.13081	8.21155	3.9817	0.8272
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	14	13.869	12.5981	22.462	29.8227	92.98398	8.20066	4.0094	0.7771
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	15	14.859	12.5677	22.4779	29.8359	93.0511	8.2112	4.0192	0.7413
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	16	15.85	12.5693	22.4769	29.835	92.90993	8.19852	4.038	0.7281
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	17	16.84	12.5601	22.4818	29.839	93.1822	8.22394	4.0438	0.688
6	55	c	9/9/2004	20:24	-151.65	59.49167	18	18	17.831	12.5531	22.4854	29.842	93.40387	8.24457	4.0461	0.7078
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	1	0.991	13.3836	22.2427	29.7332	94.90225	8.23708	4.0607	0.5615
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	2	1.981	13.4014	22.2359	29.7289	94.94108	8.23759	4.0596	0.5757
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	3	2.972	13.4063	22.2363	29.7305	94.89508	8.23267	4.0705	0.5476
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	4	3.963	13.4274	22.2276	29.7245	94.84821	8.22528	4.0611	0.572
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	5	4.953	13.4335	22.2244	29.7219	94.73765	8.21478	4.0724	0.5676
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	6	5.944	13.2143	22.2931	29.7559	95.20036	8.29121	4.0425	0.8874
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	7	6.934	12.8594	22.3949	29.7997	95.21108	8.35194	3.9819	1.0163
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	8	7.925	12.7589	22.4388	29.832	94.82054	8.33371	3.9766	1.0507
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	9	8.916	12.6257	22.5157	29.899	94.17564	8.29694	3.9651	1.0784
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	10	9.906	12.53	22.5517	29.9224	93.59463	8.26132	3.987	0.9896
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	11	10.897	12.4921	22.5611	29.9254	93.00369	8.21562	3.9956	0.9626
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	12	11.887	12.4047	22.5857	29.9361	92.78186	8.21072	4.0051	0.94
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	13	12.878	12.3689	22.619	29.9705	92.62716	8.20151	4.0191	0.9383
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	14	13.869	12.345	22.6315	29.981	92.16081	8.16385	4.0267	0.9381
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	15	14.859	12.2875	22.6462	29.9862	91.9796	8.15752	4.0182	1.017
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	16	15.85	12.2795	22.6652	30.0088	91.90648	8.15127	4.0141	0.9186
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	17	16.84	12.2271	22.6848	30.0217	91.47198	8.12115	4.0351	0.8709
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	18	17.831	12.1691	22.7093	30.0396	91.1546	8.10209	4.0472	0.8878
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	19	18.821	12.101	22.7314	30.0521	90.54998	8.05942	4.0513	0.8578
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	20	19.812	11.795	22.8723	30.1625	88.66386	7.938	4.0385	0.7549
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	21	20.803	11.2263	23.1564	30.3989	87.8533	7.95088	4.1079	0.6834
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	22	21.793	11.1111	23.2109	30.4432	87.59249	7.94493	4.1421	0.7439
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	23	22.784	10.9784	23.2743	30.4953	87.97619	8.00023	4.1111	0.8738
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	24	23.774	10.7602	23.4009	30.6102	88.21443	8.05433	4.0505	1.0508
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	25	24.765	10.6327	23.475	30.6777	87.77168	8.03289	4.0462	0.8938
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	26	25.755	10.5973	23.4941	30.6946	87.35331	7.99996	4.0698	0.8548
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	27	26.746	10.5829	23.5016	30.701	87.10906	7.97979	4.0935	0.7776
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	28	27.736	10.5542	23.52	30.7184	86.86139	7.96124	4.1234	0.6953
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	29	28.727	10.4625	23.5753	30.7698	86.53667	7.94488	4.1434	0.6671
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	30	29.718	10.3992	23.6112	30.8024	86.0338	7.9081	4.1459	0.6278
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	31	30.708	10.3	23.6675	30.8534	85.25826	7.85142	4.1345	0.5663
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	32	31.699	10.2168	23.7156	30.8976	84.94197	7.83447	4.1062	0.5559
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	33	32.689	10.0634	23.8011	30.975	84.90205	7.85354	4.0875	0.584
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	34	33.679	9.9234	23.8795	31.0463	84.8045	7.86533	4.066	0.6139
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	35	34.67	9.8088	23.9434	31.1046	84.48421	7.85268	4.0518	0.6498
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	36	35.66	9.731	23.9807	31.1363	83.59675	7.78208	4.0477	0.5604
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	37	36.651	9.6425	24.0215	31.1704	82.33002	7.67761	4.0517	0.5279
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	38	37.641	9.5307	24.0708	31.2108	81.71066	7.63694	4.046	0.3715
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	39	38.632	9.491	24.0923	31.2304	81.3952	7.61325	4.1318	0.3693
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	40	39.622	9.4564	24.105	31.2396	80.95064	7.5771	4.1738	0.3367
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	41	40.613	9.4224	24.1205	31.2526	80.74677	7.56314	4.158	0.2915
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	42	41.603	9.3988	24.1315	31.262	80.38884	7.53314	4.163	0.2644
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	43	42.594	9.3713	24.14	31.2673	79.90768	7.4924	4.1091	0.2493
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	44	43.584	9.3573	24.1454	31.2715	79.7757	7.48219	4.0322	0.2364
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	45	44.574	9.3504	24.1478	31.2731	79.88567	7.49358	4.0303	0.2074
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	46	45.565	9.3479	24.1483	31.2731	79.96822	7.50175	4.0131	0.2306
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	47	46.555	9.348	24.149	31.274	80.17387	7.52098	4.0117	0.2099
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	48	47.546	9.3478	24.1498	31.275	80.21132	7.52448	4.0451	0.2225
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	49	48.536	9.34	24.1538	31.2786	80.13988	7.51892	4.0796	0.2294
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	50	49.527	9.3341	24.1554	31.2794	80.10783	7.51688	4.1037	0.2022
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	51	50.517	9.3246	24.1573	31.2799	79.81509	7.49096	4.0897	0.2142
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	52	51.507	9.3008	24.1633	31.2829	79.30515	7.44693	4.0534	0.188
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	53	52.498	9.2774	24.1716	31.2889	79.17309	7.43815	4.0297	0.1518
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	54	53.488	9.2703	24.1762	31.2933	79.19534	7.44122	4.0741	0.1516
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	55	54.479	9.2686	24.1788	31.2962	79.26175	7.44761	4.1549	0.1442
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	56	55.469	9.2685	24.179	31.2964	79.27657	7.44902	4.1886	0.1534
6	56	c	9/9/2004	20:03	-151.65	59.50833	100	57	56.459	9.2699	24.1806	31.2988	79.46641	7.4665	4.2184	0.1651
