Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Sigma	Salinity [psu]	oxper [%]	oxconc	Temperature [C]	tran [v]	flour [v]
6	1	c	9/7/2004	23:19	-151.875	59.20333	33	1	0.99	21.652	29.086	61.9568	5.34719	13.8489	3.8013	0.8293
6	1	c	9/7/2004	23:19	-151.875	59.20333	33	2	1.981	21.6724	29.1134	58.38611	5.03739	13.8524	3.8204	0.5573
6	1	c	9/7/2004	23:19	-151.875	59.20333	33	3	2.972	21.7444	29.2043	95.43343	8.23122	13.8429	3.8054	0.4856
6	1	c	9/7/2004	23:19	-151.875	59.20333	33	4	3.963	21.7718	29.2301	92.50169	7.98322	13.8052	3.7832	0.5378
6	1	c	9/7/2004	23:19	-151.875	59.20333	33	5	4.953	21.7891	29.2477	92.68775	8.00153	13.7864	3.7779	0.5739
6	1	c	9/7/2004	23:19	-151.875	59.20333	33	6	5.944	21.9084	29.3582	92.75381	8.03062	13.6136	3.7657	0.6219
6	1	c	9/7/2004	23:19	-151.875	59.20333	33	7	6.934	22.0095	29.4363	92.87759	8.07263	13.4047	3.7199	0.6794
6	1	c	9/7/2004	23:19	-151.875	59.20333	33	8	7.925	22.1	29.4947	92.48475	8.07521	13.1699	3.7006	0.7041
6	1	c	9/7/2004	23:19	-151.875	59.20333	33	9	8.916	22.141	29.5157	92.0399	8.05732	13.04	3.7082	0.7474
6	1	c	9/7/2004	23:19	-151.875	59.20333	33	10	9.906	22.1777	29.5362	91.62499	8.03846	12.9307	3.7173	0.7173
6	1	c	9/7/2004	23:19	-151.875	59.20333	33	11	10.897	22.2034	29.5467	90.72908	7.97501	12.8376	3.7237	0.699
6	1	c	9/7/2004	23:19	-151.875	59.20333	33	12	11.888	22.2323	29.562	90.29089	7.9509	12.7474	3.7471	0.6875
6	1	c	9/7/2004	23:19	-151.875	59.20333	33	13	12.878	22.2368	29.565	90.09514	7.93544	12.7359	3.7585	0.6878
6	1	c	9/7/2004	23:19	-151.875	59.20333	33	14	13.869	22.2591	29.5774	89.54374	7.89754	12.6684	3.7667	0.666
6	1	c	9/7/2004	23:19	-151.875	59.20333	33	15	14.859	22.2947	29.595	88.74652	7.846	12.5504	3.7701	0.6426
