Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Sigma	Salinity [psu]	oxper [%]	oxconc	Temperature [C]	fluor [v]	tran [v]	PAR
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	1	0.991	24.5281	31.3766	83.07529	8.16388	7.2844	0.4755	4.1722	2.21E+02
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	2	1.981	24.5288	31.3768	82.08732	8.06754	7.2804	0.4426	4.0762	1.57E+02
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	3	2.972	24.5283	31.3767	82.36594	8.09438	7.2833	0.4178	4.0921	1.31E+02
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	4	3.963	24.5288	31.3769	82.51041	8.10897	7.2811	0.4424	4.0953	1.21E+02
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	5	4.953	24.529	31.3768	82.63097	8.12123	7.279	0.4647	4.1055	1.09E+02
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	6	5.944	24.5291	31.3769	82.6539	8.12346	7.2791	0.4763	4.1636	9.82E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	7	6.934	24.5291	31.3767	82.70766	8.12886	7.2785	0.492	4.1638	8.59E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	8	7.925	24.5295	31.3767	82.80391	8.13902	7.2748	0.5201	4.1656	7.58E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	9	8.916	24.5305	31.3777	82.84535	8.14319	7.274	0.5429	4.1697	6.65E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	10	9.906	24.5297	31.3771	82.85597	8.14397	7.2756	0.5538	4.1658	5.77E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	11	10.897	24.5302	31.3775	82.94586	8.15303	7.2743	0.5574	4.1661	5.06E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	12	11.887	24.5303	31.3776	83.04438	8.16268	7.2744	0.5565	4.1685	4.46E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	13	12.878	24.5303	31.3775	83.06815	8.16498	7.2747	0.5545	4.169	3.89E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	14	13.869	24.5302	31.3775	83.02163	8.16026	7.2754	0.5642	4.168	3.39E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	15	14.859	24.5294	31.3767	83.0833	8.16608	7.2769	0.5539	4.1679	2.97E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	16	15.85	24.53	31.3773	83.05576	8.16363	7.2755	0.5572	4.1676	2.61E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	17	16.84	24.5313	31.3785	83.02374	8.1609	7.2729	0.5596	4.1672	2.28E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	18	17.831	24.5311	31.3783	83.0333	8.1618	7.2732	0.5611	4.1693	2.00E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	19	18.821	24.5302	31.3775	83.09857	8.16781	7.2755	0.5618	4.1677	1.74E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	20	19.812	24.5292	31.3764	83.14848	8.17247	7.2771	0.5593	4.1681	1.53E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	21	20.803	24.5289	31.3762	83.15945	8.17344	7.2777	0.5522	4.1636	1.35E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	22	21.793	24.5288	31.3762	83.23761	8.18103	7.2782	0.5527	4.1688	1.18E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	23	22.784	24.5286	31.376	83.15996	8.17331	7.2788	0.5562	4.1679	1.04E+01
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	24	23.774	24.5288	31.3762	83.09875	8.16721	7.2791	0.551	4.1679	9.09E+00
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	25	24.765	24.5285	31.376	83.07812	8.1651	7.2796	0.5506	4.1675	7.92E+00
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	26	25.755	24.5292	31.3766	83.13515	8.17099	7.278	0.5481	4.1636	6.97E+00
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	27	26.746	24.5291	31.3765	83.13446	8.17075	7.2789	0.5539	4.1662	6.12E+00
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	28	27.736	24.5295	31.3768	83.16464	8.17394	7.2776	0.5493	4.1678	5.37E+00
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	29	28.727	24.5324	31.3794	83.17775	8.17633	7.2711	0.546	4.1708	4.75E+00
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	30	29.717	24.5349	31.3816	83.1392	8.17345	7.2657	0.5483	4.1706	4.16E+00
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	31	30.708	24.5347	31.3814	83.14855	8.17432	7.266	0.5507	4.1708	3.69E+00
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	32	31.698	24.536	31.3826	83.22336	8.18211	7.2634	0.5414	4.1741	3.24E+00
3	1	c	6/13/2004	11:34	-151.875	59.20333	33	33	32.689	24.5356	31.3823	83.18016	8.17761	7.2648	0.5411	4.1682	2.90E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	1	0.991	24.5192	31.3725	82.78801	8.12786	7.3267	0.3845	4.1546	2.33E+02
3	2	c	6/13/2004	12:17	-151.89	59.19	43	2	1.981	24.5176	31.3691	82.46917	8.09826	7.3186	0.4174	4.137	1.88E+02
3	2	c	6/13/2004	12:17	-151.89	59.19	43	3	2.972	24.5237	31.3729	82.51592	8.10694	7.2959	0.4803	4.1535	1.56E+02
3	2	c	6/13/2004	12:17	-151.89	59.19	43	4	3.963	24.5232	31.3725	82.56748	8.11177	7.2972	0.4873	4.1537	1.39E+02
3	2	c	6/13/2004	12:17	-151.89	59.19	43	5	4.953	24.5231	31.3723	82.79973	8.13467	7.2968	0.5051	4.1542	1.22E+02
3	2	c	6/13/2004	12:17	-151.89	59.19	43	6	5.944	24.523	31.3724	82.82407	8.13678	7.2983	0.51	4.1552	1.05E+02
3	2	c	6/13/2004	12:17	-151.89	59.19	43	7	6.934	24.5232	31.3719	82.73465	8.12875	7.2944	0.531	4.1542	9.19E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	8	7.925	24.5235	31.3721	82.82148	8.13753	7.2931	0.5518	4.1548	8.02E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	9	8.916	24.5238	31.3722	82.89648	8.14519	7.2915	0.5635	4.1539	6.95E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	10	9.906	24.5247	31.3725	82.94625	8.151	7.2866	0.5741	4.1574	6.08E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	11	10.897	24.5247	31.3728	82.93505	8.14957	7.2883	0.5756	4.1552	5.30E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	12	11.888	24.5258	31.3736	82.97124	8.15372	7.2849	0.5749	4.1569	4.60E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	13	12.878	24.5263	31.3741	82.96325	8.15307	7.2841	0.5727	4.1614	4.06E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	14	13.869	24.5262	31.374	83.09968	8.16637	7.2846	0.5756	4.1595	3.46E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	15	14.859	24.526	31.3737	83.1456	8.17101	7.284	0.5738	4.16	3.05E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	16	15.85	24.5266	31.3741	83.14668	8.1714	7.2824	0.5668	4.159	2.70E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	17	16.841	24.5266	31.3742	83.0884	8.16555	7.283	0.5629	4.1625	2.37E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	18	17.831	24.5266	31.3742	83.07168	8.16385	7.2833	0.5615	4.1602	2.06E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	19	18.821	24.527	31.3745	83.10692	8.16753	7.2822	0.5622	4.1626	1.81E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	20	19.812	24.5268	31.3743	83.0642	8.16322	7.2828	0.5606	4.1615	1.57E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	21	20.803	24.5274	31.3748	83.06994	8.16421	7.2804	0.5561	4.1639	1.38E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	22	21.793	24.5273	31.3747	83.09527	8.1666	7.281	0.5585	4.1651	1.21E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	23	22.784	24.5273	31.3747	83.12918	8.16997	7.2808	0.5596	4.1649	1.05E+01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	24	23.774	24.5274	31.3748	83.12652	8.16975	7.2805	0.5554	4.1557	9.19E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	25	24.765	24.5273	31.3746	83.12993	8.17002	7.2809	0.5566	4.166	8.09E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	26	25.755	24.5276	31.3749	83.16984	8.17402	7.2804	0.5639	4.1658	7.07E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	27	26.746	24.528	31.3753	83.16289	8.17347	7.2796	0.5542	4.1661	6.18E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	28	27.736	24.5298	31.3769	83.13916	8.17171	7.2762	0.5486	4.1644	5.45E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	29	28.727	24.5301	31.3772	83.139	8.17181	7.2755	0.5452	4.1662	4.77E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	30	29.717	24.5303	31.3774	83.14959	8.1729	7.2751	0.5437	4.1688	4.16E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	31	30.708	24.5301	31.3772	83.1352	8.17141	7.2756	0.549	4.1653	3.69E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	32	31.698	24.5296	31.3767	83.14235	8.17192	7.2767	0.5514	4.1674	3.22E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	33	32.689	24.5305	31.3776	83.11584	8.16964	7.2748	0.5415	4.1695	2.81E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	34	33.679	24.5309	31.3779	83.09787	8.16804	7.2739	0.5436	4.1684	2.48E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	35	34.67	24.5307	31.3777	83.10247	8.16836	7.2746	0.5471	4.1697	2.18E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	36	35.66	24.5306	31.3776	83.08876	8.16693	7.275	0.5411	4.1681	1.92E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	37	36.651	24.5307	31.3777	83.03569	8.16178	7.2746	0.5402	4.1682	1.68E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	38	37.641	24.5308	31.3778	83.11524	8.16967	7.2743	0.5381	4.1705	1.48E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	39	38.632	24.5304	31.3774	83.00341	8.15847	7.2755	0.5406	4.1696	1.30E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	40	39.622	24.5311	31.378	83.04041	8.16234	7.2741	0.5389	4.168	1.15E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	41	40.613	24.5314	31.3784	83.07325	8.16561	7.2737	0.5379	4.168	1.02E+00
3	2	c	6/13/2004	12:17	-151.89	59.19	43	42	41.603	24.5318	31.3787	83.14261	8.17257	7.2729	0.5333	4.1715	8.93E-01
3	2	c	6/13/2004	12:17	-151.89	59.19	43	43	42.594	24.5316	31.3786	83.16189	8.17441	7.2732	0.5372	4.1703	7.92E-01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	1	0.991	24.5375	31.3906	83.21305	8.17448	7.296	0.3558	4.1307	2.61E+02
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	2	1.981	24.539	31.3908	83.33863	8.18868	7.2861	0.3781	4.13	1.90E+02
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	3	2.972	24.5403	31.3904	83.29975	8.18712	7.2744	0.4094	4.1287	1.77E+02
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	4	3.963	24.5412	31.3904	83.36508	8.19478	7.2679	0.4439	4.1288	1.54E+02
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	5	4.953	24.5422	31.3908	83.39434	8.19859	7.2628	0.4758	4.1314	1.32E+02
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	6	5.944	24.5422	31.391	83.34225	8.19316	7.2644	0.4927	4.133	1.19E+02
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	7	6.934	24.5423	31.3909	83.35556	8.19477	7.2629	0.5169	4.136	1.06E+02
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	8	7.925	24.5426	31.391	83.34065	8.19365	7.261	0.5476	4.1386	9.16E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	9	8.916	24.5425	31.3911	83.37722	8.19694	7.2626	0.5616	4.1374	8.03E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	10	9.906	24.542	31.3911	83.40717	8.19913	7.2666	0.5729	4.1362	6.92E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	11	10.897	24.5415	31.3908	83.37251	8.19535	7.2686	0.5845	4.1371	6.03E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	12	11.888	24.5422	31.3905	83.28533	8.18813	7.2616	0.6003	4.1396	5.17E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	13	12.878	24.5434	31.391	83.23744	8.18452	7.2557	0.6091	4.1181	4.53E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	14	13.869	24.5434	31.391	83.31894	8.19247	7.256	0.6042	4.1392	3.90E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	15	14.859	24.5436	31.3912	83.24499	8.18526	7.2556	0.5969	4.1387	3.42E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	16	15.85	24.5437	31.3912	83.23965	8.18481	7.2552	0.596	4.1489	3.00E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	17	16.84	24.5446	31.3921	83.25503	8.18663	7.2534	0.5905	4.1495	2.60E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	18	17.831	24.5453	31.3927	83.23018	8.18449	7.2516	0.5844	4.1508	2.30E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	19	18.822	24.5458	31.3931	83.21996	8.18356	7.2511	0.5848	4.1493	1.98E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	20	19.812	24.5461	31.3933	83.19446	8.18123	7.2501	0.5818	4.1536	1.74E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	21	20.803	24.5472	31.3944	83.18727	8.18083	7.2482	0.5848	4.1515	1.53E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	22	21.793	24.5463	31.3935	83.18423	8.18034	7.2495	0.5846	4.1565	1.34E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	23	22.784	24.5466	31.3939	83.18712	8.18058	7.2496	0.5839	4.1564	1.17E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	24	23.774	24.5469	31.3941	83.23044	8.18494	7.249	0.5837	4.157	1.00E+01
3	3	c	6/13/2004	12:31	-151.905	59.17667	39	25	24.765	24.5488	31.3958	83.18476	8.1812	7.2446	0.6115	4.157	8.91E+00
