Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Temperature [C]	fluor [v]	Depth [m]	Sigma	Salinity [psu]
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	1	9.6643	0.9171	0.991	24.0485	31.2103
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	2	9.6618	0.9402	1.981	24.0442	31.2043
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	3	9.6346	0.8966	2.972	24.0555	31.2132
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	4	9.5794	0.9201	3.963	24.0781	31.2308
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	5	9.5828	0.9066	4.953	24.0764	31.2293
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	6	9.5822	0.9118	5.944	24.0762	31.229
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	7	9.5707	0.9221	6.934	24.0806	31.2322
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	8	9.5558	0.8966	7.925	24.0868	31.2371
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	9	9.5545	0.9221	8.916	24.087	31.2371
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	10	9.5128	0.9201	9.906	24.1038	31.2501
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	11	9.5188	0.9428	10.897	24.1014	31.2482
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	12	9.5178	0.9472	11.887	24.1013	31.248
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	13	9.5012	0.9261	12.878	24.1079	31.253
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	14	9.4975	0.9338	13.869	24.1093	31.254
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	15	9.5066	0.9237	14.859	24.1057	31.2512
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	16	9.5053	0.911	15.85	24.1058	31.2511
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	17	9.4973	0.9359	16.84	24.1093	31.2538
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	18	9.4808	0.9026	17.831	24.1154	31.2584
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	19	9.4823	0.9163	18.822	24.1152	31.2584
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	20	9.4454	0.9072	19.812	24.1294	31.2691
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	21	9.44	0.8921	20.803	24.1316	31.2708
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	22	9.4273	0.9253	21.793	24.1363	31.2743
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	23	9.4207	0.9154	22.784	24.139	31.2764
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	24	9.4212	0.9165	23.774	24.1385	31.2758
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	25	9.4199	0.9263	24.765	24.1389	31.276
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	26	9.4194	0.9172	25.755	24.139	31.2761
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	27	9.4202	0.9121	26.746	24.1386	31.2756
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	28	9.421	0.9052	27.736	24.1383	31.2755
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	29	9.421	0.9167	28.727	24.1383	31.2754
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	30	9.4219	0.9065	29.717	24.138	31.2752
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	31	9.4245	0.9017	30.708	24.1369	31.2743
4	1	c	7/18/2004	11:34	-151.875	59.20333	33	32	9.4287	0.9431	31.699	24.135	31.2726
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	1	9.7214	0.8257	0.991	24.0185	31.1836
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	2	9.6946	0.8512	1.981	24.0233	31.1842
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	3	9.6555	0.8696	2.972	24.0385	31.1957
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	4	9.6545	0.8619	3.963	24.0394	31.1965
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	5	9.5876	0.8659	4.953	24.0655	31.2164
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	6	9.5506	0.8764	5.944	24.0804	31.2279
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	7	9.5274	0.8441	6.934	24.0892	31.2345
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	8	9.5207	0.8479	7.925	24.0913	31.2358
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	9	9.5269	0.8729	8.916	24.0888	31.2338
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	10	9.5053	0.8524	9.906	24.096	31.2386
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	11	9.4221	0.8502	10.897	24.1293	31.2645
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	12	9.3756	0.8444	11.887	24.1465	31.2772
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	13	9.3639	0.8728	12.878	24.1508	31.2803
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	14	9.3171	0.8583	13.869	24.1682	31.2932
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	15	9.285	0.8508	14.859	24.18	31.3019
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	16	9.2386	0.8528	15.85	24.1969	31.3143
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	17	9.1888	0.8649	16.84	24.2151	31.3276
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	18	9.1789	0.8444	17.831	24.2179	31.3292
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	19	9.1706	0.8474	18.822	24.2197	31.3299
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	20	9.1599	0.8471	19.812	24.2228	31.3317
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	21	9.1537	0.8465	20.803	24.2243	31.3324
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	22	9.1436	0.8469	21.793	24.2273	31.3342
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	23	9.1334	0.8512	22.784	24.2298	31.3353
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	24	8.8983	0.8064	23.774	24.3107	31.3929
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	25	8.8265	0.8039	24.765	24.3369	31.4124
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	26	8.806	0.7892	25.755	24.3436	31.417
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	27	8.8031	0.8048	26.746	24.344	31.417
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	28	8.7732	0.8022	27.736	24.3543	31.4243
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	29	8.7507	0.797	28.727	24.3625	31.4304
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	30	8.7432	0.7878	29.717	24.3648	31.432
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	31	8.734	0.7772	30.708	24.3684	31.4348
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	32	8.7332	0.7831	31.698	24.3682	31.4344
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	33	8.7232	0.7909	32.689	24.3716	31.4367
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	34	8.7276	0.7893	33.679	24.3699	31.4354
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	35	8.7256	0.7785	34.67	24.3706	31.4359
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	36	8.7252	0.7986	35.66	24.3705	31.4357
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	37	8.7246	0.7871	36.651	24.3708	31.4359
4	3	c	7/18/2004	11:34	-151.905	59.17667	39	38	8.721	0.7914	37.641	24.3723	31.4371
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	1	10.1963	0.7973	0.991	23.9487	31.1931
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	2	10.194	0.7859	1.981	23.8813	31.1061
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	3	10.2262	0.7863	2.972	23.8757	31.1056
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	4	10.2392	0.8002	3.963	23.8682	31.0987
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	5	10.1939	0.791	4.953	23.8853	31.1111
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	6	10.2125	0.8006	5.944	23.8731	31.0994
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	7	9.9696	0.7971	6.935	23.9701	31.1727
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	8	9.911	0.8037	7.925	23.9882	31.1837
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	9	9.7953	0.7795	8.916	24.0222	31.2033
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	10	9.7481	0.7682	9.906	24.0337	31.2084
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	11	9.7284	0.7625	10.897	24.0385	31.2104
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	12	9.6986	0.7789	11.887	24.0465	31.2145
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	13	9.6886	0.7723	12.878	24.0497	31.2165
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	14	9.6872	0.761	13.869	24.0499	31.2165
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	15	9.6896	0.7614	14.859	24.0494	31.2164
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	16	9.6435	0.772	15.85	24.0644	31.2261
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	17	9.5745	0.7807	16.84	24.0867	31.2406
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	18	9.5518	0.7788	17.831	24.0939	31.2452
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	19	9.5425	0.7893	18.821	24.0966	31.2468
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	20	9.5067	0.7738	19.812	24.1077	31.2537
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	21	9.4621	0.7727	20.802	24.1207	31.2613
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	22	9.4293	0.7739	21.793	24.1324	31.2697
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	23	9.3981	0.7721	22.784	24.1421	31.2758
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	24	9.3829	0.7769	23.774	24.1465	31.2784
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	25	9.3709	0.7754	24.765	24.1501	31.2805
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	26	9.3625	0.7829	25.755	24.1528	31.2822
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	27	9.357	0.7788	26.746	24.1544	31.2832
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	28	9.3143	0.7715	27.736	24.1672	31.291
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	29	9.2879	0.7651	28.727	24.1749	31.2956
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	30	9.233	0.7632	29.717	24.1913	31.3056
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	31	9.1665	0.7501	30.708	24.2133	31.3207
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	32	9.1452	0.7518	31.698	24.2216	31.327
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	33	9.1291	0.7389	32.689	24.2271	31.3308
4	5	c	7/18/2004	11:34	-151.95167	59.12167	123	34	9.0789	0.7539	33.679	24.244	31.3426
