Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Sigma	Salinity [psu]	oxper [%]	oxconc	Temperature [C]	tran [v]	fluor [v]
5	1	c	9/7/2004	23:19	-151.875	59.20333	33	1	0.99	23.6944	30.8866	81.24205	7.48163	10.2901	3.9368	0.3447
5	1	c	9/8/2004	0:19	-151.875	59.20333	33	2	1.981	23.6942	30.8871	81.66226	7.5197	10.2937	3.9338	0.3344
5	1	c	9/9/2004	1:19	-151.875	59.20333	33	3	2.972	23.6945	30.8861	81.45889	7.50209	10.2872	3.9322	0.3547
5	1	c	9/10/2004	2:19	-151.875	59.20333	33	4	3.963	23.7016	30.889	81.22053	7.4848	10.2582	3.9424	0.3688
5	1	c	9/11/2004	3:19	-151.875	59.20333	33	5	4.953	23.7119	30.8959	80.94204	7.46369	10.2285	3.9427	0.3885
5	1	c	9/12/2004	4:19	-151.875	59.20333	33	6	5.944	23.7344	30.9103	80.28491	7.41369	10.1596	3.9481	0.3723
5	1	c	8/17/2004	20:55	-151.875	59.20333	33	7	6.934	23.781	30.9406	79.4866	7.36137	10.0194	3.9635	0.319
5	1	c	8/17/2004	20:55	-151.875	59.20333	33	8	7.925	23.8263	30.9725	79.11717	7.34621	9.8932	3.9672	0.3092
5	1	c	8/17/2004	20:55	-151.875	59.20333	33	9	8.916	23.8348	30.9791	78.90195	7.32924	9.8728	3.98	0.2945
5	1	c	8/17/2004	20:55	-151.875	59.20333	33	10	9.906	23.8372	30.9805	78.95861	7.3358	9.8645	3.9816	0.3315
5	1	c	8/17/2004	20:55	-151.875	59.20333	33	11	10.897	23.8371	30.9806	79.05772	7.34473	9.8661	3.974	0.3226
5	1	c	8/17/2004	20:55	-151.875	59.20333	33	12	11.888	23.8354	30.9794	79.03042	7.34151	9.8706	3.9776	0.3276
5	1	c	8/17/2004	20:55	-151.875	59.20333	33	13	12.878	23.8343	30.9776	78.98684	7.33784	9.8689	3.9802	0.3255
5	1	c	8/17/2004	20:55	-151.875	59.20333	33	14	13.869	23.836	30.9784	78.78257	7.31985	9.8625	3.9815	0.323
5	1	c	8/17/2004	20:55	-151.875	59.20333	33	15	14.859	23.8363	30.9784	78.80413	7.32218	9.8606	3.9793	0.3124
5	1	c	8/17/2004	20:55	-151.875	59.20333	33	16	15.85	23.8369	30.9791	78.76908	7.31888	9.8606	3.9832	0.3173
5	1	c	8/17/2004	20:55	-151.875	59.20333	33	17	16.84	23.8371	30.9791	78.67336	7.31015	9.8596	3.98	0.302
5	1	c	8/17/2004	20:55	-151.875	59.20333	33	18	17.831	23.8379	30.9791	78.78255	7.3212	9.8541	3.9815	0.3305
5	1	c	8/17/2004	20:55	-151.875	59.20333	33	19	18.821	23.838	30.979	78.73453	7.31683	9.8535	3.9856	0.3022
5	1	c	8/17/2004	20:55	-151.875	59.20333	33	20	19.812	23.8354	30.9759	78.52482	7.29717	9.8554	3.9812	0.3211
5	1	c	8/17/2004	20:55	-151.875	59.20333	33	21	20.803	23.8343	30.975	78.40601	7.2858	9.8578	3.9896	0.3002
5	1	c	8/17/2004	20:55	-151.875	59.20333	33	22	21.793	23.8345	30.9753	78.44011	7.28898	9.8576	3.9862	0.2846
