Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Sigma	Salinity [psu]	oxper [%]	oxconc	Temperature [C]	fluor [v]	tran [v]	PAR
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	2	1.981	25.2144	31.8542	85.34293	8.8925	4.6963	0.4065	4.19	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	3	2.972	25.2142	31.8542	85.55851	8.91458	4.6981	0.4065	4.1909	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	4	3.963	25.2143	31.8544	85.6398	8.92285	4.6989	0.4098	4.1892	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	5	4.953	25.2135	31.8535	85.6889	8.92787	4.6996	0.4024	4.1927	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	6	5.944	25.2139	31.854	85.69575	8.92848	4.6999	0.4111	4.1932	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	7	6.934	25.2134	31.8536	85.75977	8.93489	4.7013	0.4062	4.1918	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	8	7.925	25.2141	31.8544	85.75841	8.9346	4.7017	0.4052	4.1955	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	9	8.916	25.2137	31.854	85.74324	8.93299	4.702	0.4046	4.1962	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	10	9.906	25.2139	31.8542	85.76841	8.93568	4.7016	0.4118	4.194	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	11	10.897	25.2134	31.8534	85.74807	8.93374	4.701	0.4067	4.1975	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	12	11.887	25.2137	31.8539	85.7017	8.92895	4.7006	0.4101	4.1975	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	13	12.878	25.2137	31.8539	85.74738	8.93334	4.7023	0.4045	4.1841	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	14	13.869	25.2135	31.8538	85.75265	8.93375	4.703	0.3981	4.1963	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	15	14.859	25.2135	31.8538	85.7901	8.93757	4.7034	0.41	4.1984	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	16	15.85	25.2141	31.8546	85.68221	8.92624	4.7036	0.4	4.1978	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	17	16.84	25.2146	31.8552	85.65658	8.9237	4.7028	0.3982	4.1986	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	18	17.831	25.2143	31.855	85.70511	8.92841	4.7044	0.398	4.2	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	19	18.821	25.2163	31.8569	85.66709	8.92527	4.7002	0.3899	4.2001	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	20	19.812	25.2197	31.8604	85.56853	8.91612	4.6941	0.3892	4.2033	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	21	20.803	25.2238	31.8644	85.46196	8.90665	4.6855	0.3785	4.2027	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	22	21.793	25.2278	31.8685	85.36456	8.89793	4.6778	0.3734	4.2088	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	23	22.784	25.2288	31.8692	85.29979	8.89178	4.6748	0.3677	4.2117	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	24	23.774	25.2276	31.8681	85.1668	8.87735	4.6777	0.3712	4.2101	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	25	24.765	25.2321	31.872	84.94494	8.85715	4.6632	0.3596	4.2106	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	26	25.755	25.2397	31.8788	84.7177	8.83738	4.6431	0.3481	4.2146	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	27	26.746	25.2467	31.8852	84.54459	8.82309	4.6239	0.3382	4.2227	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	28	27.736	25.2488	31.887	84.46107	8.81563	4.6176	0.3358	4.2229	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	29	28.727	25.2486	31.8868	84.40726	8.8099	4.6182	0.3321	4.2235	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	30	29.717	25.2515	31.8892	84.34903	8.80571	4.6087	0.3331	4.2266	3.63E-02
1	23	c	4/19/2004	23:10	-152.63333	58.61333	31	31	30.708	25.2517	31.8894	84.2181	8.79205	4.6087	0.3312	4.2248	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	1	0.99	25.1756	31.8147	85.64551	8.911	4.7669	0.4405	4.1739	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	2	1.981	25.1761	31.8163	86.88178	9.03777	4.7749	0.4479	4.1668	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	3	2.972	25.1758	31.8158	86.53757	9.00225	4.7737	0.4455	4.1702	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	4	3.963	25.1756	31.8162	86.54725	9.00203	4.7792	0.4467	4.1683	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	5	4.953	25.175	31.8155	86.59113	9.00655	4.7796	0.4418	4.1677	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	6	5.944	25.175	31.8156	86.59985	9.00725	4.7805	0.4438	4.1668	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	7	6.934	25.1768	31.8172	86.61442	9.00993	4.7748	0.4473	4.1677	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	8	7.925	25.1774	31.8177	86.57549	9.00613	4.7735	0.4461	4.1637	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	9	8.916	25.1796	31.8191	86.59225	9.01018	4.7626	0.4594	4.1631	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	10	9.906	25.1812	31.8203	86.52159	9.00403	4.7568	0.4565	4.161	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	11	10.897	25.1882	31.8246	86.19148	8.97692	4.7225	0.4798	4.155	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	12	11.887	25.2055	31.8376	85.9244	8.96279	4.6564	0.48	4.1579	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	13	12.878	25.2108	31.8426	85.68471	8.94042	4.643	0.4712	4.1647	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	14	13.869	25.2153	31.8471	85.52482	8.92537	4.6343	0.46	4.1764	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	15	14.859	25.2149	31.8465	85.46168	8.91876	4.6346	0.4578	4.178	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	16	15.85	25.2159	31.8476	85.40792	8.91332	4.6335	0.4494	4.177	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	17	16.841	25.2174	31.8493	85.37449	8.91012	4.6317	0.4458	4.1808	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	18	17.831	25.2161	31.8479	85.40942	8.9136	4.6328	0.4403	4.1837	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	19	18.821	25.218	31.8499	85.25266	8.89765	4.6304	0.4221	4.1814	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	20	19.812	25.2285	31.8605	84.91271	8.86583	4.6106	0.3759	4.2031	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	21	20.803	25.2346	31.867	84.67864	8.84314	4.6008	0.369	4.2248	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	22	21.793	25.2351	31.8672	84.46534	8.82129	4.5987	0.3632	4.2293	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	23	22.784	25.236	31.868	84.30865	8.80542	4.5962	0.3627	4.2297	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	24	23.774	25.2519	31.8838	83.98235	8.77752	4.5632	0.3278	4.2301	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	25	24.765	25.2684	31.9008	83.71237	8.75471	4.5333	0.3164	4.2364	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	26	25.755	25.2681	31.9004	83.54747	8.73742	4.5336	0.3147	4.2388	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	27	26.746	25.2729	31.9052	83.36496	8.72007	4.5242	0.3023	4.2375	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	28	27.736	25.2838	31.9163	83.16238	8.70256	4.504	0.2874	4.2377	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	29	28.727	25.2863	31.9189	83.0515	8.69166	4.5	0.2856	4.2416	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	30	29.717	25.2862	31.9187	82.96835	8.6831	4.4993	0.2827	4.2428	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	31	30.708	25.287	31.9196	82.94364	8.68063	4.4986	0.2841	4.2438	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	32	31.698	25.2864	31.919	82.89074	8.6748	4.5001	0.2846	4.2419	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	33	32.689	25.2929	31.9264	82.80251	8.66652	4.4936	0.2737	4.2415	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	34	33.679	25.2944	31.928	82.70669	8.65696	4.4909	0.2733	4.2423	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	35	34.67	25.2954	31.929	82.66199	8.65237	4.4902	0.2715	4.2422	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	36	35.66	25.3015	31.9356	82.57015	8.64408	4.4822	0.2605	4.2418	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	37	36.651	25.307	31.9422	82.4382	8.63049	4.4794	0.2614	4.2433	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	38	37.641	25.3057	31.9407	82.41278	8.62785	4.4797	0.2586	4.2431	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	39	38.631	25.3069	31.9422	82.42692	8.6291	4.4804	0.2582	4.2424	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	40	39.622	25.3073	31.9429	82.43942	8.63021	4.4812	0.2549	4.2443	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	41	40.613	25.3077	31.9434	82.41026	8.62704	4.4816	0.2519	4.2411	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	42	41.603	25.3078	31.9436	82.3953	8.62544	4.4817	0.2522	4.2419	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	43	42.594	25.3082	31.944	82.38265	8.62408	4.4817	0.257	4.2427	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	44	43.584	25.3081	31.9439	82.40159	8.62611	4.4815	0.2509	4.2437	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	45	44.574	25.3086	31.9445	82.37051	8.62275	4.4819	0.2526	4.2417	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	46	45.565	25.3104	31.9467	82.29372	8.61462	4.4817	0.2454	4.2436	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	47	46.555	25.3255	31.9654	82.15962	8.60013	4.4788	0.2334	4.2441	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	48	47.546	25.3271	31.9674	82.04154	8.58776	4.4783	0.231	4.2452	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	49	48.536	25.331	31.9722	81.91568	8.57447	4.4776	0.2287	4.244	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	50	49.527	25.3296	31.9706	81.94817	8.57767	4.4789	0.2276	4.245	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	51	50.517	25.3361	31.9783	81.86975	8.56983	4.4751	0.2207	4.2444	3.63E-02
1	24	c	4/19/2004	22:53	-152.66167	58.62333	54	52	51.507	25.3381	31.9805	81.73883	8.5564	4.4732	0.2191	4.2429	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	2	1.981	25.1393	31.7934	85.1994	8.82652	4.9495	0.4614	4.139	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	3	2.972	25.1393	31.7937	85.35417	8.84204	4.9518	0.4601	4.1405	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	4	3.962	25.1394	31.7937	85.36303	8.84317	4.9508	0.4575	4.1462	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	5	4.953	25.1398	31.7941	85.37141	8.84406	4.9506	0.4575	4.1482	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	6	5.944	25.1397	31.794	85.40697	8.84768	4.9509	0.4569	4.1494	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	7	6.934	25.1397	31.794	85.42638	8.84966	4.9511	0.4548	4.1494	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	8	7.925	25.1399	31.7944	85.41353	8.84817	4.9517	0.4555	4.1507	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	9	8.916	25.1395	31.7939	85.4484	8.85174	4.952	0.4553	4.1504	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	10	9.906	25.1396	31.7941	85.43913	8.85081	4.9519	0.4558	4.1527	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	11	10.897	25.1408	31.7942	85.36723	8.84543	4.9422	0.4591	4.1511	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	12	11.887	25.1492	31.7998	85.19288	8.83497	4.9052	0.4661	4.1528	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	13	12.878	25.1571	31.806	85.04557	8.82511	4.8783	0.4667	4.1559	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	14	13.869	25.1576	31.8065	84.99842	8.82055	4.8766	0.4616	4.1664	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	15	14.859	25.1578	31.8067	84.90703	8.81117	4.8761	0.4625	4.1697	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	16	15.85	25.1582	31.8072	84.81716	8.80186	4.8759	0.4611	4.1717	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	17	16.84	25.1613	31.8103	84.79893	8.80082	4.871	0.4537	4.1732	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	18	17.831	25.1631	31.8122	84.8365	8.8053	4.8678	0.4531	4.1779	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	19	18.822	25.1637	31.8129	84.82836	8.80447	4.8676	0.4501	4.1785	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	20	19.812	25.1672	31.8167	84.84176	8.80675	4.8624	0.4458	4.1812	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	21	20.803	25.1696	31.8193	84.8087	8.80388	4.8591	0.4425	4.1802	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	22	21.793	25.1728	31.8226	84.68976	8.79236	4.8543	0.4305	4.1889	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	23	22.784	25.1803	31.8305	84.59965	8.785	4.8429	0.4209	4.2005	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	24	23.774	25.1794	31.8295	84.56334	8.78102	4.8441	0.4207	4.2051	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	25	24.765	25.1789	31.8289	84.56458	8.78101	4.8449	0.4162	4.2062	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	26	25.755	25.1808	31.831	84.55118	8.77997	4.8427	0.4179	4.2065	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	27	26.746	25.1837	31.8341	84.48058	8.77343	4.8381	0.4135	4.2089	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	28	27.736	25.1854	31.8359	84.44107	8.76982	4.8353	0.4106	4.2136	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	29	28.727	25.1852	31.8357	84.43134	8.7687	4.8359	0.4131	4.2162	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	30	29.717	25.1879	31.8387	84.3877	8.76474	4.8324	0.4035	4.2155	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	31	30.708	25.1893	31.8402	84.41674	8.76806	4.8306	0.4013	4.2183	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	32	31.699	25.1913	31.8422	84.37491	8.76424	4.8276	0.3973	4.2211	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	33	32.689	25.195	31.8461	84.28253	8.75571	4.8215	0.3869	4.2274	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	34	33.68	25.2023	31.8536	84.20309	8.74966	4.8092	0.3813	4.2309	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	35	34.67	25.2059	31.8572	84.1267	8.74309	4.8018	0.3795	4.2366	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	36	35.66	25.2088	31.86	84.00162	8.73117	4.7959	0.3766	4.2393	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	37	36.651	25.2139	31.8648	83.9345	8.72663	4.7832	0.3658	4.2394	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	38	37.641	25.219	31.8696	83.73431	8.70803	4.7714	0.3595	4.2475	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	39	38.632	25.2313	31.8809	83.58215	8.69817	4.7402	0.3369	4.249	3.63E-02
1	25	c	4/19/2004	22:36	-152.685	58.635	88	40	39.622	25.2471	31.896	83.41865	8.68808	4.7035	0.3255	4.2579	3.63E-02
