Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Temperature [C]	fluor [v]	Depth [m]	Sigma	Salinity [psu]
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	1	12.4908	0.4953	0.991	23.3806	30.9839
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	2	11.6764	0.5292	1.981	23.6225	31.1026
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	3	11.1654	0.572	2.972	23.7774	31.1846
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	4	10.854	0.5456	3.962	23.8613	31.2231
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	5	10.6314	0.5342	4.953	23.9246	31.2555
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	6	10.4079	0.5393	5.944	23.9856	31.2855
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	7	10.2325	0.5621	6.935	24.0331	31.3089
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	8	10.0845	0.6367	7.925	24.0749	31.3312
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	9	9.8362	0.6431	8.916	24.136	31.3577
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	10	9.5397	0.5685	9.906	24.2101	31.3918
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	11	9.2431	0.508	10.897	24.289	31.4331
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	12	8.9758	0.5085	11.887	24.3618	31.4736
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	13	8.9199	0.5112	12.878	24.3769	31.4818
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	14	8.8177	0.5069	13.869	24.4025	31.4948
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	15	8.6929	0.4905	14.859	24.4348	31.512
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	16	8.5714	0.477	15.85	24.4683	31.5317
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	17	8.5635	0.4637	16.84	24.469	31.531
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	18	8.555	0.4657	17.831	24.4692	31.5297
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	19	8.5402	0.468	18.821	24.4725	31.531
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	20	8.4997	0.4523	19.812	24.4815	31.5349
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	21	8.4447	0.4443	20.803	24.4955	31.5425
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	22	8.4056	0.4377	21.793	24.506	31.5484
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	23	8.4021	0.4476	22.784	24.5059	31.5476
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	24	8.408	0.4467	23.774	24.5034	31.5456
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	25	8.3424	0.4433	24.765	24.5198	31.5542
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	26	8.1571	0.413	25.755	24.5644	31.577
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	27	7.671	0.3602	26.746	24.6905	31.6501
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	28	7.3547	0.3211	27.736	24.769	31.6947
4	23	c	7/18/2004	22:11	-152.63333	58.61333	31	29	7.3028	0.3145	28.727	24.7805	31.7003
4	25	c	7/18/2004	22:46	-152.685	58.635	88	1	12.8042	0.416	0.991	23.2856	30.9378
4	25	c	7/18/2004	22:46	-152.685	58.635	88	2	12.7976	0.4327	1.981	23.2887	30.94
4	25	c	7/18/2004	22:46	-152.685	58.635	88	3	12.7572	0.4331	2.972	23.3053	30.9515
4	25	c	7/18/2004	22:46	-152.685	58.635	88	4	12.6657	0.4645	3.963	23.3397	30.9734
4	25	c	7/18/2004	22:46	-152.685	58.635	88	5	12.4257	0.4576	4.953	23.4253	31.0255
4	25	c	7/18/2004	22:46	-152.685	58.635	88	6	11.9637	0.4657	5.944	23.5876	31.1245
4	25	c	7/18/2004	22:46	-152.685	58.635	88	7	10.6204	0.4662	6.935	24.0133	31.3688
4	25	c	7/18/2004	22:46	-152.685	58.635	88	8	9.913	0.4771	7.925	24.2141	31.4738
4	25	c	7/18/2004	22:46	-152.685	58.635	88	9	9.2342	0.474	8.916	24.3913	31.5623
4	25	c	7/18/2004	22:46	-152.685	58.635	88	10	8.8351	0.4521	9.906	24.4844	31.6028
4	25	c	7/18/2004	22:46	-152.685	58.635	88	11	8.7009	0.4329	10.897	24.518	31.6199
4	25	c	7/18/2004	22:46	-152.685	58.635	88	12	8.5395	0.426	11.887	24.5553	31.6369
4	25	c	7/18/2004	22:46	-152.685	58.635	88	13	8.4876	0.4155	12.878	24.5687	31.6441
4	25	c	7/18/2004	22:46	-152.685	58.635	88	14	8.4364	0.4072	13.869	24.5809	31.6499
4	25	c	7/18/2004	22:46	-152.685	58.635	88	15	8.3097	0.4196	14.859	24.6072	31.6598
4	25	c	7/18/2004	22:46	-152.685	58.635	88	16	8.2163	0.4064	15.85	24.6268	31.6675
4	25	c	7/18/2004	22:46	-152.685	58.635	88	17	8.1656	0.4145	16.84	24.6388	31.6734
4	25	c	7/18/2004	22:46	-152.685	58.635	88	18	8.0233	0.3844	17.831	24.6763	31.6952
4	25	c	7/18/2004	22:46	-152.685	58.635	88	19	7.8897	0.3722	18.821	24.7145	31.7197
4	25	c	7/18/2004	22:46	-152.685	58.635	88	20	7.821	0.3529	19.812	24.7298	31.7268
4	25	c	7/18/2004	22:46	-152.685	58.635	88	21	7.6238	0.3477	20.802	24.7697	31.7425
4	25	c	7/18/2004	22:46	-152.685	58.635	88	22	7.5383	0.3232	21.793	24.7925	31.7565
4	25	c	7/18/2004	22:46	-152.685	58.635	88	23	7.5748	0.3273	22.784	24.7987	31.7708
4	25	c	7/18/2004	22:46	-152.685	58.635	88	24	7.5825	0.3265	23.774	24.8013	31.7754
4	25	c	7/18/2004	22:46	-152.685	58.635	88	25	7.5803	0.3283	24.765	24.8073	31.7827
4	25	c	7/18/2004	22:46	-152.685	58.635	88	26	7.5252	0.3269	25.755	24.82	31.7891
4	25	c	7/18/2004	22:46	-152.685	58.635	88	27	7.496	0.3246	26.746	24.8257	31.7913
4	25	c	7/18/2004	22:46	-152.685	58.635	88	28	7.4367	0.3386	27.737	24.8374	31.7959
4	25	c	7/18/2004	22:46	-152.685	58.635	88	29	7.3914	0.3133	28.727	24.844	31.7964
4	25	c	7/18/2004	22:46	-152.685	58.635	88	30	7.2423	0.2977	29.717	24.8629	31.7948
4	25	c	7/18/2004	22:46	-152.685	58.635	88	31	7.1351	0.2957	30.708	24.8781	31.7959
4	25	c	7/18/2004	22:46	-152.685	58.635	88	32	7.0227	0.2854	31.699	24.896	31.7997
4	25	c	7/18/2004	22:46	-152.685	58.635	88	33	6.8849	0.2789	32.689	24.9236	31.8117
4	25	c	7/18/2004	22:46	-152.685	58.635	88	34	6.8457	0.2777	33.679	24.933	31.8172
4	25	c	7/18/2004	22:46	-152.685	58.635	88	35	6.7945	0.267	34.67	24.9534	31.8347
4	25	c	7/18/2004	22:46	-152.685	58.635	88	36	6.6776	0.2641	35.66	24.9931	31.866
4	25	c	7/18/2004	22:46	-152.685	58.635	88	37	6.6111	0.252	36.651	25.0059	31.8714
4	25	c	7/18/2004	22:46	-152.685	58.635	88	38	6.5085	0.2566	37.641	25.0203	31.8732
4	25	c	7/18/2004	22:46	-152.685	58.635	88	39	6.5125	0.2478	38.632	25.019	31.8722
4	25	c	7/18/2004	22:46	-152.685	58.635	88	40	6.5091	0.2471	39.622	25.0191	31.8717
4	25	c	7/18/2004	22:46	-152.685	58.635	88	41	6.4884	0.2478	40.613	25.0204	31.8701
4	25	c	7/18/2004	22:46	-152.685	58.635	88	42	6.4766	0.245	41.603	25.0218	31.8699
4	25	c	7/18/2004	22:46	-152.685	58.635	88	43	6.446	0.2506	42.594	25.0258	31.8701
4	25	c	7/18/2004	22:46	-152.685	58.635	88	44	6.4119	0.2421	43.584	25.0306	31.8708
4	25	c	7/18/2004	22:46	-152.685	58.635	88	45	6.405	0.241	44.575	25.0316	31.871
4	25	c	7/18/2004	22:46	-152.685	58.635	88	46	6.3937	0.2413	45.565	25.0333	31.8713
4	25	c	7/18/2004	22:46	-152.685	58.635	88	47	6.383	0.2388	46.555	25.0348	31.8715
4	25	c	7/18/2004	22:46	-152.685	58.635	88	48	6.3718	0.2408	47.546	25.0358	31.871
4	25	c	7/18/2004	22:46	-152.685	58.635	88	49	6.3346	0.2396	48.536	25.0403	31.8708
4	25	c	7/18/2004	22:46	-152.685	58.635	88	50	6.2693	0.2384	49.527	25.0498	31.8726
4	25	c	7/18/2004	22:46	-152.685	58.635	88	51	6.25	0.2384	50.517	25.0523	31.8728
4	25	c	7/18/2004	22:46	-152.685	58.635	88	52	6.2083	0.2385	51.507	25.0589	31.8746
4	25	c	7/18/2004	22:46	-152.685	58.635	88	53	6.1594	0.2372	52.498	25.0655	31.8754
4	25	c	7/18/2004	22:46	-152.685	58.635	88	54	6.1378	0.2386	53.488	25.0694	31.8769
4	25	c	7/18/2004	22:46	-152.685	58.635	88	55	6.1262	0.2378	54.479	25.0716	31.8779
4	25	c	7/18/2004	22:46	-152.685	58.635	88	56	6.1002	0.2389	55.469	25.0731	31.8759
4	25	c	7/18/2004	22:46	-152.685	58.635	88	57	6.0545	0.2388	56.459	25.0816	31.8796
