Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Sigma	Salinity [psu]	oxper [%]	oxconc	Temperature [C]	tran [v]	fluor [v]
5	23	c	8/17/2004	8:13	-152.63333	58.61333	30	1	0.99	23.3044	31.0136	99.51313	8.63596	13.0118	3.9273	0.2745
5	23	c	8/17/2004	8:13	-152.63333	58.61333	30	2	1.981	23.304	31.0187	99.4708	8.62788	13.0346	3.9105	0.3014
5	23	c	8/17/2004	8:13	-152.63333	58.61333	30	3	2.972	23.3034	31.0176	99.50309	8.63101	13.0331	3.9163	0.3266
5	23	c	8/17/2004	8:13	-152.63333	58.61333	30	4	3.963	23.3032	31.0126	99.70346	8.65203	13.0146	3.9247	0.3072
5	23	c	8/17/2004	8:13	-152.63333	58.61333	30	5	4.953	23.3031	30.9897	100.7789	8.76348	12.9232	3.9305	0.303
5	23	c	8/17/2004	8:13	-152.63333	58.61333	30	6	5.944	23.3192	30.939	101.65125	8.8964	12.6333	3.9523	0.2849
5	23	c	8/17/2004	8:13	-152.63333	58.61333	30	7	6.934	23.3461	30.9584	101.88288	8.92729	12.5708	3.9575	0.2721
5	23	c	8/17/2004	8:13	-152.63333	58.61333	30	8	7.925	23.3454	30.9611	101.77015	8.91443	12.5858	3.9471	0.2906
5	23	c	8/17/2004	8:13	-152.63333	58.61333	30	9	8.916	23.3531	30.9815	101.26924	8.86147	12.6283	3.9376	0.3148
5	23	c	8/17/2004	8:13	-152.63333	58.61333	30	10	9.906	23.3696	31.0128	99.62763	8.70846	12.6697	3.8933	0.3442
5	23	c	8/17/2004	8:13	-152.63333	58.61333	30	11	10.897	23.4384	31.0595	98.85484	8.67003	12.497	3.9106	0.3515
5	23	c	8/17/2004	8:13	-152.63333	58.61333	30	12	11.887	23.4712	31.0834	98.33295	8.63685	12.4213	3.9279	0.3558
5	23	c	8/17/2004	8:13	-152.63333	58.61333	30	13	12.878	23.4775	31.0883	98.04781	8.61398	12.4079	3.9209	0.3459
5	23	c	8/17/2004	8:13	-152.63333	58.61333	30	14	13.869	23.4841	31.0947	96.80984	8.50639	12.3995	3.9241	0.3585
5	23	c	8/17/2004	8:13	-152.63333	58.61333	30	15	14.859	23.5162	31.1215	94.52546	8.31505	12.3385	3.9145	0.3646
5	23	c	8/17/2004	8:13	-152.63333	58.61333	30	16	15.85	23.65	31.1906	94.19593	8.35956	11.9044	3.908	0.3932
