Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Temperature [C]	Sigma	Salinity [psu]	oxper [%]	oxconc	tran [v]	flour [v]
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	1	0.991	12.2983	22.4724	29.7648	102.15527	9.07042	3.9751	0.3916
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	2	1.981	12.2013	22.5211	29.8047	102.34069	9.10347	3.9656	0.3911
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	3	2.972	12.286	22.5689	29.8865	101.67943	9.02368	4.0209	0.3171
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	4	3.962	12.316	22.5603	29.8824	101.86232	9.03436	4.1026	0.3549
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	5	4.953	12.0797	22.8013	30.1378	101.77859	9.05819	4.0567	0.3337
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	6	5.944	11.7129	22.9971	30.3046	99.50791	8.91671	4.1384	0.4156
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	7	6.935	11.7681	23.0325	30.363	96.31945	8.61758	4.1409	0.5597
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	8	7.925	11.4662	23.0858	30.3625	94.75066	8.53255	4.1161	1.4014
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	9	8.916	11.3854	23.151	30.4281	90.34327	8.14685	3.8154	2.0493
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	10	9.906	11.734	23.2285	30.6076	86.20228	7.70626	3.8779	0.8751
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	11	10.897	11.5845	23.2948	30.6585	85.54502	7.66972	4.1937	0.7343
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	12	11.888	11.4873	23.3107	30.6567	86.62753	7.78319	4.1921	0.8337
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	13	12.878	11.3772	23.3233	30.648	89.37972	8.05005	4.15	0.989
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	14	13.869	11.2609	23.3405	30.6438	97.43687	8.79828	4.0768	1.4827
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	15	14.859	11.0784	23.3899	30.6664	100.38506	9.09901	3.9528	1.8882
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	16	15.85	10.99	23.4187	30.6838	101.16297	9.18609	3.8942	1.6777
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	17	16.84	10.9867	23.4316	30.6997	101.8188	9.24538	3.899	1.7733
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	18	17.831	10.9878	23.4442	30.716	102.60844	9.3159	3.8254	1.885
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	19	18.821	10.9563	23.4661	30.7373	102.72371	9.33151	3.7959	2.0267
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	20	19.812	10.9243	23.489	30.7596	99.11971	9.00914	3.7756	1.8354
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	21	20.803	10.8339	23.5402	30.8055	94.57355	8.61034	3.8234	1.6042
6	23	c	9/8/2004	14:33	-152.63333	58.61333	30	22	21.793	10.7602	23.5612	30.8162	89.79394	8.1878	3.9851	1.3227
