Cruise	Station	Type	mon/day/yr	hh:mm	Lon (°E)	Lat (°N)	Bot. Depth [m]	Pressure 	Temp [c]	PAR	Flourometer [v]	Transmissometer [v]	Oxygen [v]	Depth [m]	Salinity [PSU]	Density [sigma]	Oxygen [mg/l]	Oxygen [% sat]
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	2	9.8429	1.33E+02	0.5499	4.0679	3.7153	1.981	31.0558	23.8993	10.01843	107.83115
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	3	9.8407	1.08E+02	0.5412	4.07	3.7881	2.972	31.0632	23.9054	10.25184	110.3449
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	4	9.8397	9.26E+01	0.5622	4.0692	3.7921	3.962	31.0846	23.9223	10.26507	110.50012
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	5	9.8399	7.52E+01	0.6162	4.0689	3.792	4.953	31.0878	23.9248	10.26561	110.50862
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	6	9.8403	6.36E+01	0.5526	4.0791	3.7935	5.944	31.0877	23.9247	10.2718	110.57611
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	7	9.8372	5.19E+01	0.5647	4.0745	3.7938	6.934	31.0905	23.9274	10.27468	110.60155
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	8	9.8354	4.42E+01	0.5649	4.0777	3.7916	7.925	31.0924	23.9292	10.26942	110.54178
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	9	9.8379	3.68E+01	0.5867	4.0807	3.7914	8.915	31.0903	23.9272	10.26976	110.5502
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	10	9.8361	3.10E+01	0.5695	4.0741	3.7909	9.906	31.0922	23.929	10.26987	110.54812
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	11	9.8356	2.63E+01	0.5631	4.0771	3.7878	10.896	31.0924	23.9292	10.26132	110.4552
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	12	9.8359	2.20E+01	0.5865	4.0733	3.7886	11.887	31.0919	23.9288	10.26531	110.49853
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	13	9.8333	1.94E+01	0.5793	4.073	3.7884	12.878	31.0937	23.9306	10.26637	110.50479
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	14	9.833	1.64E+01	0.5587	4.079	3.7889	13.868	31.0938	23.9308	10.26954	110.53833
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	15	9.8333	1.41E+01	0.5619	4.0778	3.79	14.859	31.094	23.9309	10.27424	110.58965
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	16	9.8332	1.19E+01	0.5459	4.0749	3.7898	15.849	31.094	23.9309	10.27487	110.59612
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	17	9.8334	9.67E+00	0.5374	4.071	3.7864	16.84	31.0942	23.931	10.26552	110.49625
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	18	9.8337	8.39E+00	0.5428	4.0685	3.7856	17.83	31.0938	23.9307	10.2644	110.48464
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	19	9.8341	6.87E+00	0.5304	4.0764	3.7841	18.821	31.0944	23.9311	10.26073	110.44652
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	20	9.8342	5.83E+00	0.5466	4.0709	3.7856	19.811	31.0935	23.9304	10.26688	110.51213
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	21	9.8344	4.94E+00	0.5359	4.072	3.7849	20.802	31.0934	23.9303	10.26607	110.50409
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	22	9.8349	4.13E+00	0.5417	4.0788	3.7824	21.792	31.093	23.93	10.25919	110.43091
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	23	9.8359	3.47E+00	0.5356	4.0791	3.7806	22.783	31.0926	23.9295	10.25464	110.38412
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	24	9.8379	2.91E+00	0.5263	4.0776	3.7829	23.773	31.0915	23.9283	10.26308	110.47918
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	25	9.8383	2.44E+00	0.5589	4.0747	3.7835	24.764	31.0908	23.9278	10.26628	110.51407
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	26	9.8383	2.04E+00	0.5452	4.0664	3.7828	25.754	31.091	23.928	10.26561	110.50694
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	27	9.839	1.75E+00	0.5589	4.0765	3.7815	26.745	31.0904	23.9274	10.26263	110.47613
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	28	9.8388	1.47E+00	0.5399	4.0673	3.7824	27.735	31.0912	23.928	10.2669	110.52226
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	29	9.8382	1.22E+00	0.541	4.0775	3.7829	28.726	31.0913	23.9282	10.27008	110.55499
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	30	9.8377	1.04E+00	0.5534	4.0729	3.7818	29.716	31.0925	23.9293	10.26785	110.53071
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	31	9.8378	8.73E-01	0.522	4.0659	3.7801	30.706	31.0918	23.9287	10.26382	110.48684
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	32	9.8384	7.37E-01	0.5084	4.0759	3.7801	31.697	31.0918	23.9287	10.26506	110.50188
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	33	9.8349	6.20E-01	0.5086	4.0751	3.7808	32.688	31.0938	23.9308	10.26958	110.54321
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	34	9.8331	5.27E-01	0.5281	4.0723	3.7799	33.678	31.0954	23.9324	10.26808	110.52372
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	35	9.8322	4.45E-01	0.5154	4.0736	3.7782	34.669	31.0955	23.9326	10.26417	110.47962
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	36	9.8317	3.77E-01	0.5102	4.077	3.7773	35.659	31.096	23.9331	10.26304	110.46645
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	37	9.8314	3.18E-01	0.5097	4.0747	3.7776	36.65	31.0964	23.9334	10.26535	110.49096
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	38	9.8311	2.71E-01	0.5097	4.07	3.7788	37.64	31.0963	23.9334	10.27075	110.54823
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	39	9.8309	2.33E-01	0.5013	4.0743	3.7753	38.63	31.0966	23.9338	10.26067	110.43948
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	40	9.8317	1.99E-01	0.5048	4.0802	3.7738	39.621	31.0957	23.9329	10.25709	110.40224
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	41	9.8311	1.71E-01	0.5142	4.0736	3.7712	40.611	31.0958	23.9331	10.25033	110.32815
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	42	9.8309	1.46E-01	0.5041	4.0783	3.7736	41.602	31.0962	23.9335	10.25936	110.42507
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	43	9.8309	1.29E-01	0.4888	4.0709	3.7735	42.592	31.0957	23.9331	10.26045	110.43647
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	44	9.8317	1.14E-01	0.5018	4.0709	3.7737	43.582	31.0945	23.932	10.26242	110.45887
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	45	9.8326	9.99E-02	0.4844	4.0704	3.7719	44.573	31.0936	23.9312	10.25791	110.41189
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	46	9.8326	9.06E-02	0.4896	4.066	3.7712	45.563	31.093	23.9308	10.25716	110.40336
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	47	9.8329	8.16E-02	0.4993	4.0707	3.7695	46.554	31.0923	23.9302	10.25306	110.35952
1	4	C	7/1/2005	14:15	-152.151667	59.825	48	48	9.8338	7.25E-02	0.4863	4.0713	3.7676	47.544	31.0899	23.9282	10.24826	110.30826
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	1	9.6696	2.40E+02	0.4661	4.1308	3.4153	0.991	31.3039	24.1206	9.07809	97.48979
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	2	9.6004	1.97E+02	0.4576	4.0395	3.4766	1.981	31.1336	23.9988	9.30003	99.60313
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	3	9.4989	1.46E+02	0.4927	3.992	3.6844	2.972	31.109	23.9956	9.99046	106.74714
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	4	9.4957	1.28E+02	0.4742	4.0044	3.6774	3.963	31.1116	23.9982	9.96967	106.51869
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	5	9.4973	1.11E+02	0.4813	3.9961	3.6793	4.953	31.1113	23.9977	9.97683	106.59882
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	6	9.4906	9.45E+01	0.5401	4.0007	3.6774	5.944	31.1127	23.9999	9.97332	106.54619
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	7	9.48	7.92E+01	0.5389	3.9895	3.6772	6.934	31.1164	24.0045	9.97628	106.55509
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	8	9.4808	6.41E+01	0.5029	3.979	3.6776	7.925	31.1157	24.0039	9.97864	106.5817
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	9	9.4797	5.31E+01	0.611	3.9901	3.6764	8.915	31.1164	24.0045	9.97639	106.55546
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	10	9.4881	4.33E+01	0.6131	4.004	3.6757	9.906	31.1141	24.0014	9.97387	106.54712
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	11	9.4816	3.62E+01	0.596	4.0038	3.6738	10.896	31.1153	24.0034	9.97042	106.49544
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	12	9.4592	2.91E+01	0.6946	3.9889	3.6732	11.887	31.1237	24.0135	9.97403	106.48659
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	13	9.4739	2.40E+01	0.6252	3.9879	3.67	12.877	31.1186	24.0073	9.96232	106.3929
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	14	9.4538	1.98E+01	0.5498	3.9874	3.6629	13.868	31.1227	24.0136	9.94462	106.15881
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	15	9.4131	1.58E+01	0.6351	3.9454	3.6548	14.859	31.1322	24.0275	9.92804	105.89203
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	16	9.407	1.24E+01	0.8998	3.9132	3.6511	15.849	31.1349	24.0305	9.91841	105.77652
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	17	9.4108	9.83E+00	0.6959	3.9077	3.6524	16.84	31.1337	24.0291	9.92324	105.83626
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	18	9.4112	7.75E+00	0.665	3.8893	3.653	17.83	31.1338	24.029	9.92634	105.87037
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	19	9.4168	6.17E+00	0.6023	3.9278	3.6519	18.821	31.1327	24.0273	9.92299	105.847
1	5	C	7/1/2005	15:36	-152.225	59.836667	68	20	9.4076	4.86E+00	0.644	3.878	3.6489	19.811	31.134	24.0298	9.91654	105.75739
