Cruise	Station	Type	mon/day/yr	hh:mm	Lon (°E)	Lat (°N)	Bot. Depth [m]	Pressure 	Temp [c]	Flourometer [v]	Transmissometer [v]	Oxygen [v]	PAR	Depth [m]	Salinity [PSU]	Density [sigma]	Oxygen [mg/l]	Oxygen [% sat]
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	1	8.9852	0.2384	3.5045	3.522	7.22E+02	0.99	31.1752	24.1269	9.5962	101.4
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	2	8.8729	0.2393	3.4928	3.4991	8.52E+02	1.981	31.2434	24.1973	9.54144	100.61034
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	3	8.6593	0.2401	3.5501	3.4969	5.37E+02	2.972	31.3814	24.3373	9.57179	100.53167
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	4	8.5753	0.24	3.6055	3.4974	4.78E+02	3.962	31.4572	24.4092	9.58755	100.55453
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	5	8.5806	0.2507	3.6384	3.4941	3.62E+02	4.953	31.4802	24.4265	9.57535	100.45354
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	6	8.5602	0.2518	3.6438	3.4914	2.87E+02	5.943	31.4999	24.4449	9.57089	100.3728
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	7	8.5045	0.2571	3.6453	3.4892	2.21E+02	6.934	31.5202	24.4691	9.57535	100.30566
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	8	8.4521	0.2785	3.647	3.4862	1.68E+02	7.925	31.5359	24.4891	9.57649	100.20813
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	9	8.3939	0.3024	3.6485	3.4848	1.46E+02	8.915	31.5487	24.5077	9.58475	100.16998
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	10	8.3831	0.3211	3.6499	3.4839	1.29E+02	9.906	31.5581	24.5167	9.5849	100.15279
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	11	8.3843	0.3457	3.6579	3.4796	1.10E+02	10.896	31.5666	24.5231	9.57097	100.01552
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	12	8.3877	0.3614	3.6694	3.4777	9.46E+01	11.887	31.5705	24.5258	9.56512	99.96455
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	13	8.3892	0.3794	3.674	3.4761	8.21E+01	12.878	31.5719	24.5267	9.56048	99.92054
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	14	8.3894	0.39	3.674	3.475	7.06E+01	13.868	31.5721	24.5268	9.55828	99.89795
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	15	8.3899	0.3966	3.6731	3.471	6.19E+01	14.859	31.5736	24.5279	9.54606	99.77233
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	16	8.388	0.4018	3.6784	3.4676	5.34E+01	15.849	31.5812	24.5341	9.53608	99.66859
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	17	8.3869	0.4082	3.6858	3.4643	4.68E+01	16.839	31.5866	24.5385	9.52601	99.56422
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	18	8.3856	0.4077	3.6872	3.4625	4.01E+01	17.83	31.5849	24.5375	9.52167	99.51496
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	19	8.3861	0.4115	3.6847	3.4632	3.56E+01	18.821	31.5864	24.5386	9.52513	99.55319
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	20	8.3871	0.4094	3.6889	3.462	3.09E+01	19.811	31.5871	24.539	9.52227	99.526
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	21	8.3954	0.4015	3.6914	3.4566	2.70E+01	20.802	31.5942	24.5434	9.50342	99.35227
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	22	8.4054	0.4073	3.7037	3.453	2.34E+01	21.792	31.6056	24.5507	9.48999	99.24179
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	23	8.4023	0.412	3.7056	3.4529	2.05E+01	22.783	31.6012	24.5478	9.49188	99.25167
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	24	8.402	0.4114	3.7052	3.4517	1.77E+01	23.773	31.6007	24.5475	9.48923	99.22293
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	25	8.4089	0.4095	3.7079	3.4491	1.56E+01	24.764	31.6105	24.5542	9.47973	99.14542
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	26	8.409	0.4159	3.7118	3.4479	1.36E+01	25.754	31.6099	24.5537	9.47717	99.11874
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	27	8.4089	0.4166	3.7093	3.4463	1.18E+01	26.745	31.6102	24.554	9.473	99.07498
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	28	8.4086	0.4137	3.7115	3.4462	1.04E+01	27.735	31.6093	24.5533	9.47416	99.08575
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	29	8.4113	0.4105	3.7132	3.4431	9.00E+00	28.726	31.6143	24.5569	9.46428	98.99174
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	30	8.4129	0.4145	3.7187	3.4408	7.94E+00	29.716	31.6186	24.56	9.45738	98.92605
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	31	8.4137	0.4225	3.7202	3.4381	6.94E+00	30.707	31.6205	24.5614	9.44913	98.84279
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	32	8.4138	0.4238	3.7212	3.4382	6.13E+00	31.697	31.621	24.5618	9.45082	98.86097
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	33	8.4139	0.4204	3.7211	3.4394	5.40E+00	32.688	31.6202	24.5612	9.45624	98.9172
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	34	8.4137	0.4214	3.7169	3.4387	4.76E+00	33.678	31.6204	24.5613	9.45499	98.90392
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	35	8.4138	0.4234	3.7182	3.4375	4.18E+00	34.668	31.6213	24.562	9.45223	98.87585
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	36	8.414	0.4201	3.7194	3.4358	3.69E+00	35.659	31.6212	24.562	9.44789	98.83087
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	37	8.4142	0.4197	3.7189	3.4354	3.24E+00	36.649	31.6214	24.5622	9.44784	98.83083
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	38	8.4142	0.4183	3.7181	3.4357	2.86E+00	37.64	31.621	24.5618	9.44999	98.8531
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	39	8.4143	0.4178	3.719	3.4349	2.52E+00	38.63	31.6209	24.5618	9.44866	98.83934
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	40	8.4144	0.4175	3.7203	3.4358	2.21E+00	39.621	31.6211	24.5619	9.45305	98.88556
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	41	8.4144	0.4184	3.7199	3.4364	1.95E+00	40.611	31.6211	24.5619	9.45628	98.91959
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	42	8.4145	0.4169	3.7188	3.4352	1.71E+00	41.601	31.6211	24.5619	9.45355	98.8911
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	43	8.4144	0.4187	3.7196	3.4338	1.48E+00	42.592	31.6209	24.5618	9.44991	98.85281
1	4	C	7/1/2006	11:14	-152.151667	59.825	48	44	8.4142	0.415	3.7181	3.4319	1.24E+00	43.582	31.6217	24.5624	9.44497	98.80096
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	3	9.2749	0.2315	2.9533	3.3823	2.68E+02	2.972	30.2973	23.3965	9.13372	96.60394
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	4	9.1876	0.2504	2.9483	3.4657	1.93E+02	3.962	30.2695	23.3881	9.42811	99.50208
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	5	9.1505	0.2909	2.9502	3.5017	1.33E+02	4.953	30.2923	23.4116	9.55412	100.76248
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	6	9.1194	0.3321	2.9465	3.5128	9.26E+01	5.944	30.3464	23.4586	9.59533	101.16105
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	7	9.0784	0.3757	2.958	3.5109	6.60E+01	6.934	30.3946	23.5025	9.59582	101.10392
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	8	8.9821	0.4011	2.9757	3.5025	4.69E+01	7.925	30.5338	23.6259	9.58091	100.81718
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	9	8.85	0.4126	3.0788	3.5019	3.44E+01	8.915	30.7333	23.8018	9.59579	100.80128
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	10	8.806	0.3922	3.1455	3.5006	2.57E+01	9.906	30.8073	23.8663	9.59727	100.76397
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	11	8.7648	0.3706	3.1897	3.4988	1.95E+01	10.896	30.8899	23.937	9.59615	100.71155
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	12	8.7097	0.375	3.2358	3.4938	1.51E+01	11.887	30.9774	24.0137	9.5873	100.54946
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	13	8.604	0.3742	3.2981	3.4903	1.18E+01	12.878	31.1058	24.1299	9.5912	100.43164
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	14	8.5492	0.3693	3.3824	3.4865	9.55E+00	13.868	31.159	24.1797	9.58819	100.30954
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	15	8.5284	0.3557	3.4185	3.4844	7.74E+00	14.859	31.1861	24.204	9.58533	100.2496
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	16	8.5024	0.3589	3.4333	3.4833	6.42E+00	15.849	31.2212	24.2353	9.58621	100.22211
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	17	8.4815	0.363	3.4474	3.4821	5.34E+00	16.839	31.249	24.2602	9.58613	100.19127
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	18	8.4595	0.3616	3.4714	3.4801	4.47E+00	17.83	31.2776	24.2858	9.58359	100.13309
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	19	8.4375	0.363	3.4935	3.4761	3.70E+00	18.821	31.3119	24.3159	9.57416	100.00655
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	20	8.4295	0.3615	3.5183	3.4766	3.13E+00	19.811	31.3372	24.3369	9.57741	100.03834
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	21	8.4267	0.3577	3.5319	3.4763	2.66E+00	20.802	31.3455	24.3439	9.5777	100.04035
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	22	8.4218	0.3659	3.5371	3.4762	2.30E+00	21.792	31.359	24.3551	9.57881	100.04956
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	23	8.4152	0.3632	3.5508	3.4751	1.95E+00	22.783	31.372	24.3664	9.57717	100.02558
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	24	8.4069	0.3584	3.5678	3.4725	1.67E+00	23.773	31.3837	24.3768	9.5708	99.94762
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	25	8.394	0.3601	3.5697	3.4708	1.43E+00	24.764	31.3934	24.3863	9.56856	99.90111
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	26	8.3802	0.3586	3.5801	3.4692	1.24E+00	25.754	31.4075	24.3993	9.56638	99.85609
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	27	8.3636	0.3442	3.596	3.4664	1.06E+00	26.745	31.4188	24.4106	9.56123	99.77168
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	28	8.3512	0.3403	3.6051	3.4634	9.24E-01	27.735	31.4261	24.4182	9.5547	99.67999
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	29	8.3353	0.3359	3.624	3.4646	8.01E-01	28.726	31.4585	24.4459	9.56126	99.73324
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	30	8.3324	0.3371	3.6414	3.4651	6.97E-01	29.716	31.465	24.4514	9.56453	99.76464
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	31	8.3323	0.3336	3.6437	3.4633	6.15E-01	30.707	31.4652	24.4515	9.55977	99.71498
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	32	8.3301	0.3344	3.6454	3.4619	5.32E-01	31.697	31.4702	24.4559	9.5565	99.67911
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	33	8.3265	0.3371	3.6458	3.4611	4.68E-01	32.687	31.4809	24.4648	9.5551	99.66315
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	34	8.3282	0.3361	3.6549	3.4627	4.06E-01	33.678	31.475	24.4599	9.56187	99.73375
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	35	8.332	0.3344	3.6504	3.4634	3.56E-01	34.668	31.4628	24.4498	9.56537	99.77123
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	36	8.3295	0.3329	3.6464	3.4611	3.13E-01	35.659	31.4708	24.4565	9.55913	99.70541
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	37	8.3254	0.3451	3.6587	3.4605	2.73E-01	36.649	31.4829	24.4666	9.55867	99.69917
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	38	8.3254	0.3359	3.6617	3.4604	2.37E-01	37.64	31.483	24.4667	9.55937	99.70658
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	39	8.3262	0.3347	3.658	3.4586	2.11E-01	38.63	31.4798	24.4641	9.55465	99.65709
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	40	8.3254	0.333	3.6574	3.4581	1.85E-01	39.621	31.4823	24.4661	9.55441	99.65422
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	41	8.3244	0.3324	3.6629	3.4583	1.64E-01	40.611	31.485	24.4684	9.55635	99.6741
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	42	8.3249	0.3334	3.6643	3.4581	1.45E-01	41.601	31.4836	24.4673	9.55687	99.67974
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	43	8.3233	0.3427	3.6625	3.4567	1.31E-01	42.592	31.487	24.4701	9.55381	99.64645
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	44	8.323	0.3341	3.6666	3.4553	1.18E-01	43.582	31.4881	24.471	9.55041	99.61085
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	45	8.3202	0.3325	3.6694	3.4556	1.07E-01	44.573	31.4943	24.4763	9.55296	99.63517
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	46	8.3206	0.3326	3.6695	3.4557	9.78E-02	45.563	31.494	24.4761	9.55447	99.65157
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	47	8.3221	0.3325	3.6712	3.4567	8.93E-02	46.553	31.4895	24.4723	9.55913	99.70063
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	48	8.32	0.3367	3.6685	3.4559	8.30E-02	47.544	31.4941	24.4763	9.55773	99.68436
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	49	8.3198	0.3314	3.6694	3.4548	7.73E-02	48.534	31.4947	24.4768	9.55539	99.65982
1	5	C	7/1/2006	12:14	-152.225	59.836667	68	50	8.3199	0.3371	3.6643	3.4527	7.30E-02	49.525	31.4952	24.4772	9.5495	99.59889
