Cruise	Lon (?E)	Lat (?N)	Bot. Depth [m]	Station	Depth [m]	Pressure [psi]	Temp [deg. C]	Chlorophyl a [mg/m^3]	Oxygen [% Sat]	Oxygen [mg/l]	PAR	Salinity [PSU]
2018	-152.151667	59.825	48	4	1	1.768	9.494	31.347	90.814	9.286	975.46	31.122
2018	-152.151667	59.825	48	4	2	3.11	9.368	30.396	87.835	9.35	520.881	31.57
2018	-152.151667	59.825	48	4	3	4.54	9.377	30.89	87.477	9.349	387.359	31.655
2018	-152.151667	59.825	48	4	4	5.978	9.346	31.752	88.492	9.351	322.831	31.613
2018	-152.151667	59.825	48	4	5	7.395	9.304	31.996	88.873	9.362	263.297	31.598
2018	-152.151667	59.825	48	4	6	8.851	9.307	32.054	88.881	9.363	217.305	31.631
2018	-152.151667	59.825	48	4	7	10.269	9.264	32.076	89.079	9.371	185.645	31.628
2018	-152.151667	59.825	48	4	8	11.721	9.256	32.231	90.355	9.375	150.001	31.591
2018	-152.151667	59.825	48	4	9	13.231	9.25	32.278	91.593	9.378	138.31	31.557
2018	-152.151667	59.825	48	4	10	14.747	9.224	32.361	92.588	9.384	120.912	31.535
2018	-152.151667	59.825	48	4	11	16.193	9.211	32.488	92.606	9.389	107.101	31.523
2018	-152.151667	59.825	48	4	12	17.623	9.202	32.745	92.552	9.392	93.466	31.51
2018	-152.151667	59.825	48	4	13	19.046	9.195	32.818	92.197	9.394	81.258	31.504
2018	-152.151667	59.825	48	4	14	20.475	9.19	33.384	91.578	9.395	70.806	31.5
2018	-152.151667	59.825	48	4	15	21.936	9.188	33.52	91.454	9.396	60.168	31.505
2018	-152.151667	59.825	48	4	16	23.413	9.183	33.627	91.704	9.397	51.983	31.495
2018	-152.151667	59.825	48	4	17	24.881	9.18	33.606	91.723	9.398	45.786	31.498
2018	-152.151667	59.825	48	4	18	26.32	9.176	33.635	92.009	9.399	39.462	31.491
2018	-152.151667	59.825	48	4	19	27.857	9.149	33.868	91.898	9.404	35.133	31.502
2018	-152.151667	59.825	48	4	20	29.317	9.151	33.844	91.681	9.403	30.792	31.513
2018	-152.151667	59.825	48	4	21	30.767	9.147	33.926	91.808	9.404	26.698	31.498
2018	-152.151667	59.825	48	4	22	32.21	9.145	33.915	91.443	9.405	23.501	31.501
2018	-152.151667	59.825	48	4	23	33.642	9.144	33.835	91.272	9.405	20.812	31.498
2018	-152.151667	59.825	48	4	24	35.095	9.143	33.816	91.103	9.405	18.363	31.503
2018	-152.151667	59.825	48	4	25	36.559	9.141	33.853	91.088	9.406	16.106	31.501
2018	-152.151667	59.825	48	4	26	38.036	9.139	33.946	91.097	9.406	14.247	31.506
2018	-152.151667	59.825	48	4	27	39.505	9.135	33.946	91.146	9.407	12.687	31.504
