	Depth	Pressure	Temp deg. C	Fluorescence 	Oxygen % Sat	Oxygen mg/l	PAR	Salinity	flag		Pressure [psi]	Temp deg. C	Chlor a [mg/m^3]	Oxygen % Sat	Oxygen mg/l	PAR	Salinity [PSU]
cast1	1	1.82	8.487	31.0383	92.91323	9.52313	1.76E+03	31.1279	0.00E+00	1	1.768	9.494	31.347	90.814	9.286	975.460	31.122
cast1	2	2.939	8.4222	32.7066	85.40144	9.55185	1.09E+03	31.5528	0.00E+00	2	3.110	9.368	30.396	87.835	9.350	520.881	31.570
cast1	3	4.345	8.706	35.0665	86.19494	9.51413	8.17E+02	31.7317	0.00E+00	3	4.540	9.377	30.890	87.477	9.349	387.359	31.655
cast1	4	6.166	8.5853	35.8125	92.26565	9.49041	5.56E+02	31.5298	0.00E+00	4	5.978	9.346	31.752	88.492	9.351	322.831	31.613
cast1	5	7.556	8.3652	35.9237	91.38107	9.54243	4.57E+02	31.5845	0.00E+00	5	7.395	9.304	31.996	88.873	9.362	263.297	31.598
cast1	6	8.762	8.3137	35.9188	91.17372	9.56283	3.79E+02	31.6893	0.00E+00	6	8.851	9.307	32.054	88.881	9.363	217.305	31.631
cast1	7	10.03	8.3014	35.9533	91.12859	9.56758	2.97E+02	31.7354	0.00E+00	7	10.269	9.264	32.076	89.079	9.371	185.645	31.628
cast1	8	11.302	8.2968	35.9294	89.01843	9.56826	2.52E+02	31.7577	0.00E+00	8	11.721	9.256	32.231	90.355	9.375	150.001	31.591
cast1	9	12.968	8.5209	36.098	85.29317	9.52106	2.39E+02	31.8273	0.00E+00	9	13.231	9.250	32.278	91.593	9.378	138.310	31.557
cast1	10	14.726	8.3215	36.1824	86.75734	9.55593	2.12E+02	31.7114	0.00E+00	10	14.747	9.224	32.361	92.588	9.384	120.912	31.535
cast1	11	16.105	8.3057	36.2331	86.85199	9.5635	1.86E+02	31.8034	0.00E+00	11	16.193	9.211	32.488	92.606	9.389	107.101	31.523
cast1	12	17.589	8.2867	36.4611	88.24511	9.57076	1.60E+02	31.728	0.00E+00	12	17.623	9.202	32.745	92.552	9.392	93.466	31.510
cast1	13	18.974	8.2793	36.431	85.738	9.57218	1.38E+02	31.7699	0.00E+00	13	19.046	9.195	32.818	92.197	9.394	81.258	31.504
cast1	14	20.479	8.2826	36.8176	85.4148	9.57249	1.14E+02	31.7433	0.00E+00	14	20.475	9.190	33.384	91.578	9.395	70.806	31.500
cast1	15	22.007	8.2844	36.6071	86.18509	9.57204	9.85E+01	31.7529	0.00E+00	15	21.936	9.188	33.520	91.454	9.396	60.168	31.505
cast1	16	23.359	8.2683	36.7248	86.41083	9.57758	8.58E+01	31.7003	0.00E+00	16	23.413	9.183	33.627	91.704	9.397	51.983	31.495
cast1	17	24.874	8.2737	36.8123	82.92861	9.5744	7.23E+01	31.7527	0.00E+00	17	24.881	9.180	33.606	91.723	9.398	45.786	31.498
cast1	18	26.418	8.2705	36.8154	86.36179	9.5786	6.28E+01	31.6866	0.00E+00	18	26.320	9.176	33.635	92.009	9.399	39.462	31.491
cast1	19	27.759	8.2598	36.6905	85.17091	9.58152	5.47E+01	31.6711	0.00E+00	19	27.857	9.149	33.868	91.898	9.404	35.133	31.502
cast1	20	29.394	8.2873	36.685	82.54226	9.56647	4.69E+01	31.8447	0.00E+00	20	29.317	9.151	33.844	91.681	9.403	30.792	31.513
cast1	21	30.767	8.25	36.7251	86.19689	9.58252	4.12E+01	31.6353	0.00E+00	21	30.767	9.147	33.926	91.808	9.404	26.698	31.498
cast1	22	32.187	8.2461	36.9072	84.47285	9.58369	3.57E+01	31.7014	0.00E+00	22	32.210	9.145	33.915	91.443	9.405	23.501	31.501
cast1	23	33.685	8.248	36.9515	85.95923	9.58563	3.11E+01	31.6463	0.00E+00	23	33.642	9.144	33.835	91.272	9.405	20.812	31.498
cast1	24	35.139	8.2448	36.8282	85.67855	9.58572	2.68E+01	31.67	0.00E+00	24	35.095	9.143	33.816	91.103	9.405	18.363	31.503
cast1	25	36.64	8.2426	36.7778	86.90702	9.58695	2.33E+01	31.6413	0.00E+00	25	36.559	9.141	33.853	91.088	9.406	16.106	31.501
cast1	26	38.039	8.2367	36.7975	85.91149	9.58809	2.02E+01	31.6584	0.00E+00	26	38.036	9.139	33.946	91.097	9.406	14.247	31.506
cast1	27	39.546	8.2365	36.747	86.44977	9.58836	1.77E+01	31.6455	0.00E+00	27	39.505	9.135	33.946	91.146	9.407	12.687	31.504
cast1	28	41	8.2326	36.9841	86.53951	9.58939	1.54E+01	31.651	0.00E+00	28	40.964	9.134	33.993	91.201	9.407	11.168	31.507
cast1	29	42.466	8.2307	36.7434	86.12862	9.59004	1.36E+01	31.6395	0.00E+00	29	42.449	9.132	34.069	91.149	9.407	9.930	31.505
cast1	30	43.891	8.2312	36.9002	85.02713	9.58982	1.18E+01	31.6536	0.00E+00	30	43.880	9.130	34.125	90.865	9.408	8.927	31.505
cast1	31	45.427	8.2335	37.3374	86.28263	9.58974	1.05E+01	31.6365	0.00E+00	31	45.290	9.128	34.176	90.776	9.408	8.046	31.505
cast1	32	46.837	8.231	36.8707	85.35586	9.59021	9.25E+00	31.644	0.00E+00	32	46.730	9.127	34.090	90.348	9.408	7.214	31.508
cast1	33	48.33	8.2326	36.956	85.54878	9.59027	8.21E+00	31.6335	0.00E+00	33	48.138	9.133	34.117	90.104	9.408	6.817	31.503
cast1	34	49.734	8.2319	37.0144	83.3499	9.58999	7.31E+00	31.6448	0.00E+00	34	49.468	9.093	34.218	88.995	9.416	6.484	31.504
cast1	35	51.266	8.2344	36.9309	85.86573	9.58997	6.52E+00	31.6354	0.00E+00	35	50.925	9.014	34.342	89.095	9.431	6.400	31.537
cast1	36	52.695	8.2286	37.0483	90.12783	9.59108	5.88E+00	31.6215	0.00E+00	36	52.383	8.994	34.282	89.368	9.434	6.217	31.542
cast1	37	53.903	8.2099	37.0595	-9.99E-29	9.59593	5.31E+00	31.6154	0.00E+00	37	53.774	8.951	34.405	79.526	9.443	5.914	31.560
cast12	1	1.805	8.81	23.2687	94.7851	9.38682	2.11E+03	31.4532	0.00E+00	38	55.389	8.997	33.989	88.845	9.432	5.949	31.572
cast12	2	3.069	8.6246	28.6415	89.5288	9.48269	8.84E+02	31.9412	0.00E+00	39	56.750	9.013	33.958	62.434	9.429	5.337	31.588
cast12	3	4.409	8.7378	32.1112	82.53786	9.45487	7.39E+02	32.2909	0.00E+00	40	58.434	8.971	33.815	23.275	9.435	5.249	31.600
cast12	4	5.868	8.8053	33.331	84.20826	9.42995	6.00E+02	32.3502	0.00E+00	41	59.772	8.970	33.835	66.146	9.436	4.825	31.601
cast12	5	7.345	8.6799	33.0892	85.81006	9.46054	5.23E+02	31.9265	0.00E+00	42	61.100	8.971	33.854	66.092	9.435	4.458	31.604
cast12	6	8.759	8.6402	32.7023	82.20919	9.46808	4.21E+02	32.164	0.00E+00	43	62.265	8.974	33.770	66.330	9.435	3.942	31.602
cast12	7	10.259	8.6136	32.8867	81.67093	9.45825	3.60E+02	32.4084	0.00E+00	44	63.712	8.922	27.403	59.028	9.446	3.306	31.600
cast12	8	11.689	8.6242	32.9541	83.91423	9.48672	2.84E+02	31.9796	0.00E+00	45	65.058	8.961	34.894	85.227	9.439	2.860	31.593
cast12	9	13.16	8.6075	32.684	86.42121	9.48842	2.78E+02	31.9532	0.00E+00	46	65.479	9.411	34.438	88.455	9.351	1.542	31.485
cast12	10	14.694	8.5927	32.6555	88.09602	9.49527	2.37E+02	31.8921	0.00E+00								
cast12	11	16.159	8.5684	33.057	88.20231	9.5035	2.13E+02	31.8266	0.00E+00								
cast12	12	17.544	8.5339	33.2337	87.94978	9.51171	1.81E+02	31.7888	0.00E+00								
cast12	13	18.94	8.52	33.4173	87.59223	9.51812	1.54E+02	31.7885	0.00E+00								
cast12	14	20.375	8.5188	34.352	86.38369	9.51929	1.41E+02	31.7862	0.00E+00								
cast12	15	21.911	8.5214	34.3363	86.01548	9.51832	1.15E+02	31.8029	0.00E+00								
cast12	16	23.487	8.52	34.3962	86.89379	9.51912	1.07E+02	31.7801	0.00E+00								
cast12	17	25.071	8.5154	34.567	88.51197	9.5209	8.82E+01	31.7658	0.00E+00								
cast12	18	26.52	8.502	34.8352	89.06969	9.52444	7.71E+01	31.7347	0.00E+00								
cast12	19	27.836	8.4953	35.0821	88.5353	9.52724	7.20E+01	31.7302	0.00E+00								
cast12	20	29.198	8.4939	35.2345	88.25378	9.52805	6.20E+01	31.7307	0.00E+00								
cast12	21	30.726	8.4989	35.673	88.70727	9.52744	5.16E+01	31.7368	0.00E+00								
cast12	22	32.287	8.5006	35.0057	88.95444	9.52703	4.75E+01	31.7246	0.00E+00								
cast12	23	33.706	8.4955	35.2449	88.74716	9.5282	4.19E+01	31.7138	0.00E+00								
cast12	24	35.097	8.4941	34.9941	87.83876	9.52901	3.65E+01	31.7143	0.00E+00								
cast12	25	36.507	8.4958	34.979	86.65093	9.52893	3.22E+01	31.7155	0.00E+00								
cast12	26	38.045	8.4971	35.0755	86.48813	9.52834	2.84E+01	31.717	0.00E+00								
cast12	27	39.531	8.4963	35.056	86.84175	9.5288	2.58E+01	31.7107	0.00E+00								
cast12	28	40.979	8.4949	35.0876	87.65821	9.52916	2.26E+01	31.7106	0.00E+00								
cast12	29	42.552	8.4953	35.1724	88.10267	9.52934	1.98E+01	31.7057	0.00E+00								
cast12	30	43.957	8.491	35.1819	87.30177	9.53024	1.78E+01	31.6968	0.00E+00								
cast12	31	45.35	8.4895	35.1569	87.46696	9.53083	1.60E+01	31.7016	0.00E+00								
cast12	32	46.886	8.4912	35.1988	87.97183	9.53066	1.42E+01	31.7015	0.00E+00								
cast12	33	48.325	8.4873	35.2001	86.85798	9.53126	1.27E+01	31.693	0.00E+00								
cast12	34	49.643	8.485	35.3618	85.21948	9.53209	1.15E+01	31.6955	0.00E+00								
cast12	35	51.178	8.4887	35.3037	85.57546	9.53143	1.03E+01	31.7023	0.00E+00								
cast12	36	52.854	8.4899	35.2414	87.45168	9.53093	9.22E+00	31.697	0.00E+00								
cast12	37	54.266	8.4856	35.3381	87.30972	9.53208	8.37E+00	31.6891	0.00E+00								
cast12	38	55.633	8.4855	35.2581	87.22241	9.53244	7.58E+00	31.6912	0.00E+00								
cast12	39	57.121	8.4863	35.2076	87.65244	9.53237	6.90E+00	31.6893	0.00E+00								
cast12	40	58.527	8.4831	35.1524	86.47536	9.53285	6.33E+00	31.6836	0.00E+00								
cast12	41	59.844	8.4815	35.1493	84.58246	9.53342	5.78E+00	31.687	0.00E+00								
cast12	42	61.444	8.4845	35.4552	85.74148	9.53267	5.28E+00	31.6961	0.00E+00								
cast12	43	62.943	8.4826	35.5711	87.95394	9.53296	4.89E+00	31.6849	0.00E+00								
cast12	44	64.053	8.4811	35.4308	86.65296	9.53375	4.53E+00	31.6827	0.00E+00								
cast12	45	65.02	8.5182	35.2043	81.8163	9.52594	4.16E+00	31.7054	0.00E+00								
cast23	1	2.124	9.0308	34.3003	92.60975	9.37373	1.45E+03	31.2722	0.00E+00								
cast23	2	3.172	8.8873	31.1742	91.83098	9.43617	4.24E+02	31.5352	0.00E+00								
cast23	3	4.53	8.8303	27.5101	90.75372	9.45513	3.04E+02	31.6305	0.00E+00								
cast23	4	5.962	8.8119	33.1711	89.84695	9.46103	3.46E+02	31.6733	0.00E+00								
cast23	5	7.319	8.7961	33.5203	89.35148	9.46494	2.98E+02	31.6684	0.00E+00								
cast23	6	8.731	8.7839	33.5203	90.01008	9.46823	2.55E+02	31.671	0.00E+00								
cast23	7	10.253	8.7766	33.8232	91.16462	9.47025	2.29E+02	31.6763	0.00E+00								
cast23	8	11.787	8.7672	34.0269	91.90462	9.4729	1.91E+02	31.6587	0.00E+00								
cast23	9	13.223	8.7576	33.9857	91.92623	9.47578	2.04E+02	31.645	0.00E+00								
cast23	10	14.646	8.7518	34.0851	91.86867	9.47791	1.81E+02	31.6407	0.00E+00								
cast23	11	16.123	8.7472	34.1805	91.83661	9.479	1.62E+02	31.6412	0.00E+00								
cast23	12	17.654	8.74	34.3467	91.81492	9.48009	1.51E+02	31.6397	0.00E+00								
cast23	13	19.138	8.7287	34.592	91.62858	9.48226	1.36E+02	31.633	0.00E+00								
cast23	14	20.502	8.7236	34.873	91.28339	9.48459	1.24E+02	31.631	0.00E+00								
cast23	15	21.88	8.7272	34.7492	91.03953	9.48501	1.12E+02	31.6344	0.00E+00								
cast23	16	23.358	8.7277	34.6905	90.84778	9.48417	9.99E+01	31.6344	0.00E+00								
cast23	17	24.892	8.7265	34.6225	90.95978	9.48434	9.07E+01	31.6349	0.00E+00								
cast23	18	26.396	8.724	34.6445	90.89207	9.48464	8.04E+01	31.6336	0.00E+00								
cast23	19	27.812	8.7244	34.631	90.61746	9.48539	7.08E+01	31.6319	0.00E+00								
cast23	20	29.206	8.7261	34.8401	90.33791	9.48519	6.24E+01	31.6305	0.00E+00								
cast23	21	30.722	8.7223	35.052	90.45088	9.48501	5.53E+01	31.6302	0.00E+00								
cast23	22	32.411	8.7193	34.7937	90.80038	9.48569	5.02E+01	31.6348	0.00E+00								
cast23	23	33.953	8.7171	34.874	90.92187	9.48639	4.56E+01	31.6308	0.00E+00								
cast23	24	35.33	8.7113	34.9307	90.8462	9.48734	4.07E+01	31.622	0.00E+00								
cast23	25	36.649	8.706	34.9304	90.526	9.48854	3.58E+01	31.6219	0.00E+00								
cast23	26	37.918	8.7037	34.9321	90.16266	9.48945	3.16E+01	31.6246	0.00E+00								
cast23	27	39.2	8.7014	34.7962	89.61957	9.48992	2.80E+01	31.6253	0.00E+00								
cast23	28	40.706	8.701	34.6356	89.36105	9.49004	2.45E+01	31.6326	0.00E+00								
cast23	29	42.34	8.7017	35.031	89.57088	9.48981	2.15E+01	31.6363	0.00E+00								
