	Depth	Pressure	Temp deg. C	Fluorescence 	Oxygen % Sat	Oxygen mg/l	PAR	Salinity	flag	Depth [m]	Pressure [psi]	Temp deg. C	Chlor a [mg/m^3]	Oxygen % Sat	Oxygen mg/l	PAR	Salinity [PSU]
cast4	1	1.698	10.4894	20.4164	95.06512	9.24243	2.12E+03	28.9722	0.00E+00	1	1.7836	10.64819	30.44458	90.7869655	9.2110265	893.13705	29.191075
cast4	2	3.028	10.3965	32.6598	85.95042	9.28277	1.34E+03	29.1874	0.00E+00	2	3.1555	10.575825	29.01733	88.2003755	9.2364535	467.93165	29.328195
cast4	3	4.428	10.3912	33.1712	83.54553	9.27008	8.13E+02	29.4627	0.00E+00	3	4.61515	10.54983	29.982835	88.3664375	9.2407315	314.9321	29.390295
cast4	4	5.867	10.1247	33.2309	86.37536	9.29878	5.17E+02	29.3451	0.00E+00	4	6.0111	10.47066	30.817825	88.6124375	9.2467485	213.12495	29.421285
cast4	5	7.242	9.8758	33.3216	82.67259	9.35229	3.21E+02	29.5886	0.00E+00	5	7.39635	10.38915	31.228565	88.41928684	9.2596885	149.0044	29.498135
cast4	6	8.797	9.8972	33.5406	83.68257	9.34458	1.82E+02	29.961	0.00E+00	6	8.8264	10.3201	31.357365	89.54405947	9.2696395	104.4729	29.57088
cast4	7	10.4	9.7013	33.7789	91.13169	9.37877	1.21E+02	29.6259	0.00E+00	7	10.2658	10.21989	31.478275	91.28658316	9.282906	74.97622	29.6003
cast4	8	11.72	9.5583	33.8395	90.5902	9.41602	7.91E+01	29.6672	0.00E+00	8	11.77331579	10.03525789	31.6323	91.54044474	9.309247368	54.08623158	29.81196842
cast4	9	13.105	9.4845	33.8763	89.65931	9.43354	4.73E+01	29.7516	0.00E+00	9	13.23852632	9.984342105	31.76101579	91.55664316	9.32162	39.16307895	29.89716842
cast4	10	14.626	9.4336	33.8859	89.84638	9.44185	2.96E+01	29.8294	0.00E+00	10	14.68763158	9.940231579	31.86142632	91.80437053	9.328076842	29.48481053	29.94464211
cast4	11	16.151	9.3944	33.9054	90.93926	9.44889	1.97E+01	29.8581	0.00E+00	11	16.13752632	9.895710526	31.9772	91.90351895	9.334399474	22.48612632	29.99254737
cast4	12	17.561	9.3537	33.9237	90.24247	9.45439	1.29E+01	29.8911	0.00E+00	12	17.58973684	9.854594737	32.08618947	91.74654579	9.340602105	17.25047895	30.03541053
cast4	13	18.993	9.3101	33.9252	89.76469	9.45854	8.45E+00	29.9837	0.00E+00	13	19.05021053	9.804578947	32.12742632	91.4152	9.345457368	13.35022105	30.09435789
cast4	14	20.567	9.2704	33.9664	90.30755	9.46207	5.86E+00	30.0664	0.00E+00	14	20.52131579	9.755826316	32.21712105	91.55287053	9.351118947	10.43117368	30.16714737
cast4	15	21.977	9.2167	34.0179	90.14261	9.46737	4.35E+00	30.1206	0.00E+00	15	21.98389474	9.709289474	32.34520526	91.29155895	9.356876316	8.326547368	30.23348947
cast4	16	23.332	9.1629	34.0955	88.99367	9.47378	3.30E+00	30.2216	0.00E+00	16	23.43515789	9.666047368	32.40032105	91.23996316	9.363291053	6.777042105	30.29656316
