SurveyName,Year,monthNominal,Match_Name,Transect,Station,Date_isotxt,Time,Cast#,Depth,Type,Lat_dDeg,Lon_dDeg
"2023-02","2023","2","6_1","6","1","2023-02-16","11:17","121","36","CTD","59.2120333333333333","-151.925"
"2023-02","2023","2","6_2","6","2","2023-02-16","11:25","122","53","CTD","59.20495","-151.9516833333333333"
"2023-02","2023","2","6_3","6","3","2023-02-16","11:34","123","107","CTD","59.1970666666666667","-151.97935"
"2023-02","2023","2","6_4","6","4","2023-02-16","11:50","124","110","CTD","59.1898333333333333","-152.0065166666666667"
"2023-02","2023","2","7_20","7","20","2023-02-16","12:18","125","86","CTD","59.1898333333333333","-152.1299166666666667"
"2023-02","2023","2","7_21","7","21","2023-02-16","12:27","126","76","CTD","59.31175","-152.0979166666666667"
"2023-02","2023","2","7_22","7","22","2023-02-16","12:36","127","55","CTD","59.3100333333333333","-152.0665333333333333"
"2023-02","2023","2","7_23","7","23","2023-02-16","12:44","128","55","CTD","59.3096333333333333","-152.0337"
"2023-02","2023","2","AlongBay_PTGR","AlongBay","PTGR","2023-02-16","13:02","129","69","CTD","59.3908833333333333","-152.0432333333333333"
"2023-02","2023","2","AlongBay_POGI","AlongBay","POGI","2023-02-16","13:18","130","103","CTD","59.4496166666666667","-152.0001333333333333"
"2023-02","2023","2","AlongBay_1","AlongBay","1","2023-02-16","13:37","131","73","CTD","59.4994666666666667","-151.889"
"2023-02","2023","2","AlongBay_2","AlongBay","2","2023-02-16","13:57","132","123","CTD","59.51785","-151.7288166666666667"
"2023-02","2023","2","AlongBay_3","AlongBay","3","2023-02-16","14:11","133","109","CTD","59.5249333333333333","-151.6513166666666667"
"2023-02","2023","2","AlongBay_4","AlongBay","4","2023-02-16","14:32","134","154","CTD","59.5513666666666667","-151.53025"
"2023-02","2023","2","AlongBay_5","AlongBay","5","2023-02-16","14:46","135","174","CTD","59.5627","-151.4607"
"2023-02","2023","2","AlongBay_6","AlongBay","6","2023-02-16","15:03","136","101","CTD","59.5823833333333333","-151.3853833333333333"
"2023-02","2023","2","AlongBay_7","AlongBay","7","2023-02-16","15:14","137","146","CTD","59.59165","-151.3507666666666667"
"2023-02","2023","2","AlongBay_8","AlongBay","8","2023-02-16","15:28","138","80","CTD","59.6126833333333333","-151.2955666666666667"
"2023-02","2023","2","AlongBay_9","AlongBay","9","2023-02-16","15:38","139","66","CTD","59.6315666666666667","-151.25075"
"2023-02","2023","2","AlongBay_10","AlongBay","10","2023-02-16","15:46","140","61","CTD","59.6569333333333333","-151.2090833333333333"
"2023-02","2023","2","AlongBay_11","AlongBay","11","2023-02-16","16:02","141","53","CTD","59.68685","-151.1644666666666667"
"2023-02","2023","2","4_10","4","10","2023-02-18","13:06","142","20","CTD","59.6327833333333333","-151.6499333333333333"
"2023-02","2023","2","4_9","4","9","2023-02-18","13:11","143","30","CTD","59.6255666666666667","-151.6495166666666667"
"2023-02","2023","2","4_8","4","8","2023-02-18","13:18","144","33","CTD","59.6076833333333333","-151.6487"
"2023-02","2023","2","4_7","4","7","2023-02-18","13:25","145","40","CTD","59.5911","-151.6492666666666667"
"2023-02","2023","2","4_6","4","6","2023-02-18","13:32","146","71","CTD","59.5741833333333333","-151.6490166666666667"
"2023-02","2023","2","4_5","4","5","2023-02-18","13:42","147","83","CTD","59.5580166666666667","-151.6494666666666667"
"2023-02","2023","2","4_4","4","4","2023-02-18","13:52","148","92","CTD","59.5406166666666667","-151.64865"
"2023-02","2023","2","4_3","4","3","2023-02-18","14:02","149","112","CTD","59.5253333333333333","-151.64985"
"2023-02","2023","2","4_2","4","2","2023-02-18","14:13","150","102","CTD","59.50745","-151.6494333333333333"
"2023-02","2023","2","4_1","4","1","2023-02-18","14:22","151","21","CTD","59.4921666666666667","-151.64975"
"2023-02","2023","2","9_1","9","1","2023-02-18","14:51","152","63","CTD","59.5705166666666667","-151.3570666666666667"
"2023-02","2023","2","9_2","9","2","2023-02-18","14:58","153","83","CTD","59.5723333333333333","-151.3634333333333333"
"2023-02","2023","2","9_3","9","3","2023-02-18","15:05","154","96","CTD","59.5750166666666667","-151.3695166666666667"
"2023-02","2023","2","9_4","9","4","2023-02-18","15:13","155","97","CTD","59.5765833333333333","-151.3737333333333333"
"2023-02","2023","2","9_5","9","5","2023-02-18","15:22","156","100","CTD","59.5798333333333333","-151.3803333333333333"
"2023-02","2023","2","9_6","9","6","2023-02-18","15:30","157","103","CTD","59.5831","-151.3866666666666667"
"2023-02","2023","2","9_7","9","7","2023-02-18","15:40","158","101","CTD","59.5867666666666667","-151.3902"
"2023-02","2023","2","9_8","9","8","2023-02-18","15:48","159","94","CTD","59.5897333333333333","-151.3949"
"2023-02","2023","2","9_9","9","9","2023-02-18","15:55","160","","CTD","59.59315","-151.3994333333333333"
"2023-02","2023","2","9_10","9","10","2023-02-18","16:03","161","60","CTD","59.5968166666666667","-151.4041166666666667"
"2023-02","2023","2","6_3","6","3","2023-03-08","11:34","164","106","CTD","59.197","-151"
"2023-02","2023","2","7_2","7","2","2023-03-08","12:01","165","76","CTD","59.3105","-152"
"2023-02","2023","2","AlongBay_PTGR","AlongBay","PTGR","2023-03-08","12:17","166","70","CTD","59.3921166666666667","-152"
"2023-02","2023","2","AlongBay_POGI","AlongBay","POGI","2023-03-08","12:31","167","103","CTD","59.4498333333333333","-151"
"2023-02","2023","2","AlongBay_1","AlongBay","1","2023-03-08","12:47","168","75","CTD","59.4989166666666667","-151"
