SurveyName,Year,monthNominal,Match_Name,Transect,Station,Date_isotxt,Time,Cast#,Depth,Type,Lat_dDeg,Lon_dDeg
"2023-02","2023","2","6_1","6","1","2023-02-16","11:17","121","36","CTD","59.2120333","-151.925"
"2023-02","2023","2","6_2","6","2","2023-02-16","11:25","122","53","CTD","59.20495","-151.951683"
"2023-02","2023","2","6_3","6","3","2023-02-16","11:34","123","107","CTD","59.1970667","-151.97935"
"2023-02","2023","2","6_4","6","4","2023-02-16","11:50","124","110","CTD","59.1898333","-152.006517"
"2023-02","2023","2","7_20","7","20","2023-02-16","12:18","125","86","CTD","59.1898333","-152.129917"
"2023-02","2023","2","7_21","7","21","2023-02-16","12:27","126","76","CTD","59.31175","-152.097917"
"2023-02","2023","2","7_22","7","22","2023-02-16","12:36","127","55","CTD","59.3100333","-152.066533"
"2023-02","2023","2","7_23","7","23","2023-02-16","12:44","128","55","CTD","59.3096333","-152.0337"
"2023-02","2023","2","AlongBay_PTGR","AlongBay","PTGR","2023-02-16","13:02","129","69","CTD","59.3908833","-152.043233"
"2023-02","2023","2","AlongBay_POGI","AlongBay","POGI","2023-02-16","13:18","130","103","CTD","59.4496167","-152.000133"
"2023-02","2023","2","AlongBay_1","AlongBay","1","2023-02-16","13:37","131","73","CTD","59.4994667","-151.889"
"2023-02","2023","2","AlongBay_2","AlongBay","2","2023-02-16","13:57","132","123","CTD","59.51785","-151.728817"
"2023-02","2023","2","AlongBay_3","AlongBay","3","2023-02-16","14:11","133","109","CTD","59.5249333","-151.651317"
"2023-02","2023","2","AlongBay_4","AlongBay","4","2023-02-16","14:32","134","154","CTD","59.5513667","-151.53025"
"2023-02","2023","2","AlongBay_5","AlongBay","5","2023-02-16","14:46","135","174","CTD","59.5627","-151.4607"
"2023-02","2023","2","AlongBay_6","AlongBay","6","2023-02-16","15:03","136","101","CTD","59.5823833","-151.385383"
"2023-02","2023","2","AlongBay_7","AlongBay","7","2023-02-16","15:14","137","146","CTD","59.59165","-151.350767"
"2023-02","2023","2","AlongBay_8","AlongBay","8","2023-02-16","15:28","138","80","CTD","59.6126833","-151.295567"
"2023-02","2023","2","AlongBay_9","AlongBay","9","2023-02-16","15:38","139","66","CTD","59.6315667","-151.25075"
"2023-02","2023","2","AlongBay_10","AlongBay","10","2023-02-16","15:46","140","61","CTD","59.6569333","-151.209083"
"2023-02","2023","2","AlongBay_11","AlongBay","11","2023-02-16","16:02","141","53","CTD","59.68685","-151.164467"
"2023-02","2023","2","4_10","4","10","2023-02-18","13:06","142","20","CTD","59.6327833","-151.649933"
"2023-02","2023","2","4_9","4","9","2023-02-18","13:11","143","30","CTD","59.6255667","-151.649517"
"2023-02","2023","2","4_8","4","8","2023-02-18","13:18","144","33","CTD","59.6076833","-151.6487"
"2023-02","2023","2","4_7","4","7","2023-02-18","13:25","145","40","CTD","59.5911","-151.649267"
"2023-02","2023","2","4_6","4","6","2023-02-18","13:32","146","71","CTD","59.5741833","-151.649017"
"2023-02","2023","2","4_5","4","5","2023-02-18","13:42","147","83","CTD","59.5580167","-151.649467"
"2023-02","2023","2","4_4","4","4","2023-02-18","13:52","148","92","CTD","59.5406167","-151.64865"
"2023-02","2023","2","4_3","4","3","2023-02-18","14:02","149","112","CTD","59.5253333","-151.64985"
"2023-02","2023","2","4_2","4","2","2023-02-18","14:13","150","102","CTD","59.50745","-151.649433"
"2023-02","2023","2","4_1","4","1","2023-02-18","14:22","151","21","CTD","59.4921667","-151.64975"
"2023-02","2023","2","9_1","9","1","2023-02-18","14:51","152","63","CTD","59.5705167","-151.357067"
"2023-02","2023","2","9_2","9","2","2023-02-18","14:58","153","83","CTD","59.5723333","-151.363433"
"2023-02","2023","2","9_3","9","3","2023-02-18","15:05","154","96","CTD","59.5750167","-151.369517"
"2023-02","2023","2","9_4","9","4","2023-02-18","15:13","155","97","CTD","59.5765833","-151.373733"
"2023-02","2023","2","9_5","9","5","2023-02-18","15:22","156","100","CTD","59.5798333","-151.380333"
"2023-02","2023","2","9_6","9","6","2023-02-18","15:30","157","103","CTD","59.5831","-151.386667"
"2023-02","2023","2","9_7","9","7","2023-02-18","15:40","158","101","CTD","59.5867667","-151.3902"
"2023-02","2023","2","9_8","9","8","2023-02-18","15:48","159","94","CTD","59.5897333","-151.3949"
"2023-02","2023","2","9_9","9","9","2023-02-18","15:55","160","","CTD","59.59315","-151.399433"
"2023-02","2023","2","9_10","9","10","2023-02-18","16:03","161","60","CTD","59.5968167","-151.404117"
"2023-02","2023","2","6_3","6","3","2023-03-08","11:34","164","106","CTD","59.197","-151"
"2023-02","2023","2","7_2","7","2","2023-03-08","12:01","165","76","CTD","59.3105","-152"
"2023-02","2023","2","AlongBay_PTGR","AlongBay","PTGR","2023-03-08","12:17","166","70","CTD","59.3921167","-152"
"2023-02","2023","2","AlongBay_POGI","AlongBay","POGI","2023-03-08","12:31","167","103","CTD","59.4498333","-151"
"2023-02","2023","2","AlongBay_1","AlongBay","1","2023-03-08","12:47","168","75","CTD","59.4989167","-151"
"2023-02","2023","2","AlongBay_2","AlongBay","2","2023-03-08","13:05","169","125","CTD","59.51765","-151"
"2023-02","2023","2","AlongBay_3","AlongBay","3","2023-03-08","13:17","170","111","CTD","59.525","-151"
"2023-02","2023","2","AlongBay_4","AlongBay","4","2023-03-08","13:34","171","158","CTD","59.5515167","-151"
"2023-02","2023","2","AlongBay_5","AlongBay","5","2023-03-08","13:48","172","177","CTD","59.5623667","-151"
"2023-02","2023","2","AlongBay_6","AlongBay","6","2023-03-08","14:03","173","104","CTD","59.5824","-151"
