SurveyName,Year,monthNominal,Match_Name,Transect,Station,Date_isotxt,Time,Cast#,Depth,Type,Lat_dDeg,Lon_dDeg,Vessel
"S2023-05","2023","5","AlongBay_13","AlongBay","13","2023-05-12","11:30","02","28","CTD","59.7416666666666667","-151.0566333333333333","Edgecombe"
"S2023-05","2023","5","AlongBay_12","AlongBay","12","2023-05-12","11:41","03","76.6","CTD","59.7123166666666667","-151.11355","Edgecombe"
"S2023-05","2023","5","AlongBay_11","AlongBay","11","2023-05-12","11:52","04","55","CTD","59.6871333333333333","-151.1628166666666667","Edgecombe"
"S2023-05","2023","5","AlongBay_10","AlongBay","10","2023-05-12","12:02","05","62","CTD","59.6574333333333333","-151.2078333333333333","Edgecombe"
"S2023-05","2023","5","AlongBay_10","AlongBay","10","2023-05-12","12:05","","60","Nutrients","59.6574333333333333","-151.2078333333333333","Edgecombe"
"S2023-05","2023","5","AlongBay_10","AlongBay","10","2023-05-12","12:05","","surface","Phytoplankton","59.6574333333333333","-151.2078333333333333","Edgecombe"
"S2023-05","2023","5","AlongBay_9","AlongBay","9","2023-05-12","12:18","06","68","CTD","59.6299166666666667","-151.24935","Edgecombe"
"S2023-05","2023","5","AlongBay_8","AlongBay","8","2023-05-12","12:27","07","85","CTD","59.6126","-151.2918666666666667","Edgecombe"
"S2023-05","2023","5","AlongBay_7","AlongBay","7","2023-05-12","12:38","08","146","CTD","59.5914333333333333","-151.3486666666666667","Edgecombe"
"S2023-05","2023","5","AlongBay_6","AlongBay","6","2023-05-12","12:50","09","100","CTD","59.5820833333333333","-151.3862333333333333","Edgecombe"
"S2023-05","2023","5","AlongBay_6","AlongBay","6","2023-05-12","12:52","","95","Nutrients","59.5820833333333333","-151.3862333333333333","Edgecombe"
"S2023-05","2023","5","AlongBay_6","AlongBay","6","2023-05-12","15:52","","0","Phytoplankton","59.5820833333333333","-151.3862333333333333","Edgecombe"
"S2023-05","2023","5","AlongBay_5","AlongBay","5","2023-05-12","13:12","10","173","CTD","59.56195","-151.4595166666666667","Edgecombe"
"S2023-05","2023","5","AlongBay_4","AlongBay","4","2023-05-12","13:27","11","153","CTD","59.5515666666666667","-151.5313333333333333","Edgecombe"
"S2023-05","2023","5","AlongBay_3","AlongBay","3","2023-05-12","13:46","12","107","CTD","59.5255166666666667","-151.6492666666666667","Edgecombe"
"S2023-05","2023","5","AlongBay_3","AlongBay","3","2023-05-12","13:48","","","Nutrients","59.5255166666666667","-151.6492666666666667","Edgecombe"
