SurveyName,Year,monthNominal,Match_Name,Transect,Station,Date_isotxt,Time,Cast#,Depth,Type,Vessel
"S2023-07","2023","7","6_2","6","2","2023-07-24","11:14","111","50","CTD","Edgecombe"
"S2023-07","2023","7","7_21","7","21","2023-07-24","11:55","112","75","CTD","Edgecombe"
"S2023-07","2023","7","AlongBay_PTGR","AlongBay","PTGR","2023-07-24","12:22","113","66","CTD","Edgecombe"
"S2023-07","2023","7","AlongBay_POGI","AlongBay","POGI","2023-07-24","12:37","114","104","CTD","Edgecombe"
"S2023-07","2023","7","AlongBay_1","AlongBay","1","2023-07-24","12:56","115","73","CTD","Edgecombe"
"S2023-07","2023","7","AlongBay_2","AlongBay","2","2023-07-24","13:15","116","125","CTD","Edgecombe"
"S2023-07","2023","7","AlongBay_3","AlongBay","3","2023-07-24","13:30","117","109","CTD","Edgecombe"
"S2023-07","2023","7","AlongBay_4","AlongBay","4","2023-07-24","13:48","118","155","CTD","Edgecombe"
"S2023-07","2023","7","AlongBay_5","AlongBay","5","2023-07-24","14:04","119","171","CTD","Edgecombe"
"S2023-07","2023","7","AlongBay_6","AlongBay","6","2023-07-24","14:21","120","101","CTD","Edgecombe"
"S2023-07","2023","7","AlongBay_6","AlongBay","6","2023-07-24","14:22","","90","Nutrients","Edgecombe"
"S2023-07","2023","7","AlongBay_7","AlongBay","7","2023-07-24","14:41","121","144","CTD","Edgecombe"
"S2023-07","2023","7","AlongBay_8","AlongBay","8","2023-07-24","14:55","122","85","CTD","Edgecombe"
"S2023-07","2023","7","AlongBay_9","AlongBay","9","2023-07-24","15:05","123","69","CTD","Edgecombe"
"S2023-07","2023","7","AlongBay_10","AlongBay","10","2023-07-24","15:16","124","65","CTD","Edgecombe"
"S2023-07","2023","7","AlongBay_10","AlongBay","10","2023-07-24","15:18","","0","Phytoplankton","Edgecombe"
"S2023-07","2023","7","AlongBay_10","AlongBay","10","2023-07-24","15:20","","60","Nutrients","Edgecombe"
"S2023-07","2023","7","AlongBay_11","AlongBay","11","2023-07-24","15:32","125","54.3","CTD","Edgecombe"
"S2023-07","2023","7","AlongBay_12","AlongBay","12","2023-07-24","15:42","126","77","CTD","Edgecombe"
"S2023-07","2023","7","AlongBay_13","AlongBay","13","2023-07-24","15:54","127","26.4","CTD","Edgecombe"
"S2023-07","2023","7","4_10","4","10","2023-07-25","9:49","128","0","CTD","Edgecombe"
"S2023-07","2023","7","4_10","4","10","2023-07-25","9:51","129","18","CTD","Edgecombe"
"S2023-07","2023","7","4_9","4","9","2023-07-25","9:59","130","27","CTD","Edgecombe"
"S2023-07","2023","7","4_8","4","8","2023-07-25","10:06","131","29.5","CTD","Edgecombe"
"S2023-07","2023","7","4_7","4","7","2023-07-25","10:12","132","37","CTD","Edgecombe"
"S2023-07","2023","7","4_6","4","6","2023-07-25","10:19","133","62","CTD","Edgecombe"
"S2023-07","2023","7","4_5","4","5","2023-07-25","10:27","134","79","CTD","Edgecombe"
"S2023-07","2023","7","4_4","4","4","2023-07-25","10:35","135","88","CTD","Edgecombe"
"S2023-07","2023","7","4_3","4","3","2023-07-25","10:43","136","108","CTD","Edgecombe"
"S2023-07","2023","7","4_3","4","3","2023-07-25","10:50","","100","Nutrients","Edgecombe"
"S2023-07","2023","7","4_3","4","3","2023-07-25","10:45","","0","Phytoplankton","Edgecombe"
"S2023-07","2023","7","4_2","4","2","2023-07-25","10:58","137","102","CTD","Edgecombe"
"S2023-07","2023","7","4_1","4","1","2023-07-25","11:07","138","20","CTD","Edgecombe"
"S2023-07","2023","7","9_1","9","1","2023-07-25","11:35","139","51","CTD","Edgecombe"
"S2023-07","2023","7","9_2","9","2","2023-07-25","11:42","140","72","CTD","Edgecombe"
"S2023-07","2023","7","9_3","9","3","2023-07-25","11:49","141","96","CTD","Edgecombe"
"S2023-07","2023","7","9_4","9","4","2023-07-25","11:56","142","94","CTD","Edgecombe"
"S2023-07","2023","7","9_5","9","5","2023-07-25","12:05","143","96","CTD","Edgecombe"
"S2023-07","2023","7","9_6","9","6","2023-07-25","12:13","144","100","CTD","Edgecombe"
"S2023-07","2023","7","9_7","9","7","2023-07-25","12:21","145","99","CTD","Edgecombe"
"S2023-07","2023","7","9_8","9","8","2023-07-25","12:29","146","151","CTD","Edgecombe"
"S2023-07","2023","7","9_9","9","9","2023-07-25","12:37","147","81","CTD","Edgecombe"
"S2023-07","2023","7","9_10","9","10","2023-07-25","12:46","148","62","CTD","Edgecombe"
