SurveyName,Year,monthNominal,Match_Name,Transect,Station,Date_isotxt,Time,Cast#,Depth,Type,Lat_ddN,Lon_ddW
"S2023-02","2023","2","6_2","6","2","2023-02-16","11:17:00","121","36","CTD","",""
"S2023-02","2023","2","6_2","6","2","2023-02-16","11:25:00","122","53","CTD","59","151"
"S2023-02","2023","2","6_3","6","3","2023-02-16","11:34:00","123","107","CTD","59","151"
"S2023-02","2023","2","6_4","6","4","2023-02-16","11:50:00","124","110","CTD","59","152"
"S2023-02","2023","2","7_20","7","20","2023-02-16","12:18:00","125","86","CTD","59","152"
"S2023-02","2023","2","7_21","7","21","2023-02-16","12:27:00","126","76","CTD","59","152"
"S2023-02","2023","2","7_22","7","22","2023-02-16","12:36:00","127","55","CTD","59","152"
"S2023-02","2023","2","7_23","7","23","2023-02-16","12:44:00","128","55","CTD","59","152"
"S2023-02","2023","2","AlongBay_PGRM","AlongBay","PGRM","2023-02-16","13:02:00","129","69","CTD","59","152"
"S2023-02","2023","2","AlongBay_POGI","AlongBay","POGI","2023-02-16","13:18:00","130","103","CTD","59","152"
"S2023-02","2023","2","AlongBay_1","AlongBay","1","2023-02-16","13:37:00","131","73","CTD","59","151"
"S2023-02","2023","2","AlongBay_2","AlongBay","2","2023-02-16","13:57:00","132","123","CTD","59","151"
"S2023-02","2023","2","AlongBay_3","AlongBay","3","2023-02-16","14:11:00","133","109","CTD","59","151"
"S2023-02","2023","2","AlongBay_4","AlongBay","4","2023-02-16","14:32:00","134","154","CTD","59","151"
"S2023-02","2023","2","AlongBay_5","AlongBay","5","2023-02-16","14:46:00","135","174","CTD","59","151"
"S2023-02","2023","2","AlongBay_6","AlongBay","6","2023-02-16","15:03:00","136","101","CTD","59","151"
"S2023-02","2023","2","AlongBay_7","AlongBay","7","2023-02-16","15:14:00","137","146","CTD","59","151"
"S2023-02","2023","2","AlongBay_8","AlongBay","8","2023-02-16","15:28:00","138","80","CTD","59","151"
"S2023-02","2023","2","AlongBay_9","AlongBay","9","2023-02-16","15:38:00","139","66","CTD","59","151"
"S2023-02","2023","2","AlongBay_10","AlongBay","10","2023-02-16","15:46:00","140","61","CTD","59","151"
"S2023-02","2023","2","AlongBay_11","AlongBay","11","2023-02-16","16:02:00","141","53","CTD","59","151"
"S2023-02","2023","2","4_10","4","10","2023-02-18","13:06:00","142","20","CTD","59","151"
"S2023-02","2023","2","4_9","4","9","2023-02-18","13:11:00","143","30","CTD","59","151"
"S2023-02","2023","2","4_8","4","8","2023-02-18","13:18:00","144","33","CTD","59","151"
"S2023-02","2023","2","4_7","4","7","2023-02-18","13:25:00","145","40","CTD","59","151"
"S2023-02","2023","2","4_6","4","6","2023-02-18","13:32:00","146","71","CTD","59","151"
"S2023-02","2023","2","4_5","4","5","2023-02-18","13:42:00","147","83","CTD","59","151"
"S2023-02","2023","2","4_4","4","4","2023-02-18","13:52:00","148","92","CTD","59","151"
"S2023-02","2023","2","4_3","4","3","2023-02-18","14:02:00","149","112","CTD","59","151"
"S2023-02","2023","2","4_2","4","2","2023-02-18","14:13:00","150","102","CTD","59","151"
"S2023-02","2023","2","4_1","4","1","2023-02-18","14:22:00","151","21","CTD","59","151"
"S2023-02","2023","2","9_1","9","1","2023-02-18","14:51:00","152","63","CTD","59","151"
"S2023-02","2023","2","9_2","9","2","2023-02-18","14:58:00","153","83","CTD","59","151"
"S2023-02","2023","2","9_3","9","3","2023-02-18","15:05:00","154","96","CTD","59","151"
"S2023-02","2023","2","9_4","9","4","2023-02-18","15:13:00","155","97","CTD","59","151"
"S2023-02","2023","2","9_5","9","5","2023-02-18","15:22:00","156","100","CTD","59","151"
"S2023-02","2023","2","9_6","9","6","2023-02-18","15:30:00","157","103","CTD","59","151"
"S2023-02","2023","2","9_7","9","7","2023-02-18","15:40:00","158","101","CTD","59","151"
"S2023-02","2023","2","9_8","9","8","2023-02-18","15:48:00","159","94","CTD","59","151"
"S2023-02","2023","2","9_9","9","9","2023-02-18","15:55:00","160","","CTD","59","151"
"S2023-02","2023","2","9_10","9","10","2023-02-18","16:03:00","161","60","CTD","59","151"
"S2023-02","2023","2","6_3","6","3","2023-03-08","11:34:00","164","106","CTD","59","151"
"S2023-02","2023","2","7_22","7","22","2023-03-08","12:01:00","165","76","CTD","59","152"
"S2023-02","2023","2","AlongBay_PGRM","AlongBay","PGRM","2023-03-08","12:17:00","166","70","CTD","59","152"
"S2023-02","2023","2","AlongBay_POGI","AlongBay","POGI","2023-03-08","12:31:00","167","103","CTD","59","151"
"S2023-02","2023","2","AlongBay_1","AlongBay","1","2023-03-08","12:47:00","168","75","CTD","59","151"
"S2023-02","2023","2","AlongBay_2","AlongBay","2","2023-03-08","13:05:00","169","125","CTD","59","151"
"S2023-02","2023","2","AlongBay_3","AlongBay","3","2023-03-08","13:17:00","170","111","CTD","59","151"
"S2023-02","2023","2","AlongBay_4","AlongBay","4","2023-03-08","13:34:00","171","158","CTD","59","151"
"S2023-02","2023","2","AlongBay_5","AlongBay","5","2023-03-08","13:48:00","172","177","CTD","59","151"
"S2023-02","2023","2","AlongBay_6","AlongBay","6","2023-03-08","14:03:00","173","104","CTD","59","151"
"S2023-03","2023","3","AlongBay_13","AlongBay","13","2023-03-28","11:53:00","174","24","CTD","59","151"
"S2023-03","2023","3","AlongBay_12","AlongBay","12","2023-03-28","12:08:00","175","78","CTD","59","151"
"S2023-03","2023","3","AlongBay_11","AlongBay","11","2023-03-28","12:22:00","176","54","CTD","59","151"
"S2023-03","2023","3","AlongBay_10","AlongBay","10","2023-03-28","12:38:00","177","61","CTD","59","151"
"S2023-03","2023","3","AlongBay_10","AlongBay","10","2023-03-28","12:40:00","","51","Nutrients","59","151"
"S2023-03","2023","3","AlongBay_9","AlongBay","9","2023-03-28","13:05:00","178","66","CTD","59","151"
"S2023-03","2023","3","AlongBay_8","AlongBay","8","2023-03-28","13:20:00","179","81","CTD","59","151"
"S2023-03","2023","3","AlongBay_7","AlongBay","7","2023-03-28","13:36:00","180","146","CTD","59","151"
"S2023-03","2023","3","AlongBay_6","AlongBay","6","2023-03-28","13:52:00","181","100","CTD","59","151"
"S2023-03","2023","3","AlongBay_6","AlongBay","6","2023-03-28","13:54:00","","90","Nutrients","59","151"
"S2023-03","2023","3","AlongBay_5","AlongBay","5","2023-03-28","14:12:00","182","173","CTD","59","151"
