Date,High Tide 1,High Tide 2,Low Tide 1,Low Tide 2
"2012-01-01 00:00","1899-12-30 07:42","1899-12-30 20:24","1899-12-30 01:00","1899-12-30 14:06"
"2012-01-02 00:00","1899-12-30 08:36","1899-12-30 21:54","1899-12-30 02:00","1899-12-30 15:30"
"2012-01-03 00:00","1899-12-30 09:42","1899-12-30 23:24","1899-12-30 03:12","1899-12-30 16:42"
"2012-01-04 00:00","1899-12-30 10:42",,"1899-12-30 04:42","1899-12-30 17:42"
"2012-01-05 00:00","1899-12-30 00:12","1899-12-30 11:30","1899-12-30 05:42","1899-12-30 18:18"
"2012-01-06 00:00","1899-12-30 00:54","1899-12-30 12:18","1899-12-30 06:24","1899-12-30 19:00"
"2012-01-07 00:00","1899-12-30 01:42","1899-12-30 13:00","1899-12-30 07:06","1899-12-30 19:36"
"2012-01-08 00:00","1899-12-30 02:12","1899-12-30 13:36","1899-12-30 07:42","1899-12-30 20:12"
"2012-01-09 00:00","1899-12-30 02:42","1899-12-30 14:18","1899-12-30 08:18","1899-12-30 20:42"
"2012-01-10 00:00","1899-12-30 03:24","1899-12-30 14:54","1899-12-30 08:48","1899-12-30 21:24"
"2012-01-11 00:00","1899-12-30 03:54","1899-12-30 15:30","1899-12-30 09:30","1899-12-30 21:54"
"2012-01-12 00:00","1899-12-30 04:24","1899-12-30 16:12","1899-12-30 10:18","1899-12-30 22:36"
"2012-01-13 00:00","1899-12-30 05:00","1899-12-30 17:00","1899-12-30 11:00","1899-12-30 23:12"
"2012-01-14 00:00","1899-12-30 05:42","1899-12-30 17:54","1899-12-30 11:48","1899-12-30 23:54"
"2012-01-15 00:00","1899-12-30 06:24","1899-12-30 18:48","1899-12-30 12:36",
"2012-01-16 00:00","1899-12-30 07:18","1899-12-30 20:06","1899-12-30 00:42","1899-12-30 13:48"
"2012-01-17 00:00","1899-12-30 08:12","1899-12-30 21:42","1899-12-30 01:42","1899-12-30 15:06"
"2012-01-18 00:00","1899-12-30 09:36","1899-12-30 23:12","1899-12-30 03:06","1899-12-30 16:36"
"2012-01-19 00:00","1899-12-30 10:42",,"1899-12-30 04:30","1899-12-30 17:42"
"2012-01-20 00:00","1899-12-30 00:24","1899-12-30 11:48","1899-12-30 05:42","1899-12-30 18:42"
"2012-01-21 00:00","1899-12-30 01:18","1899-12-30 12:48","1899-12-30 06:42","1899-12-30 19:24"
"2012-01-22 00:00","1899-12-30 02:00","1899-12-30 13:36","1899-12-30 07:36","1899-12-30 20:06"
"2012-01-23 00:00","1899-12-30 02:36","1899-12-30 14:18","1899-12-30 08:18","1899-12-30 20:42"
"2012-01-24 00:00","1899-12-30 03:18","1899-12-30 15:00","1899-12-30 08:54","1899-12-30 21:18"
"2012-01-25 00:00","1899-12-30 03:48","1899-12-30 15:36","1899-12-30 09:36","1899-12-30 21:54"
"2012-01-26 00:00","1899-12-30 04:18","1899-12-30 16:18","1899-12-30 10:12","1899-12-30 22:24"
"2012-01-27 00:00","1899-12-30 04:54","1899-12-30 16:54","1899-12-30 10:48","1899-12-30 22:54"
"2012-01-28 00:00","1899-12-30 05:30","1899-12-30 17:36","1899-12-30 11:30","1899-12-30 23:30"
"2012-01-29 00:00","1899-12-30 06:00","1899-12-30 18:24","1899-12-30 12:12",
"2012-01-30 00:00","1899-12-30 06:36","1899-12-30 19:18","1899-12-30 00:00","1899-12-30 13:06"
"2012-01-31 00:00","1899-12-30 07:24","1899-12-30 20:42","1899-12-30 00:54","1899-12-30 14:24"
"2012-02-01 00:00","1899-12-30 08:54","1899-12-30 22:30","1899-12-30 01:48","1899-12-30 16:06"
"2012-02-02 00:00","1899-12-30 09:36","1899-12-30 23:42","1899-12-30 03:42","1899-12-30 17:00"
"2012-02-03 00:00","1899-12-30 11:00",,"1899-12-30 05:00","1899-12-30 18:06"
"2012-02-04 00:00","1899-12-30 00:36","1899-12-30 11:48","1899-12-30 06:00","1899-12-30 18:30"
"2012-02-05 00:00","1899-12-30 01:12","1899-12-30 12:36","1899-12-30 06:36","1899-12-30 19:12"
"2012-02-06 00:00","1899-12-30 01:42","1899-12-30 13:24","1899-12-30 07:24","1899-12-30 19:48"
