LatitudeDeg,LatitudeMins,LongitudeDeg,LongitudeMins,Date,Time,Comments,StationEvent,TransectEvent,Station,Beaufort,WaveHeight,WindSpeed,ConvergenceZone,HighTurbidity,TooDarkToSee,ForagingBirds,Whales,SeaOtters,ErrorCheck
59,59.257,-152,28.938,"2012-05-02 00:00","1899-12-30 23:19","very turbid. Current 2.5-3 knots",30,74,"4",2,,,0,1,0,0,0,0,1
59,59.248,-152,30.576,"2012-05-02 00:00","1899-12-30 23:34","very turbid; 2.5 - 3 knot current",31,74,"3",2,,,0,1,0,0,0,0,1
59,59.784,-152,32.140,"2012-05-02 00:00","1899-12-30 23:44","very turbid.  Current 1.9 knots",32,74,"2",2,,,0,1,0,0,0,0,1
60,0.460,-152,33.956,"2012-05-02 00:00","1899-12-30 23:56","current 1.7 knots",33,74,"1",2,,,0,0,0,0,0,0,1
59,46.830,-151,54.326,"2012-05-02 00:00","1899-12-30 17:56","2 knots current. Dropped 3-17 too shallow",34,74,"16",2,,,0,0,0,0,0,0,1
59,47.362,-151,56.202,"2012-05-02 00:00","1899-12-30 18:08","current 1.9 knts; drift on station",35,74,"15",2,,,0,0,0,0,0,0,1
59,47.889,-151,57.589,"2012-05-02 00:00","1899-12-30 18:16","current 1.2 knots.  Driftrace",36,74,"14",2,,,0,0,0,0,0,0,1
,,,,"2012-05-02 00:00","1899-12-30 18:28","H20 turbid",37,74,"13",2,,,0,1,0,0,0,0,1
59,49.628,-152,2.431,"2012-05-02 00:00","1899-12-30 18:52","H2O very clear current 1.6 knots",38,74,"12",2,,,0,0,0,0,0,0,1
59,50.719,-152,5.640,"2012-05-02 00:00","1899-12-30 21:07","flood current. Very clear H20",39,74,"11",2,,,0,0,0,0,0,0,1
59,51.738,-152,8.727,"2012-05-02 00:00","1899-12-30 21:23","Flood tide.  Super clear H2O",40,74,"10",2,,,0,0,0,0,0,0,1
59,52.825,-152,12.068,"2012-05-02 00:00","1899-12-30 21:41","more turbid",41,74,"9",2,,,0,0,0,0,0,0,1
59,54.132,-152,15.176,"2012-05-02 00:00","1899-12-30 21:58","1.2-1.5 Flood current; drift from CTD transects;  plankton tows",42,74,"8",2,,,0,0,0,0,0,0,1
59,55.138,-152,18.482,"2012-05-02 00:00","1899-12-30 22:21","current 1.0-1.2 kn",43,74,"7",2,,,0,0,0,0,0,0,1
59,56.357,-152,22.008,"2012-05-02 00:00","1899-12-30 22:42","lots of current 2.1-2.3 kn.  Drift off station due to current",44,74,"6",2,,,0,0,0,0,0,0,1
59,57.525,-152,25.270,"2012-05-02 00:00","1899-12-30 23:02","very turbid 1/2m version. CTD current 2.6-3.0.  lots of drift",45,74,"5",2,,,0,1,0,0,0,0,1
59,59.260,-152,28.890,"2012-07-29 00:00","1899-12-30 18:53","secchi = 2m no flagging down current. Flat seas. Rain. CTD time 1 hr later than AKDT",46,75,"4",0,,,0,0,0,0,0,0,1
59,59.145,-152,30.528,"2012-07-29 00:00","1899-12-30 19:07","Secchi = 2.2m.  Flat seas. Rain.  CTD time 1 hr later than AKDT",47,75,"3",1,,,0,0,0,0,0,0,1
59,59.794,-152,32.092,"2012-07-29 00:00","1899-12-30 19:21","Secchi = 1.8m;  Flat seas. Rain.  CTD time 1 hr later than AKDT",48,75,"2",0,,,0,0,0,0,0,0,1
60,0.400,-152,34.006,"2012-07-29 00:00","1899-12-30 19:34","Secchi = 1.7m; Flat seas.  Rain.  CTD time 1 hr later than AKDT.",49,75,"1",0,,,0,0,0,0,0,0,1
59,51.801,-152,8.799,"2012-07-29 00:00","1899-12-30 16:26","H2O very clear here.  CTD time 1 hr later than AKDT.",50,75,"10",,,,0,0,0,0,0,0,1
59,52.752,-152,11.884,"2012-07-29 00:00","1899-12-30 16:46","Secchi = 3m.  CTD time 1 hr later than AKDT",51,75,"9",,,,0,0,0,0,0,0,1
59,54.070,-152,14.950,"2012-07-29 00:00","1899-12-30 17:10","CTD time 1 hr later than AKDT.  Seechi = Not taken.  50m retrieved 110 sec. nice tow.  2 Humpback Whales / Breaking + much tail slapping = 2 mi S of transect.  <0.1 mi drift while pulling plankton tow",52,75,"8",,,,0,0,0,0,1,0,1
59,55.137,-152,18.492,"2012-07-29 00:00","1899-12-30 17:37","current = 2 kts drift.  Secchi = 3.1m.  CTD time 1 hr later than AKDT",53,75,"7",,,,0,0,0,0,0,0,1
59,56.350,-152,21.969,"2012-07-29 00:00","1899-12-30 18:02","secchi = 2.9m",54,75,"6",,,,0,0,0,0,0,0,1
59,57.465,-152,25.136,"2012-07-29 00:00","1899-12-30 18:25","secchi = 2m",55,75,"5",,,,0,0,0,0,0,0,1
,,,,"2012-07-29 00:00","1899-12-30 14:02","CTD Time 1 hr later than AKDT",56,75,"16",,,,0,0,0,0,0,0,1
59,47.367,-151,56.269,"2012-07-29 00:00","1899-12-30 14:14","CTD time 1 hr later than AKDT",57,75,"15",,,,0,0,0,0,0,0,1
59,47.894,-151,57.562,"2012-07-29 00:00","1899-12-30 14:28","SOG = 0.4 km.  CTD time 1 hr later than AKDT",58,75,"14",,,,0,0,0,0,0,0,1
59,48.500,-151,59.270,"2012-07-29 00:00","1899-12-30 14:45","NB:  1216 wt aibled to Bongo Frame.  Z Plankton Tow = 0.5m/sec.  Nets looked great on retrieval.  CTD time 1 hr later than AKDT. -67 secs. -vent -surface",59,75,"13",,,,0,0,0,0,0,0,1
,,,,"2012-07-29 00:00","1899-12-30 15:09","current = 0.1 knt.  CTD time 1 hr later than AKDT.",60,75,"12",,,,0,0,0,0,0,0,1
59,50.717,-152,5.575,"2012-07-29 00:00","1899-12-30 15:29","- convergence zone (lots of debris in the H2O) - Rhinocerous auklet",61,75,"11",,,,1,0,0,1,0,0,1
60,0.396,-152,33.983,"2012-10-29 00:00","1899-12-30 08:52","1st station on T 3 is relatively calm.  H2O too rough for plankton sampling",62,76,"1",0,,,0,0,0,0,0,0,1
59,59.795,-152,32.220,"2012-10-29 00:00","1899-12-30 09:07",,63,76,"2",,,,0,0,0,0,0,0,1
59,59.215,-152,30.621,"2012-10-29 00:00","1899-12-30 09:18","see line of waves on horizon ahead.  Tsunami? :)",64,76,"3",,,,0,0,0,0,0,0,1
59,58.417,-152,28.675,"2012-10-29 00:00","1899-12-30 09:30","0936 Sunrise! Set to south ~1.8kts. No OA here or on this line",65,76,"4",,,,0,0,0,0,0,0,1
59,57.383,-152,25.297,"2012-10-29 00:00","1899-12-30 09:51","very turbid.  CTD not visible until at surface.  Wind increased with steep waves over shallow bar.  Waves 3-5 ft. whitecaps",66,76,"5",4,,,0,0,0,0,0,0,1
59,56.185,-152,22.111,"2012-10-29 00:00","1899-12-30 10:09","Large waves continue.  Winds increased to 15-20 kts from SE with higher gusts.  Seas 5-6 ft and steep w/ opposing tide.",67,76,"6",4,,,0,0,0,0,0,0,1
59,55.029,-152,18.535,"2012-10-29 00:00","1899-12-30 10:28","seas 5-6 ft.  Wind from southeast:  but is strong from west at Augustine.",68,76,"7",4,,,0,0,0,0,0,0,1
59,53.979,-152,15.239,"2012-10-29 00:00","1899-12-30 10:49","skipped plankton & zoops - rough seas",69,76,"8",4,,,0,0,0,0,0,0,1
59,52.794,-152,11.922,"2012-10-29 00:00","1899-12-30 11:12",,70,76,"9",,,,0,0,0,0,0,0,1
59,51.797,-152,8.706,"2012-10-29 00:00","1899-12-30 11:32","hit bottom on this cast",71,76,"10",,,,0,0,0,0,0,0,1
59,50.754,-152,5.629,"2012-10-29 00:00","1899-12-30 11:53",,72,76,"11",,,,0,0,0,0,0,0,1
59,49.668,-152,2.374,"2012-10-29 00:00","1899-12-30 12:19",,73,76,"12",,,,0,0,0,0,0,0,1
59,48.649,-151,59.204,"2012-10-29 00:00","1899-12-30 12:42","skipped plankton & zoops",74,76,"13",,,,0,0,0,0,0,0,1
59,47.924,-151,57.561,"2012-10-29 00:00","1899-12-30 12:58",,75,76,"14",,,,0,0,0,0,0,0,1
59,47.139,-151,56.167,"2012-10-29 00:00","1899-12-30 13:15",,76,76,"15",,,,0,0,0,0,0,0,1
59,46.806,-151,54.442,"2012-10-29 00:00","1899-12-30 13:30","Last station on this transect.",77,76,"16",,,,0,0,0,0,0,0,1
59,29.522,-151,39.001,"2012-05-02 00:00","1899-12-30 13:16","Lots of plankton",78,77,"1",3,,,0,0,0,0,0,0,1
59,30.485,-151,38.966,"2012-05-02 00:00","1899-12-30 13:25",,79,77,"2",3,,,0,0,0,0,0,0,1
59,31.490,-151,38.948,"2012-05-02 00:00","1899-12-30 13:56",,80,77,"3",3,,,0,0,0,0,0,0,1
59,32.524,-151,39.042,"2012-05-02 00:00","1899-12-30 14:08","reddish color to water",81,77,"4",3,,,0,0,0,0,0,0,1
59,33.482,-151,39.000,"2012-05-02 00:00","1899-12-30 14:29","10 ft offset to ships transducer",82,77,"5",3,,,0,0,0,0,0,0,1
59,34.495,-151,39.065,"2012-05-02 00:00","1899-12-30 14:43",,83,77,"6",3,,,0,0,0,0,0,0,1
,,,,"2012-05-02 00:00","1899-12-30 14:53","mesh on Bongo folded up on retrieval",84,77,"7",3,,,0,0,0,0,0,0,1
59,36.460,-151,38.994,"2012-05-02 00:00","1899-12-30 15:10",,85,77,"8",3,,,0,0,0,0,0,0,1
59,37.505,-151,39.045,"2012-05-02 00:00","1899-12-30 15:21",,86,77,"9",3,,,0,0,0,0,0,0,1
59,38.521,-151,39.002,"2012-05-02 00:00","1899-12-30 15:37","12 ft operating range - very shallow station.",87,77,"10",3,,,0,0,0,0,0,0,1
,,,,"2012-07-31 00:00","1899-12-30 08:37",,88,78,"1",0,,,0,0,0,0,0,0,1
,,,,"2012-07-31 00:00","1899-12-30 08:48","tow rate = 102 seconds.  Good tow low current but net dropped over part of catcher net.  Low meter",89,78,"2",0,,,0,0,0,0,0,0,1
,,,,"2012-07-31 00:00","1899-12-30 09:14",,90,78,"3",0,,,0,0,0,0,0,0,1
,,,,"2012-07-31 00:00","1899-12-30 09:28","recast net wrapped around itself on recast;  catch net completely inverted.  Used flow meter side of net",91,78,"4",0,,,0,0,0,0,0,0,1
,,,,"2012-07-31 00:00","1899-12-30 09:52",,92,78,"5",0,,,0,0,0,0,0,0,1
,,,,"2012-07-31 00:00","1899-12-30 10:11",,93,78,"6",0,,,0,0,0,0,0,0,1
,,,,"2012-07-31 00:00","1899-12-30 10:24","unattached to cod ends. 116 ea in addition to 121 but @ center.  Catch net 1/2 inverted used flow meter side",94,78,"7",0,,,0,0,0,0,0,0,1
,,,,"2012-07-31 00:00","1899-12-30 10:41",,95,78,"8",0,,,0,0,0,0,0,0,1
,,,,"2012-07-31 00:00","1899-12-30 10:52",,96,78,"9",0,,,0,0,0,0,0,0,1
,,,,"2012-07-31 00:00","1899-12-30 11:02","small resting flock s.shearwaters, c.murre & kittiwakes",97,78,"10",0,,,0,0,0,1,0,0,1
59,37.942,-151,39.226,"2012-10-29 00:00","1899-12-30 15:45",,98,79,"10",,,,0,0,0,0,0,0,1
59,37.507,-151,39.061,"2012-10-29 00:00","1899-12-30 15:53",,99,79,"9",,,,0,0,0,0,0,0,1
59,36.525,-151,38.995,"2012-10-29 00:00","1899-12-30 16:05",,100,79,"8",,,,0,0,0,0,0,0,1
59,35.500,-151,38.980,"2012-10-29 00:00","1899-12-30 16:17","Extra Air Cast @ this station",101,79,"7",,,,0,0,0,0,0,0,1
59,34.500,-151,38.980,"2012-10-29 00:00","1899-12-30 16:33",,102,79,"6",,,,0,0,0,0,0,0,1
59,33.493,-151,39.261,"2012-10-29 00:00","1899-12-30 16:44",,103,79,"5",,,,0,0,0,0,0,0,1
59,32.492,-151,38.962,"2012-10-29 00:00","1899-12-30 16:56","- no plankton samples taken  - bit too rough",104,79,"4",,,,0,0,0,0,0,0,1
59,31.530,-151,38.920,"2012-10-29 00:00","1899-12-30 17:14","- relatively clear water  - good visibility of CTD",105,79,"3",,,,0,0,0,0,0,0,1
59,30.510,-151,38.990,"2012-10-29 00:00","1899-12-30 17:29","Decreased winds & waves in lee of 1 cd. 3-4 ft waves from west",106,79,"2",3,,,0,0,0,0,0,0,1
59,29.534,-151,39.024,"2012-10-29 00:00","1899-12-30 17:43","Last station on Transect Line #4",107,79,"1",,,,0,0,0,0,0,0,1
59,29.575,-151,38.956,"2013-02-12 00:00","1899-12-30 10:56","CTD time 12:59.  start on south shore heading North",108,80,"1",,,,0,0,0,0,0,0,1
59,30.183,-151,39.047,"2013-02-12 00:00","1899-12-30 11:10","CTD time 13:11.  plankton station  secchi = 5m.  Water much clearer than Tran 9. no water for OA.  Phyto p 60 l filtered",109,80,"2",,,,0,0,0,0,0,0,1
59,31.473,-151,38.897,"2013-02-12 00:00","1899-12-30 11:33","CTD time 13:33.  Waves increasing as we move north 2-3ft.",110,80,"3",3,,,0,0,0,0,0,0,1
59,32.484,-151,39.119,"2013-02-12 00:00","1899-12-30 11:46","CTD time 13:46.  Secchi depth = 7m.  Very clear water",111,80,"4",,,,0,0,0,0,0,0,1
59,33.462,-151,39.080,"2013-02-12 00:00","1899-12-30 12:13","CTD time 14:13",112,80,"5",,,,0,0,0,0,0,0,1
59,34.423,-151,39.048,"2013-02-12 00:00","1899-12-30 12:26","seas decreased",113,80,"6",,,,0,0,0,0,0,0,1
59,35.475,-151,38.938,"2013-02-12 00:00","1899-12-30 12:39","CTD time 14:38.  secchi = 5.5m.  No water for OA.  60 l filtered phyto",114,80,"7",,,,0,0,0,0,0,0,1
59,36.499,-151,39.043,"2013-02-12 00:00","1899-12-30 12:58","Seas calmer.  CTD time 14:58",115,80,"8",,,,0,0,0,0,0,0,1
59,37.482,-151,39.022,"2013-02-12 00:00","1899-12-30 13:10","CTD time 15:10",116,80,"9",,,,0,0,0,0,0,0,1
59,37.999,-151,38.976,"2013-02-12 00:00","1899-12-30 13:17","Last station on transect line.",117,80,"10",,,,0,0,0,0,0,0,1
59,41.344,-151,53.757,"2013-02-13 00:00","1899-12-30 14:35","Drop-in Station Anchor PT",118,81,,2,,,0,0,0,0,0,0,1
59,12.685,-151,55.464,"2012-05-03 00:00","1899-12-30 17:37","mod. Turbidity.  Ebb tide.",119,82,"1",2,,,0,0,0,0,0,0,1
59,12.342,-151,57.052,"2012-05-03 00:00","1899-12-30 17:48","current 1.2 kn",120,82,"2",2,,,0,0,0,0,0,0,1
59,11.816,-151,58.682,"2012-05-03 00:00","1899-12-30 18:00","1.5 hrs to flood tide.  Current = 0.9kn",121,82,"3",2,,,0,0,0,0,0,0,1
59,11.396,-152,0.347,"2012-05-03 00:00","1899-12-30 18:11","current = 0.9kn",122,82,"4",2,,,0,0,0,0,0,0,1
59,10.549,-152,3.694,"2012-05-03 00:00","1899-12-30 18:28",,123,82,"5",2,,,0,0,0,0,0,0,1
59,9.712,-152,7.016,"2012-05-03 00:00","1899-12-30 18:55","current SE 0.7 kt",124,82,"6",2,,,0,0,0,0,0,0,1
59,8.854,-152,10.361,"2012-05-03 00:00","1899-12-30 19:15","kelp spotted before station.  Current SW 1 kt",125,82,"7",2,,,0,0,0,0,0,0,1
59,7.942,-152,13.690,"2012-05-03 00:00","1899-12-30 19:31","current SW 1.2 kt",126,82,"8",2,,,0,0,0,0,0,0,1
59,7.109,-152,16.929,"2012-05-03 00:00","1899-12-30 19:48","Lost signal, not fll cast ~110m.  Current SW 1 kt.",127,82,"9",2,,,0,0,0,0,0,0,1
59,6.227,-152,20.133,"2012-05-03 00:00","1899-12-30 20:05","current NW 0.4 kt.  Clear water",128,82,"10",2,,,0,0,0,0,0,0,1
59,5.344,-152,23.423,"2012-05-03 00:00","1899-12-30 20:22","clear water",129,82,"11",2,,,0,0,0,0,0,0,1
59,4.482,-152,26.710,"2012-05-03 00:00","1899-12-30 20:45","current:  West 1 kt",130,82,"12",2,,,0,0,0,0,0,0,1
59,3.590,-152,30.016,"2012-05-03 00:00","1899-12-30 21:03","current west 0.7 kt",131,82,"13",2,,,0,0,0,0,0,0,1
59,2.695,-152,33.352,"2012-05-03 00:00","1899-12-30 21:20","current West 1 kt.  Lost signal, not full cast ~110m",132,82,"14",2,,,0,0,0,0,0,0,1
59,1.814,-152,36.660,"2012-05-03 00:00","1899-12-30 21:36","current WNW 1.1 kt.  Lost signal",133,82,"15",2,,,0,0,0,0,0,0,1
59,1.034,-152,39.919,"2012-05-03 00:00","1899-12-30 21:54","current NW 0.7 kt",134,82,"16",2,,,0,0,0,0,0,0,1
59,0.124,-152,43.217,"2012-05-03 00:00","1899-12-30 22:13","current W 1kt",135,82,"17",2,,,0,0,0,0,0,0,1
58,59.271,-152,46.451,"2012-05-03 00:00","1899-12-30 22:32","current w 0.8 kt",136,82,"18",2,,,0,0,1,0,0,0,1
58,58.412,-152,49.627,"2012-05-03 00:00","1899-12-30 22:54","current WNW 0.7 kt",137,82,"19",2,,,0,0,1,0,0,0,1
58,57.466,-152,52.813,"2012-05-03 00:00","1899-12-30 23:14","Current SSW 0.5 kt",138,82,"20",2,,,0,0,1,0,0,0,1
58,56.753,-152,56.274,"2012-05-03 00:00","1899-12-30 23:34","Current SW 0.7 kt",139,82,"21",2,,,0,0,1,0,0,0,1
58,55.802,-152,59.581,"2012-05-03 00:00","1899-12-30 23:55","current W 0.7 kt.  Clear water",140,82,"22",2,,,0,0,1,0,0,0,1
58,54.945,-153,2.869,"2012-05-04 00:00","1899-12-30 00:18","Current N 0.4 kt",141,82,"23",2,,,0,0,0,0,0,0,1
