Date,Sunrise,Sunset
"2012-01-01 00:00","1899-12-30 10:05","1899-12-30 16:14"
"2012-01-02 00:00","1899-12-30 10:05","1899-12-30 16:16"
"2012-01-03 00:00","1899-12-30 10:04","1899-12-30 16:17"
"2012-01-04 00:00","1899-12-30 10:04","1899-12-30 16:19"
"2012-01-05 00:00","1899-12-30 10:03","1899-12-30 16:21"
"2012-01-06 00:00","1899-12-30 10:02","1899-12-30 16:22"
"2012-01-07 00:00","1899-12-30 10:01","1899-12-30 16:24"
"2012-01-08 00:00","1899-12-30 10:00","1899-12-30 16:26"
"2012-01-09 00:00","1899-12-30 09:59","1899-12-30 16:28"
"2012-01-10 00:00","1899-12-30 09:58","1899-12-30 16:30"
"2012-01-11 00:00","1899-12-30 09:57","1899-12-30 16:32"
"2012-01-12 00:00","1899-12-30 09:56","1899-12-30 16:34"
"2012-01-13 00:00","1899-12-30 09:54","1899-12-30 16:36"
"2012-01-14 00:00","1899-12-30 09:53","1899-12-30 16:38"
"2012-01-15 00:00","1899-12-30 09:51","1899-12-30 16:40"
"2012-01-16 00:00","1899-12-30 09:50","1899-12-30 16:43"
"2012-01-17 00:00","1899-12-30 09:48","1899-12-30 16:45"
"2012-01-18 00:00","1899-12-30 09:47","1899-12-30 16:47"
"2012-01-19 00:00","1899-12-30 09:45","1899-12-30 16:49"
"2012-01-20 00:00","1899-12-30 09:43","1899-12-30 16:52"
"2012-01-21 00:00","1899-12-30 09:41","1899-12-30 16:54"
"2012-01-22 00:00","1899-12-30 09:40","1899-12-30 16:57"
"2012-01-23 00:00","1899-12-30 09:38","1899-12-30 16:59"
"2012-01-24 00:00","1899-12-30 09:36","1899-12-30 17:02"
"2012-01-25 00:00","1899-12-30 09:34","1899-12-30 17:04"
"2012-01-26 00:00","1899-12-30 09:32","1899-12-30 17:07"
"2012-01-27 00:00","1899-12-30 09:30","1899-12-30 17:09"
"2012-01-28 00:00","1899-12-30 09:27","1899-12-30 17:12"
"2012-01-29 00:00","1899-12-30 09:25","1899-12-30 17:14"
"2012-01-30 00:00","1899-12-30 09:23","1899-12-30 17:17"
"2012-01-31 00:00","1899-12-30 09:21","1899-12-30 17:19"
"2012-02-01 00:00","1899-12-30 09:18","1899-12-30 17:22"
"2012-02-02 00:00","1899-12-30 09:16","1899-12-30 17:24"
"2012-02-03 00:00","1899-12-30 09:14","1899-12-30 17:27"
"2012-02-04 00:00","1899-12-30 09:11","1899-12-30 17:30"
"2012-02-05 00:00","1899-12-30 09:09","1899-12-30 17:32"
"2012-02-06 00:00","1899-12-30 09:07","1899-12-30 17:35"
"2012-02-07 00:00","1899-12-30 09:04","1899-12-30 17:37"
"2012-02-08 00:00","1899-12-30 09:02","1899-12-30 17:40"
"2012-02-09 00:00","1899-12-30 08:59","1899-12-30 17:43"
"2012-02-10 00:00","1899-12-30 08:57","1899-12-30 17:45"
"2012-02-11 00:00","1899-12-30 08:54","1899-12-30 17:48"
"2012-02-12 00:00","1899-12-30 08:51","1899-12-30 17:50"
"2012-02-13 00:00","1899-12-30 08:49","1899-12-30 17:53"
"2012-02-14 00:00","1899-12-30 08:46","1899-12-30 17:56"
"2012-02-15 00:00","1899-12-30 08:44","1899-12-30 17:58"
"2012-02-16 00:00","1899-12-30 08:41","1899-12-30 18:01"
"2012-02-17 00:00","1899-12-30 08:38","1899-12-30 18:03"
"2012-02-18 00:00","1899-12-30 08:35","1899-12-30 18:06"
"2012-02-19 00:00","1899-12-30 08:33","1899-12-30 18:08"
"2012-02-20 00:00","1899-12-30 08:30","1899-12-30 18:11"
"2012-02-21 00:00","1899-12-30 08:27","1899-12-30 18:13"
"2012-02-22 00:00","1899-12-30 08:24","1899-12-30 18:16"
"2012-02-23 00:00","1899-12-30 08:22","1899-12-30 18:19"
"2012-02-24 00:00","1899-12-30 08:19","1899-12-30 18:21"
"2012-02-25 00:00","1899-12-30 08:16","1899-12-30 18:24"
"2012-02-26 00:00","1899-12-30 08:13","1899-12-30 18:26"
"2012-02-27 00:00","1899-12-30 08:10","1899-12-30 18:29"
"2012-02-28 00:00","1899-12-30 08:07","1899-12-30 18:31"
