Vessel,Date,BeaufortScale,TransectEvent,Transect,WaveHeight,WindSpeed,comments
,"2012-05-02 00:00",2,74,"3",,,
"Pandalus","2012-07-29 00:00",,75,"3",,,
"Silver Hawk","2012-10-29 00:00",,76,"3",,,
"Pandalus","2012-05-02 00:00",3,77,"4",,,
"Pandalus","2012-07-31 00:00",0,78,"4",,,
"Silver Hawk","2012-10-29 00:00",,79,"4",,,
"Silver Hawk","2013-02-12 00:00",,80,"4",,,
"Silver Hawk","2013-02-13 00:00",2,81,"AnchorPoint-Dropin",,,
"Pandalus","2012-05-03 00:00",2,82,"6",,,
"Pandalus","2012-07-30 00:00",4,85,"6",,,
"Silver Hawk","2012-10-28 00:00",3,86,"6",,,
"Pandalus","2012-05-03 00:00",2,87,"7",,,
"Pandalus","2012-07-30 00:00",,88,"7",,,
"Silver Hawk","2012-10-29 00:00",2,89,"7",,,
"Silver Hawk","2012-10-28 00:00",3,90,"7",,,
"Barnacle","2012-04-26 00:00",1,91,"9",,,
"Barnacle","2012-05-31 00:00",2,92,"9",,,
"Barnacle","2012-05-31 00:00",2,93,"9",,,
"Barnacle","2012-06-05 00:00",3,94,"9",,,
"Barnacle","2012-06-05 00:00",3,95,"9",,,
"Barnacle","2012-07-12 00:00",,96,"9",,,
"Barnacle","2012-08-31 00:00",,97,"9",,,
"Silver Hawk","2012-10-29 00:00",3,98,"9",,,
"Silver Hawk","2013-01-04 00:00",0,99,"9",,,
"Silver Hawk","2013-02-12 00:00",0,100,"9",,,
"Silver Hawk","2013-02-12 00:00",4,101,"AlongBay",,,
"Barnacle","2013-03-15 00:00",,102,"9",,,
"Pandalus","2013-04-19 00:00",,103,"6",,,
"Pandalus","2013-04-20 00:00",,104,"7",,,
"Pandalus","2013-04-20 00:00",,105,"3",,,
"Pandalus","2013-04-21 00:00",,106,"4",,,
"Pandalus","2013-04-21 00:00",,107,"9",,,
"Barnacle","2013-05-21 00:00",,108,"9",,,
"Pandalus","2013-07-18 00:00",,109,"7",,,
"Pandalus","2013-07-19 00:00",3,110,"3",,,
"Pandalus","2013-07-19 00:00",2,111,"4",,,
"Pandalus","2013-07-21 00:00",2,112,"6",,,
"Pandalus","2013-07-22 00:00",0,113,"9",,,
"Barnacle","2013-08-30 00:00",0,114,"9",,,
"Pandalus","2013-10-29 00:00",1,116,"9",,,
"Pandalus","2013-10-29 00:00",2,117,"4",,,
"Pandalus","2013-11-06 00:00",3,118,"6",,,
"Pandalus","2013-11-08 00:00",2,119,"3",,,
"Barnacle","2013-09-25 00:00",2,120,"9",,,
"Barnacle","2013-12-03 00:00",1,121,"9",,,
"Barnacle","2014-01-09 00:00",,122,"9",,,
"Pandalus","2014-02-14 00:00",3,123,"9",,,
"Pandalus","2014-02-15 00:00",2,124,"4",,,
"Pandalus","2014-02-16 00:00",1,125,"3",,,
"Pandalus","2014-02-17 00:00",1,126,"7",,,
"Pandalus","2014-04-06 00:00",3,127,"6",,,
"Johana Rose","2014-03-28 00:00",2,128,"9",,,
"Pandalus","2014-04-07 00:00",2,129,"7",,,
"Pandalus","2014-04-11 00:00",,138,"3",1,5,
"Pandalus","2014-04-11 00:00",,139,"4",0,0,
"Pandalus","2014-04-11 00:00",,140,"9",1,10,
"Johanna Rose","2014-05-28 00:00",,141,"9",0,0,
"Barnacle","2014-06-18 00:00",,143,"9",1,10,
"Waters","2014-07-21 00:00",,144,"9",1,10,
"Waters","2014-07-21 00:00",,145,"4",1,10,
"Waters","2014-07-22 00:00",,146,"3",3,20,
"Waters","2014-07-23 00:00",,148,"6",0,2,
