ID,SampleEvent,AlternateId,Classification,Species,RTotal,RC1,RC2,RC3,RC4,RFC4,RMC4,RC5,RFC5,RMC5,RFA,RMA,RUnknown,Flow,Split
327,390,"9_6_A_042612","Copepod","Pseudocalanus",52,,1,6,,9,6,,8,7,13,2,,50,1
328,390,"9_6_A_042612","Copepod","Neocalanus plumchrus",19,,2,6,,6,5,,,,,,,50,1
329,390,"9_6_A_042612","Copepod","Acartia longerimis",17,,,,,3,1,,3,1,2,7,,50,1
330,390,"9_6_A_042612","Copepod","Oithona similis",3,,,,,,,,,,3,,,50,1
331,390,"9_6_A_042612","Copepod","Metridia pacifica",1,,1,,,,,,,,,,,50,1
332,390,"9_6_A_042612","Copepod","Tisbe spp.",1,,,,,,,,,,1,,,50,1
333,390,"9_6_A_042612","Unknown","Egg",381,,,,,,,,,,,,,50,1
334,390,"9_6_A_042612","Crustecean","Nauplii",12,,,,,,,,,,,,,50,1
335,390,"9_6_A_042612","Barnacle","Barnacle nauplii",230,,,,,,,,,,,,,50,1
336,390,"9_6_A_042612","Fish","Fish egg",40,,,,,,,,,,,,,50,1
337,390,"9_6_A_042612","Gastropod","Limacina",52,,,,,,,,,,,,,50,1
338,390,"9_6_A_042612","Echinoderm","Pluteus",3,,,,,,,,,,,,,50,1
339,390,"9_6_A_042612","Annelid","Spionidae",11,,,,,,,,,,,,,50,1
340,390,"9_6_A_042612","Decapod","Shrimp zoea",1,,,,,,,,,,,,,50,1
341,390,"9_6_A_042612","Decapod","Crab zoea",6,,,,,,,,,,,,,50,1
342,390,"9_6_A_042612","Chaetognath","Parasagitta elegans",8,,,,,,,,,,,,,50,1
343,390,"9_6_A_042612","Amphipod","Gammarid amphipod",1,,,,,,,,,,,,,50,1
344,390,"9_6_A_042612","Ostracod","Cypris",5,,,,,,,,,,,,,50,1
345,390,"9_6_A_042612","Annelid","Polychaete trochophore",4,,,,,,,,,,,,,50,1
346,390,"9_6_A_042612","Hydrozoan","Rathkea sp.",5,,,,,,,,,,,,,50,1
347,390,"9_6_A_042612","Bivalve","Clam larvae",1,,,,,,,,,,,,,50,1
348,396,"9_10_A_042612","Copepod","Pseudocalanus",83,,1,4,,12,8,,15,11,26,6,,50,1
349,396,"9_10_A_042612","Copepod","Neocalanus plumchrus",21,1,1,8,,9,2,,,,,,,50,1
350,396,"9_10_A_042612","Copepod","Acartia longerimis",23,,,,,1,2,,2,4,8,6,,50,1
351,396,"9_10_A_042612","Copepod","Oithona similis",6,,,,,1,,,1,,3,1,,50,1
352,396,"9_10_A_042612","Copepod","Tisbe spp.",4,,,,,1,,,1,,,2,,50,1
353,396,"9_10_A_042612","Copepod","Microcalanus spp.",4,,,,,,,,,,2,2,,50,1
354,396,"9_10_A_042612","Copepod","Acartia tumida",1,,,,,1,,,,,,,,50,1
355,396,"9_10_A_042612","Copepod","Metridia okhotensis",1,,,,,,,,,,1,,,50,1
356,396,"9_10_A_042612","Copepod","Sapphrina spp.",1,,,,,,,,,,,1,,50,1
357,396,"9_10_A_042612","Copepod","Scolecithricella spp.",1,,,,,,,,1,,,,,50,1
358,396,"9_10_A_042612","Copepod","Monstrilla spp.",1,,,,,,,,,,,1,,50,1
359,396,"9_10_A_042612","Unknown","Egg",688,,,,,,,,,,,,,50,1
360,396,"9_10_A_042612","Crustecean","Nauplii",3,,,,,,,,,,,,,50,1
361,396,"9_10_A_042612","Barnacle","Barnacle nauplii",122,,,,,,,,,,,,,50,1
362,396,"9_10_A_042612","Decapod","Zoea",14,,,,,,,,,,,,,50,1
363,396,"9_10_A_042612","Chaetognath","Parasagitta elegans",11,,,,,,,,,,,,,50,1
364,396,"9_10_A_042612","Fish","Fish egg",40,,,,,,,,,,,,,50,1
365,396,"9_10_A_042612","Annelid","Spionidae",13,,,,,,,,,,,,,50,1
366,396,"9_10_A_042612","Amphipod","Gammarid amphipod",8,,,,,,,,,,,,,50,1
367,396,"9_10_A_042612","Gastropod","Limacina",21,,,,,,,,,,,,,50,1
368,396,"9_10_A_042612","Ostracod","Cypris",4,,,,,,,,,,,,,50,1
369,396,"9_10_A_042612","Amphipod","Themisto pacifica",1,,,,,,,,,,,,,50,1
370,396,"9_10_A_042612","Annelid","Polychaete trochophore",9,,,,,,,,,,,,,50,1
371,396,"9_10_A_042612","Hydrozoan","Obelia",3,,,,,,,,,,,,,50,1
372,396,"9_10_A_042612","Hydrozoan","Euphysa japonica",1,,,,,,,,,,,,,50,1
373,396,"9_10_A_042612","Isopod","Idotea",2,,,,,,,,,,,,,50,1
374,396,"9_10_A_042612","Tunicate","Oikopleura dioica",1,,,,,,,,,,,,,50,1
375,396,"9_10_A_042612","Bivalve","Clam larvae",2,,,,,,,,,,,,,50,1
376,382,"9_1_A_042612","Copepod","Pseudocalanus",72,,1,12,,12,9,,9,21,5,3,,50,1
377,382,"9_1_A_042612","Copepod","Acartia longerimis",292,2,3,9,,16,16,,117,69,37,23,,50,1
378,382,"9_1_A_042612","Copepod","Oithona similis",6,,,,,,,,1,,4,1,,50,1
379,382,"9_1_A_042612","Copepod","Neocalanus plumchrus",16,,6,4,,3,3,,,,,,,50,1
380,382,"9_1_A_042612","Copepod","Acartia tumida",8,,2,2,,3,,,,1,,,,50,1
381,382,"9_1_A_042612","Copepod","Paracalanus spp.",2,,,,,,,,1,1,,,,50,1
382,382,"9_1_A_042612","Copepod","Tisbe spp.",2,,,,,,1,,,,,1,,50,1
383,382,"9_1_A_042612","Copepod","Tortanus discaudatus",2,,,,,,,,2,,,,,50,1
384,382,"9_1_A_042612","Unknown","Egg",410,,,,,,,,,,,,,50,1
