"ID","Transect","Station","Lon (°W)","Lat (°N)","Depth (m)","Plankton"
1,1.00,1,-151.87,59.20,33.00,0
2,1.00,2,-151.89,59.19,40.00,0
3,1.00,3,-151.90,59.17,38.00,0
4,1.00,4,-151.92,59.15,71.00,0
5,1.00,5,-151.95,59.12,123.00,0
6,1.00,6,-151.98,59.08,199.00,0
7,1.00,7,-152.01,59.05,202.00,0
8,1.00,8,-152.04,59.02,217.00,0
9,1.00,9,-152.07,58.98,125.00,0
10,1.00,10,-152.11,58.95,57.00,0
11,1.00,11,-152.14,58.92,84.00,0
12,1.00,12,-152.16,58.89,73.00,0
13,1.00,13,-152.18,58.86,88.00,0
14,1.00,14,-152.20,58.83,124.00,0
15,1.00,15,-152.22,58.79,121.00,0
16,1.00,16,-152.24,58.76,120.00,0
17,1.00,17,-152.26,58.73,122.00,0
18,1.00,18,-152.28,58.70,123.00,0
19,1.00,19,-152.29,58.69,89.00,0
20,1.00,20,-152.31,58.67,143.00,0
21,1.00,21,-152.32,58.66,137.00,0
22,1.00,22,-152.33,58.65,103.00,0
23,2.00,1,-152.63,58.61,32.00,0
24,2.00,2,-152.66,58.62,54.00,0
25,2.00,3,-152.68,58.63,94.00,0
26,2.00,4,-152.70,58.64,218.00,0
27,2.00,5,-152.76,58.66,194.00,0
28,2.00,6,-152.81,58.68,164.00,0
29,2.00,7,-152.86,58.70,161.00,0
30,2.00,8,-152.92,58.72,146.00,0
31,2.00,9,-152.97,58.74,153.00,0
32,2.00,10,-153.02,58.76,178.00,0
33,2.00,11,-153.08,58.78,169.00,0
34,2.00,12,-153.13,58.78,195.00,0
35,2.00,13,-153.15,58.81,202.00,0
36,2.00,14,-153.18,58.82,180.00,0
37,2.00,15,-153.21,58.83,113.00,0
38,2.00,16,-153.24,58.83,35.00,0
39,3.00,1,-152.56,60.00,24.00,0
40,3.00,2,-152.53,59.99,32.00,0
41,3.00,3,-152.51,59.98,35.00,0
42,3.00,4,-152.48,59.98,33.00,1
43,3.00,5,-152.42,59.95,27.00,0
44,3.00,6,-152.36,59.93,52.00,0
45,3.00,7,-152.30,59.91,112.00,0
46,3.00,8,-152.25,59.90,82.00,1
47,3.00,9,-152.20,59.88,73.00,0
48,3.00,10,-152.14,59.86,52.00,0
49,3.00,11,-152.09,59.84,40.00,0
50,3.00,12,-152.04,59.82,38.00,0
51,3.00,13,-151.98,59.81,35.00,1
52,3.00,14,-151.95,59.79,29.00,0
53,3.00,15,-151.93,59.79,22.00,0
54,3.00,16,-151.90,59.78,14.00,0
55,3.00,17,-151.88,59.77,12.00,0
56,4.00,1,-151.65,59.49,21.00,0
57,4.00,2,-151.65,59.50,102.00,1
58,4.00,3,-151.65,59.52,107.00,0
59,4.00,4,-151.65,59.54,86.00,1
60,4.00,5,-151.65,59.55,76.00,0
61,4.00,6,-151.65,59.57,63.00,0
62,4.00,7,-151.65,59.59,35.00,1
63,4.00,8,-151.65,59.60,29.00,0
64,4.00,9,-151.65,59.62,27.00,0
65,4.00,10,-151.65,59.49,10.00,0
66,5.00,1,-151.41,60.71,38.00,0
67,5.00,2,-151.45,60.71,24.00,0
68,5.00,3,-151.48,60.71,21.00,0
69,5.00,4,-151.51,60.71,26.00,0
70,5.00,5,-151.55,60.71,29.00,0
71,5.00,6,-151.58,60.71,61.00,0
72,5.00,7,-151.61,60.71,124.00,0
73,5.00,8,-151.65,60.71,29.00,0
74,5.00,9,-151.68,60.71,9.00,0
75,6.00,1,-151.92,59.21,36.00,0
76,6.00,2,-151.95,59.20,52.00,0
77,6.00,3,-151.98,59.19,104.00,0
78,6.00,4,-152.00,59.19,106.00,0
79,6.00,5,-152.06,59.17,105.00,1
80,6.00,6,-152.11,59.16,,0
81,6.00,7,-152.17,59.14,125.00,0
82,6.00,8,-152.22,59.13,132.00,0
83,6.00,9,-152.28,59.11,127.00,0
84,6.00,10,-152.33,59.10,96.00,0
85,6.00,11,-152.39,59.08,113.00,1
86,6.00,12,-152.44,59.07,140.00,0
87,6.00,13,-152.50,59.06,132.00,0
88,6.00,14,-152.55,59.04,138.00,0
89,6.00,15,-152.61,59.03,151.00,0
90,6.00,16,-152.66,59.01,155.00,0
91,6.00,17,-152.72,59.00,164.00,0
92,6.00,18,-152.77,58.98,175.00,0
93,6.00,19,-152.82,58.97,179.00,0
94,6.00,20,-152.88,58.95,175.00,0
95,6.00,21,-152.93,58.94,169.00,0
96,6.00,22,-152.99,58.93,167.00,0
97,6.00,23,-153.04,58.91,167.00,0
98,6.00,24,-153.10,58.90,170.00,0
99,6.00,25,-153.15,58.88,175.00,1
100,6.00,26,-153.18,58.88,171.00,0
101,6.00,27,-153.21,58.87,129.00,0
102,6.00,28,-153.24,58.86,32.00,0
103,7.00,1,-153.30,59.35,28.00,0
104,7.00,2,-153.26,59.34,42.00,0
105,7.00,3,-153.23,59.35,46.00,0
106,7.00,4,-153.17,59.34,50.00,1
107,7.00,5,-153.10,59.34,50.00,0
108,7.00,6,-153.04,59.34,53.00,0
109,7.00,7,-152.97,59.34,56.00,0
110,7.00,8,-152.91,59.33,72.00,0
111,7.00,9,-152.84,59.33,77.00,0
112,7.00,10,-152.78,59.33,75.00,1
113,7.00,11,-152.71,59.33,71.00,0
114,7.00,12,-152.65,59.33,72.00,0
115,7.00,13,-152.58,59.32,72.00,0
116,7.00,14,-152.52,59.32,70.00,0
117,7.00,15,-152.45,59.32,71.00,0
118,7.00,16,-152.39,59.32,85.00,0
119,7.00,17,-152.32,59.31,88.00,0
120,7.00,18,-152.26,59.31,82.00,0
121,7.00,19,-152.19,59.31,81.00,0
122,7.00,20,-152.13,59.31,85.00,1
123,7.00,21,-152.09,59.31,76.00,0
