StationEvent,SampleEvent,Date,Time,Type,Depth,Cast,FlowmeterStart,FlowmeterEnd,Temp,Salinity,DO,Comments,TowTime,DateTimeStamp
30,46,"05/02/12 00:00:00","12/30/99 23:19:00","CTD",32.0,,,,,,,,,"05/02/12 23:15:00"
30,47,"05/02/12 00:00:00","12/30/99 23:24:00","ZOOPLANKTON",,,23813,24003,,,,,,"05/02/12 23:15:00"
30,48,"05/02/12 00:00:00","12/30/99 23:24:00","PHYTOPLANKTON",,,,,,,,,,"05/02/12 23:15:00"
31,49,"05/02/12 00:00:00","12/30/99 23:35:00","CTD",32.0,,,,,,,,,"05/02/12 23:30:00"
32,50,"05/02/12 00:00:00","12/30/99 23:45:00","CTD",28.0,,,,,,,,,"05/02/12 23:45:00"
33,51,"05/02/12 00:00:00","12/30/99 23:58:00","CTD",20.6,,,,,,,,,"05/02/12 23:45:00"
34,52,"05/02/12 00:00:00","12/30/99 17:56:00","CTD",9.1,,,,,,,,,"05/02/12 17:45:00"
35,53,"05/02/12 00:00:00","12/30/99 18:08:00","CTD",17.5,,,,,,,,,"05/02/12 18:00:00"
36,54,"05/02/12 00:00:00","12/30/99 18:17:00","CTD",24.0,,,,,,,,,"05/02/12 18:15:00"
37,55,"05/02/12 00:00:00","12/30/99 18:29:00","CTD",28.0,,,,,,,,,"05/02/12 18:15:00"
37,56,"05/02/12 00:00:00","12/30/99 18:33:00","OCEAN ACIDIFICATION",1.0,,,,,,,,,"05/02/12 18:30:00"
37,57,"05/02/12 00:00:00","12/30/99 18:31:00","ZOOPLANKTON",28.0,,23217,23473,,,,,,"05/02/12 18:30:00"
37,58,"05/02/12 00:00:00","12/30/99 18:31:00","PHYTOPLANKTON",1.0,,,,,,,"sfc",,"05/02/12 18:30:00"
38,59,"05/02/12 00:00:00","12/30/99 18:54:00","CTD",31.6,,,,,,,,,"05/02/12 18:45:00"
39,60,"05/02/12 00:00:00","12/30/99 21:09:00","CTD",36.0,,,,,,,,,"05/02/12 21:00:00"
40,61,"05/02/12 00:00:00","12/30/99 21:24:00","CTD",46.2,,,,,,,,,"05/02/12 21:15:00"
41,62,"05/02/12 00:00:00","12/30/99 21:41:00","CTD",73.5,,,,,,,,,"05/02/12 21:30:00"
42,63,"05/02/12 00:00:00","12/30/99 22:00:00","CTD",76.0,,23473,23813,,,,,,"05/02/12 22:00:00"
42,64,"05/02/12 00:00:00","12/30/99 22:03:00","ZOOPLANKTON",50.0,,,,,,,,,"05/02/12 22:00:00"
42,65,"05/02/12 00:00:00","12/30/99 22:03:00","PHYTOPLANKTON",1.0,,,,,,,,,"05/02/12 22:00:00"
43,66,"05/02/12 00:00:00","12/30/99 22:34:00","CTD",100.0,,,,,,,,,"05/02/12 22:30:00"
44,67,"05/02/12 00:00:00","12/30/99 22:49:00","CTD",49.0,,,,,,,,,"05/02/12 22:45:00"
45,68,"05/02/12 00:00:00","12/30/99 23:02:00","CTD",25.0,,,,,,,,,"05/02/12 23:00:00"
46,69,"07/29/12 00:00:00","12/30/99 18:55:00","CTD",28.0,54,,,,,,,,"07/29/12 18:45:00"
46,71,"07/29/12 00:00:00","12/30/99 18:55:00","ZOOPLANKTON",28.0,,23665,24617,,,,,,"07/29/12 18:45:00"
46,72,"07/29/12 00:00:00","12/30/99 18:55:00","PHYTOPLANKTON",10.0,,,,,,,,,"07/29/12 18:45:00"
46,73,"07/29/12 00:00:00","12/30/99 18:53:00","OCEAN ACIDIFICATION",10.0,,,,,,,,,"07/29/12 18:45:00"
47,74,"07/29/12 00:00:00","12/30/99 19:10:00","CTD",29.0,55,,,,,,,,"07/29/12 19:00:00"
48,75,"07/29/12 00:00:00","12/30/99 19:21:00","CTD",26.7,57,,,,,,,,"07/29/12 19:15:00"
49,76,"07/29/12 00:00:00","12/30/99 19:36:00","CTD",18.0,58,,,,,,,,"07/29/12 19:30:00"
50,77,"07/29/12 00:00:00","12/30/99 16:29:00","CTD",46.3,48,,,,,,,,"07/29/12 16:15:00"
51,78,"07/29/12 00:00:00","12/30/99 16:48:00","CTD",68.1,49,,,,,,,,"07/29/12 16:45:00"
52,79,"07/29/12 00:00:00","12/30/99 17:11:00","CTD",80.0,50,,,,,,,,"07/29/12 17:00:00"
52,80,"07/29/12 00:00:00","12/30/99 17:10:00","ZOOPLANKTON",50.0,,20645,23661,,,,,,"07/29/12 17:00:00"
52,81,"07/29/12 00:00:00","12/30/99 17:10:00","PHYTOPLANKTON",10.0,,,,,,,"surface, vert",,"07/29/12 17:00:00"
53,82,"07/29/12 00:00:00","12/30/99 17:39:00","CTD",106.0,51,,,,,,,,"07/29/12 17:30:00"
54,83,"07/29/12 00:00:00","12/30/99 18:04:00","CTD",47.7,52,,,,,,,,"07/29/12 18:00:00"
55,84,"07/29/12 00:00:00","12/30/99 18:26:00","CTD",28.0,53,,,,,,,,"07/29/12 18:15:00"
56,85,"07/29/12 00:00:00","12/30/99 14:06:00","CTD",21.0,42,,,,,,,,"07/29/12 14:00:00"
57,86,"07/29/12 00:00:00","12/30/99 14:17:00","CTD",20.0,,,,,,,,,"07/29/12 14:15:00"
58,87,"07/29/12 00:00:00","12/30/99 14:32:00","CTD",28.0,44,,,,,,,,"07/29/12 14:30:00"
59,88,"07/29/12 00:00:00","12/30/99 14:46:00","CTD",32.3,45,,,,,,,,"07/29/12 14:45:00"
59,89,"07/29/12 00:00:00","12/30/99 14:46:00","ZOOPLANKTON",30.0,,19497,20642,,,,,,"07/29/12 14:45:00"
59,90,"07/29/12 00:00:00","12/30/99 14:46:00","PHYTOPLANKTON",10.0,,,,,,,"vert; surface",,"07/29/12 14:45:00"
60,91,"07/29/12 00:00:00","12/30/99 15:09:00","CTD",34.5,46,,,,,,,,"07/29/12 15:00:00"
61,92,"07/29/12 00:00:00","12/30/99 15:32:00","CTD",38.1,47,,,,,,,,"07/29/12 15:30:00"
62,93,"10/29/12 00:00:00","12/30/99 08:56:00","CTD",19.0,,,,,,,,,"10/29/12 08:45:00"
63,94,"10/29/12 00:00:00","12/30/99 09:07:00","CTD",27.0,,,,,,,,,"10/29/12 09:00:00"
64,95,"10/29/12 00:00:00","12/30/99 09:18:00","CTD",30.0,,,,,,,,,"10/29/12 09:15:00"
65,96,"10/29/12 00:00:00","12/30/99 09:30:00","CTD",27.0,,,,,,,,,"10/29/12 09:30:00"
65,97,"10/29/12 00:00:00","12/30/99 09:34:00","ZOOPLANKTON",25.0,,103204,103942,,,,,,"10/29/12 09:30:00"
65,98,"10/29/12 00:00:00","12/30/99 09:33:00","PHYTOPLANKTON",1.0,,,,,,,,,"10/29/12 09:30:00"
66,99,"10/29/12 00:00:00","12/30/99 09:51:00","CTD",25.0,,,,,,,,,"10/29/12 09:45:00"
67,100,"10/29/12 00:00:00","12/30/99 10:09:00","CTD",49.0,,,,,,,,,"10/29/12 10:00:00"
68,101,"10/29/12 00:00:00","12/30/99 10:28:00","CTD",109.0,,,,,,,,,"10/29/12 10:15:00"
69,102,"10/29/12 00:00:00","12/30/99 10:50:00","CTD",75.0,,,,,,,,,"10/29/12 10:45:00"
70,103,"10/29/12 00:00:00","12/30/99 11:12:00","CTD",69.0,,,,,,,,,"10/29/12 11:00:00"
71,104,"10/29/12 00:00:00","12/30/99 11:32:00","CTD",51.0,,,,,,,,,"10/29/12 11:30:00"
72,105,"10/29/12 00:00:00","12/30/99 11:53:00","CTD",40.0,,,,,,,,,"10/29/12 11:45:00"
73,106,"10/29/12 00:00:00","12/30/99 12:19:00","CTD",37.0,,,,,,,,,"10/29/12 12:15:00"
74,107,"10/29/12 00:00:00","12/30/99 12:42:00","CTD",38.0,,,,,,,,,"10/29/12 12:30:00"
75,108,"10/29/12 00:00:00","12/30/99 12:59:00","CTD",34.0,,,,,,,,,"10/29/12 12:45:00"
76,109,"10/29/12 00:00:00","12/30/99 13:15:00","CTD",23.0,,,,,,,,,"10/29/12 13:15:00"
77,110,"10/29/12 00:00:00","12/30/99 13:30:00","CTD",15.0,,,,,,,,,"10/29/12 13:30:00"
78,111,"05/02/12 00:00:00","12/30/99 13:16:00","CTD",18.0,,,,,,,,,"05/02/12 13:15:00"
79,112,"05/02/12 00:00:00","12/30/99 13:28:00","CTD",100.0,,,,,,,,,"05/02/12 13:15:00"
79,113,"05/02/12 00:00:00","12/30/99 13:40:00","OCEAN ACIDIFICATION",0.0,,,,,,,,,"05/02/12 13:30:00"
79,114,"05/02/12 00:00:00","12/30/99 13:35:00","ZOOPLANKTON",50.0,,22852,22886,,,,"not sure if this stayed vert through tow",,"05/02/12 13:30:00"
80,115,"05/02/12 00:00:00","12/30/99 13:57:00","CTD",108.8,,,,,,,,,"05/02/12 13:45:00"
81,116,"05/02/12 00:00:00","12/30/99 14:10:00","CTD",88.0,,,,,,,"end 14:13",,"05/02/12 14:00:00"
81,117,"05/02/12 00:00:00","12/30/99 14:15:00","ZOOPLANKTON",0.0,,22856,23065,,,,,,"05/02/12 14:15:00"
81,118,"05/02/12 00:00:00","12/30/99 14:15:00","PHYTOPLANKTON",0.0,,,,,,,,,"05/02/12 14:15:00"
82,119,"05/02/12 00:00:00","12/30/99 14:32:00","CTD",78.2,,,,,,,,,"05/02/12 14:30:00"
83,120,"05/02/12 00:00:00","12/30/99 14:44:00","CTD",60.5,,,,,,,,,"05/02/12 14:30:00"
84,121,"05/02/12 00:00:00","12/30/99 14:55:00","CTD",34.5,,,,,,,,,"05/02/12 14:45:00"
84,122,"05/02/12 00:00:00","12/30/99 14:55:00","ZOOPLANKTON",0.0,,23065,23216,,,,,,"05/02/12 14:45:00"
85,123,"05/02/12 00:00:00","12/30/99 15:10:00","CTD",28.0,,,,,,,,,"05/02/12 15:00:00"
86,124,"05/02/12 00:00:00","12/30/99 15:21:00","CTD",25.0,,,,,,,,,"05/02/12 15:15:00"
87,125,"05/02/12 00:00:00","12/30/99 15:37:00","CTD",6.2,,,,,,,,,"05/02/12 15:30:00"
88,126,"07/31/12 00:00:00","12/30/99 08:37:00","CTD",13.3,,,,,,,,,"07/31/12 08:30:00"
89,127,"07/31/12 00:00:00","12/30/99 08:48:00","CTD",93.0,849,,,,,,,,"07/31/12 08:45:00"
89,128,"07/31/12 00:00:00","12/30/99 08:48:00","ZOOPLANKTON",50.0,,42839,44978,,,,,,"07/31/12 08:45:00"
89,129,"07/31/12 00:00:00","12/30/99 08:48:00","PHYTOPLANKTON",10.0,,,,,,,"-surface; -vert tow",,"07/31/12 08:45:00"
90,130,"07/31/12 00:00:00","12/30/99 09:16:00","CTD",103.0,,,,,,,,,"07/31/12 09:15:00"
91,131,"07/31/12 00:00:00","12/30/99 09:28:00","CTD",83.0,,,,,,,,,"07/31/12 09:15:00"
91,132,"07/31/12 00:00:00","12/30/99 09:28:00","ZOOPLANKTON",50.0,,45876,47937,,,,,,"07/31/12 09:15:00"
91,133,"07/31/12 00:00:00","12/30/99 09:28:00","PHYTOPLANKTON",10.0,,,,,,,"-surface; -vert tow",,"07/31/12 09:15:00"
91,134,"07/31/12 00:00:00","12/30/99 09:28:00","OCEAN ACIDIFICATION",10.0,,,,,,,,,"07/31/12 09:15:00"
92,135,"07/31/12 00:00:00","12/30/99 09:52:00","CTD",75.0,,,,,,,,,"07/31/12 09:45:00"
93,136,"07/31/12 00:00:00","12/30/99 10:12:00","CTD",56.0,,,,,,,,,"07/31/12 10:00:00"
94,137,"07/31/12 00:00:00","12/30/99 10:24:00","CTD",32.0,,,,,,,,,"07/31/12 10:15:00"
94,138,"07/31/12 00:00:00","12/30/99 10:31:00","ZOOPLANKTON",30.0,,47931,47998,,,,,,"07/31/12 10:30:00"
94,139,"07/31/12 00:00:00","12/30/99 10:31:00","OCEAN ACIDIFICATION",10.0,,,,,,,,,"07/31/12 10:30:00"
95,140,"07/31/12 00:00:00","12/30/99 10:41:00","CTD",25.0,,,,,,,,,"07/31/12 10:30:00"
96,141,"07/31/12 00:00:00","12/30/99 10:53:00","CTD",24.0,,,,,,,,,"07/31/12 10:45:00"
97,142,"07/31/12 00:00:00","12/30/99 11:03:00","CTD",12.0,,,,,,,,,"07/31/12 11:00:00"
98,143,"10/29/12 00:00:00","12/30/99 15:45:00","CTD",23.0,,,,,,,,,"10/29/12 15:45:00"
99,144,"10/29/12 00:00:00","12/30/99 15:53:00","CTD",29.0,,,,,,,,,"10/29/12 15:45:00"
100,145,"10/29/12 00:00:00","12/30/99 16:05:00","CTD",31.0,,,,,,,,,"10/29/12 16:00:00"
101,146,"10/29/12 00:00:00","12/30/99 16:19:00","CTD",38.0,,,,,,,,,"10/29/12 16:15:00"
102,147,"10/29/12 00:00:00","12/30/99 16:33:00","CTD",66.0,,,,,,,,,"10/29/12 16:30:00"
103,148,"10/29/12 00:00:00","12/30/99 16:44:00","CTD",86.0,,,,,,,,,"10/29/12 16:30:00"
104,149,"10/29/12 00:00:00","12/30/99 16:56:00","CTD",89.0,,,,,,,,,"10/29/12 16:45:00"
104,150,"10/29/12 00:00:00","12/30/99 17:00:00","OCEAN ACIDIFICATION",50.0,,,,,,,,,"10/29/12 17:00:00"
105,151,"10/29/12 00:00:00","12/30/99 17:14:00","CTD",110.0,,,,,,,,,"10/29/12 17:00:00"
106,152,"10/29/12 00:00:00","12/30/99 17:29:00","CTD",103.0,,,,,,,,,"10/29/12 17:15:00"
