LatitudeDeg,LatitudeMins,LongitudeDeg,LongitudeMins,Date,Time,Comments,StationEvent,TransectEvent,Station,Beaufort,WaveHeight,WindSpeed,ConvergenceZone,HighTurbidity,TooDarkToSee,ForagingBirds,Whales,SeaOtters,ErrorCheck
59,59.257,-152,28.938,"05/02/12 00:00:00","12/30/99 23:19:00","very turbid. Current 2.5-3 knots",30,74,"4",2,,,0,1,0,0,0,0,1
59,59.248,-152,30.576,"05/02/12 00:00:00","12/30/99 23:34:00","very turbid; 2.5 - 3 knot current",31,74,"3",2,,,0,1,0,0,0,0,1
59,59.784,-152,32.140,"05/02/12 00:00:00","12/30/99 23:44:00","very turbid.  Current 1.9 knots",32,74,"2",2,,,0,1,0,0,0,0,1
60,0.460,-152,33.956,"05/02/12 00:00:00","12/30/99 23:56:00","current 1.7 knots",33,74,"1",2,,,0,0,0,0,0,0,1
59,46.830,-151,54.326,"05/02/12 00:00:00","12/30/99 17:56:00","2 knots current. Dropped 3-17 too shallow",34,74,"16",2,,,0,0,0,0,0,0,1
59,47.362,-151,56.202,"05/02/12 00:00:00","12/30/99 18:08:00","current 1.9 knts; drift on station",35,74,"15",2,,,0,0,0,0,0,0,1
59,47.889,-151,57.589,"05/02/12 00:00:00","12/30/99 18:16:00","current 1.2 knots.  Driftrace",36,74,"14",2,,,0,0,0,0,0,0,1
,,,,"05/02/12 00:00:00","12/30/99 18:28:00","H20 turbid",37,74,"13",2,,,0,1,0,0,0,0,1
59,49.628,-152,2.431,"05/02/12 00:00:00","12/30/99 18:52:00","H2O very clear current 1.6 knots",38,74,"12",2,,,0,0,0,0,0,0,1
59,50.719,-152,5.640,"05/02/12 00:00:00","12/30/99 21:07:00","flood current. Very clear H20",39,74,"11",2,,,0,0,0,0,0,0,1
59,51.738,-152,8.727,"05/02/12 00:00:00","12/30/99 21:23:00","Flood tide.  Super clear H2O",40,74,"10",2,,,0,0,0,0,0,0,1
59,52.825,-152,12.068,"05/02/12 00:00:00","12/30/99 21:41:00","more turbid",41,74,"9",2,,,0,0,0,0,0,0,1
59,54.132,-152,15.176,"05/02/12 00:00:00","12/30/99 21:58:00","1.2-1.5 Flood current; drift from CTD transects;  plankton tows",42,74,"8",2,,,0,0,0,0,0,0,1
59,55.138,-152,18.482,"05/02/12 00:00:00","12/30/99 22:21:00","current 1.0-1.2 kn",43,74,"7",2,,,0,0,0,0,0,0,1
59,56.357,-152,22.008,"05/02/12 00:00:00","12/30/99 22:42:00","lots of current 2.1-2.3 kn.  Drift off station due to current",44,74,"6",2,,,0,0,0,0,0,0,1
59,57.525,-152,25.270,"05/02/12 00:00:00","12/30/99 23:02:00","very turbid 1/2m version. CTD current 2.6-3.0.  lots of drift",45,74,"5",2,,,0,1,0,0,0,0,1
59,59.260,-152,28.890,"07/29/12 00:00:00","12/30/99 18:53:00","secchi = 2m no flagging down current. Flat seas. Rain. CTD time 1 hr later than AKDT",46,75,"4",0,,,0,0,0,0,0,0,1
59,59.145,-152,30.528,"07/29/12 00:00:00","12/30/99 19:07:00","Secchi = 2.2m.  Flat seas. Rain.  CTD time 1 hr later than AKDT",47,75,"3",1,,,0,0,0,0,0,0,1
59,59.794,-152,32.092,"07/29/12 00:00:00","12/30/99 19:21:00","Secchi = 1.8m;  Flat seas. Rain.  CTD time 1 hr later than AKDT",48,75,"2",0,,,0,0,0,0,0,0,1
60,0.400,-152,34.006,"07/29/12 00:00:00","12/30/99 19:34:00","Secchi = 1.7m; Flat seas.  Rain.  CTD time 1 hr later than AKDT.",49,75,"1",0,,,0,0,0,0,0,0,1
59,51.801,-152,8.799,"07/29/12 00:00:00","12/30/99 16:26:00","H2O very clear here.  CTD time 1 hr later than AKDT.",50,75,"10",,,,0,0,0,0,0,0,1
59,52.752,-152,11.884,"07/29/12 00:00:00","12/30/99 16:46:00","Secchi = 3m.  CTD time 1 hr later than AKDT",51,75,"9",,,,0,0,0,0,0,0,1
59,54.070,-152,14.950,"07/29/12 00:00:00","12/30/99 17:10:00","CTD time 1 hr later than AKDT.  Seechi = Not taken.  50m retrieved 110 sec. nice tow.  2 Humpback Whales / Breaking + much tail slapping = 2 mi S of transect.  <0.1 mi drift while pulling plankton tow",52,75,"8",,,,0,0,0,0,1,0,1
59,55.137,-152,18.492,"07/29/12 00:00:00","12/30/99 17:37:00","current = 2 kts drift.  Secchi = 3.1m.  CTD time 1 hr later than AKDT",53,75,"7",,,,0,0,0,0,0,0,1
59,56.350,-152,21.969,"07/29/12 00:00:00","12/30/99 18:02:00","secchi = 2.9m",54,75,"6",,,,0,0,0,0,0,0,1
59,57.465,-152,25.136,"07/29/12 00:00:00","12/30/99 18:25:00","secchi = 2m",55,75,"5",,,,0,0,0,0,0,0,1
,,,,"07/29/12 00:00:00","12/30/99 14:02:00","CTD Time 1 hr later than AKDT",56,75,"16",,,,0,0,0,0,0,0,1
59,47.367,-151,56.269,"07/29/12 00:00:00","12/30/99 14:14:00","CTD time 1 hr later than AKDT",57,75,"15",,,,0,0,0,0,0,0,1
59,47.894,-151,57.562,"07/29/12 00:00:00","12/30/99 14:28:00","SOG = 0.4 km.  CTD time 1 hr later than AKDT",58,75,"14",,,,0,0,0,0,0,0,1
59,48.500,-151,59.270,"07/29/12 00:00:00","12/30/99 14:45:00","NB:  1216 wt aibled to Bongo Frame.  Z Plankton Tow = 0.5m/sec.  Nets looked great on retrieval.  CTD time 1 hr later than AKDT. -67 secs. -vent -surface",59,75,"13",,,,0,0,0,0,0,0,1
,,,,"07/29/12 00:00:00","12/30/99 15:09:00","current = 0.1 knt.  CTD time 1 hr later than AKDT.",60,75,"12",,,,0,0,0,0,0,0,1
59,50.717,-152,5.575,"07/29/12 00:00:00","12/30/99 15:29:00","- convergence zone (lots of debris in the H2O) - Rhinocerous auklet",61,75,"11",,,,1,0,0,1,0,0,1
60,0.396,-152,33.983,"10/29/12 00:00:00","12/30/99 08:52:00","1st station on T 3 is relatively calm.  H2O too rough for plankton sampling",62,76,"1",0,,,0,0,0,0,0,0,1
