Vessel,Date,BeaufortScale,TransectEvent,Transect,WaveHeight,WindSpeed,comments
,"05/02/12 00:00:00",2,74,"3",,,
"Pandalus","07/29/12 00:00:00",,75,"3",,,
"Silver Hawk","10/29/12 00:00:00",,76,"3",,,
"Pandalus","05/02/12 00:00:00",3,77,"4",,,
"Pandalus","07/31/12 00:00:00",0,78,"4",,,
"Silver Hawk","10/29/12 00:00:00",,79,"4",,,
"Silver Hawk","02/12/13 00:00:00",,80,"4",,,
"Silver Hawk","02/13/13 00:00:00",2,81,"AnchorPoint-Dropin",,,
"Pandalus","05/03/12 00:00:00",2,82,"6",,,
"Pandalus","07/30/12 00:00:00",4,85,"6",,,
"Silver Hawk","10/28/12 00:00:00",3,86,"6",,,
"Pandalus","05/03/12 00:00:00",2,87,"7",,,
"Pandalus","07/30/12 00:00:00",,88,"7",,,
"Silver Hawk","10/29/12 00:00:00",2,89,"7",,,
"Silver Hawk","10/28/12 00:00:00",3,90,"7",,,
"Barnacle","04/26/12 00:00:00",1,91,"9",,,
"Barnacle","05/31/12 00:00:00",2,92,"9",,,
"Barnacle","05/31/12 00:00:00",2,93,"9",,,
"Barnacle","06/05/12 00:00:00",3,94,"9",,,
"Barnacle","06/05/12 00:00:00",3,95,"9",,,
"Barnacle","07/12/12 00:00:00",,96,"9",,,
"Barnacle","08/31/12 00:00:00",,97,"9",,,
"Silver Hawk","10/29/12 00:00:00",3,98,"9",,,
"Silver Hawk","01/04/13 00:00:00",0,99,"9",,,
"Silver Hawk","02/12/13 00:00:00",0,100,"9",,,
"Silver Hawk","02/12/13 00:00:00",4,101,"AlongBay",,,
"Barnacle","03/15/13 00:00:00",,102,"9",,,
"Pandalus","04/19/13 00:00:00",,103,"6",,,
"Pandalus","04/20/13 00:00:00",,104,"7",,,
"Pandalus","04/20/13 00:00:00",,105,"3",,,
"Pandalus","04/21/13 00:00:00",,106,"4",,,
"Pandalus","04/21/13 00:00:00",,107,"9",,,
"Barnacle","05/21/13 00:00:00",,108,"9",,,
"Pandalus","07/18/13 00:00:00",,109,"7",,,
"Pandalus","07/19/13 00:00:00",3,110,"3",,,
"Pandalus","07/19/13 00:00:00",2,111,"4",,,
"Pandalus","07/21/13 00:00:00",2,112,"6",,,
"Pandalus","07/22/13 00:00:00",0,113,"9",,,
"Barnacle","08/30/13 00:00:00",0,114,"9",,,
"Pandalus","10/29/13 00:00:00",1,116,"9",,,
"Pandalus","10/29/13 00:00:00",2,117,"4",,,
"Pandalus","11/06/13 00:00:00",3,118,"6",,,
"Pandalus","11/08/13 00:00:00",2,119,"3",,,
"Barnacle","09/25/13 00:00:00",2,120,"9",,,
"Barnacle","12/03/13 00:00:00",1,121,"9",,,
"Barnacle","01/09/14 00:00:00",,122,"9",,,
"Pandalus","02/14/14 00:00:00",3,123,"9",,,
"Pandalus","02/15/14 00:00:00",2,124,"4",,,
"Pandalus","02/16/14 00:00:00",1,125,"3",,,
"Pandalus","02/17/14 00:00:00",1,126,"7",,,
"Pandalus","04/06/14 00:00:00",3,127,"6",,,
"Johana Rose","03/28/14 00:00:00",2,128,"9",,,
"Pandalus","04/07/14 00:00:00",2,129,"7",,,
"Pandalus","04/11/14 00:00:00",,138,"3",1,5,
"Pandalus","04/11/14 00:00:00",,139,"4",0,0,
"Pandalus","04/11/14 00:00:00",,140,"9",1,10,
"Johanna Rose","05/28/14 00:00:00",,141,"9",0,0,
"Barnacle","06/18/14 00:00:00",,143,"9",1,10,
"Waters","07/21/14 00:00:00",,144,"9",1,10,
"Waters","07/21/14 00:00:00",,145,"4",1,10,
"Waters","07/22/14 00:00:00",,146,"3",3,20,
"Waters","07/23/14 00:00:00",,148,"6",0,2,
"Waters","07/24/14 00:00:00",,149,"7",1,5,
"Barnacle","08/13/14 00:00:00",,150,"4",1,3,
"Barnacle","08/13/14 00:00:00",,151,"9",1,0,
"Barnacle","09/25/14 00:00:00",,152,"9",1,0,
"Pandalus","10/13/14 00:00:00",,153,"4",1,5,
"Pandalus","10/13/14 00:00:00",,154,"3",2,5,
"Pandalus","10/17/14 00:00:00",,155,"7",3,15,
"Pandalus","10/18/14 00:00:00",,156,"6",2,8,
"Pandalus","10/18/14 00:00:00",,157,"7",0,5,
"Pandalus","10/19/14 00:00:00",,158,"9",1,5,
"Barnacle","11/25/14 00:00:00",,160,"9",0,5,
,"02/14/12 00:00:00",,165,"9",2,5,
,"03/14/12 00:00:00",,166,"9",0,3,
,"04/10/12 00:00:00",,167,"9",1,5,
,"05/31/12 00:00:00",,169,"4",0,5,
,"05/31/12 00:00:00",,170,"4",2,10,
,"06/05/12 00:00:00",,171,"4",0,5,
,"06/05/12 00:00:00",,172,"4",1,10,
,"06/25/12 00:00:00",,173,"9",2,15,
,"06/27/12 00:00:00",,174,"9",1,5,
,"07/02/12 00:00:00",,175,"9",1,5,
,"07/21/12 00:00:00",,176,"9",1,15,
,"08/03/12 00:00:00",,177,"9",2,10,
"Barnacle","08/15/12 00:00:00",,178,"9",1,2,
"Nuka","08/15/12 00:00:00",,179,"4",1,5,
"Barnacle","08/26/12 00:00:00",,180,"9",1,10,
,"09/21/12 00:00:00",,181,"9",1,5,
,"09/21/12 00:00:00",,182,"9",1,5,
"Nuka","09/21/12 00:00:00",,183,"9",0,5,
"Nuka","09/21/12 00:00:00",,184,"9",0,5,
"Nuka","09/21/12 00:00:00",,185,"9",0,5,
"Johanna Rose","09/21/12 00:00:00",,186,"9",1,15,
"Barnacle","10/12/12 00:00:00",,187,"9",0,5,
"Barnacle","12/17/14 00:00:00",,188,"9",1,10,
"Barnacle","01/16/15 00:00:00",,193,"9",1,10,
"Pandalus","02/12/15 00:00:00",,194,"9",1,5,
"Pandalus","02/12/15 00:00:00",,195,"4",1,5,
"Pandalus","02/22/15 00:00:00",,196,"3",1,5,
"Pandalus","02/23/15 00:00:00",,197,"6",2,3,
"Pandalus","02/24/15 00:00:00",,198,"7",1,5,
"Pandalus","02/24/15 00:00:00",,199,"4",1,10,
"Pandalus","02/24/15 00:00:00",,200,"9",1,10,
"Barnacle","03/31/15 00:00:00",,201,"9",1,5,
"Pandalus","04/08/15 00:00:00",,202,"4",1,10,
"Pandalus","04/08/15 00:00:00",,203,"6",2,5,
"Pandalus","04/08/15 00:00:00",,204,"9",1,20,
"Pandalus","04/12/15 00:00:00",,205,"3",2,20,
"Pandalus","04/13/15 00:00:00",,206,"7",1,10,
"Barnacle","05/28/15 00:00:00",,207,"9",1,5,
"Barnacle","06/26/15 00:00:00",,208,"9",1,10,
"Barnacle","07/10/15 00:00:00",,209,"9",0,0,
