"ID","SampleEvent","AlternateId","Classification","Species","RTotal","RC1","RC2","RC3","RC4","RFC4","RMC4","RC5","RFC5","RMC5","RFA","RMA","RUnknown","Flow","Split"
327,390,"9_6_A_042612","Copepod","Pseudocalanus",52.00,,1.00,6.00,,9.00,6.00,,8.00,7.00,13.00,2.00,"",50.00,1.00
328,390,"9_6_A_042612","Copepod","Neocalanus plumchrus",19.00,,2.00,6.00,,6.00,5.00,,,,,,"",50.00,1.00
329,390,"9_6_A_042612","Copepod","Acartia longerimis",17.00,,,,,3.00,1.00,,3.00,1.00,2.00,7.00,"",50.00,1.00
330,390,"9_6_A_042612","Copepod","Oithona similis",3.00,,,,,,,,,,3.00,,"",50.00,1.00
331,390,"9_6_A_042612","Copepod","Metridia pacifica",1.00,,1.00,,,,,,,,,,"",50.00,1.00
332,390,"9_6_A_042612","Copepod","Tisbe spp.",1.00,,,,,,,,,,1.00,,"",50.00,1.00
333,390,"9_6_A_042612","Unknown","Egg",381.00,,,,,,,,,,,,"",50.00,1.00
334,390,"9_6_A_042612","Crustecean","Nauplii",12.00,,,,,,,,,,,,"",50.00,1.00
335,390,"9_6_A_042612","Barnacle","Barnacle nauplii",230.00,,,,,,,,,,,,"",50.00,1.00
336,390,"9_6_A_042612","Fish","Fish egg",40.00,,,,,,,,,,,,"",50.00,1.00
337,390,"9_6_A_042612","Gastropod","Limacina",52.00,,,,,,,,,,,,"",50.00,1.00
338,390,"9_6_A_042612","Echinoderm","Pluteus",3.00,,,,,,,,,,,,"",50.00,1.00
339,390,"9_6_A_042612","Annelid","Spionidae",11.00,,,,,,,,,,,,"",50.00,1.00
340,390,"9_6_A_042612","Decapod","Shrimp zoea",1.00,,,,,,,,,,,,"",50.00,1.00
341,390,"9_6_A_042612","Decapod","Crab zoea",6.00,,,,,,,,,,,,"",50.00,1.00
342,390,"9_6_A_042612","Chaetognath","Parasagitta elegans",8.00,,,,,,,,,,,,"",50.00,1.00
343,390,"9_6_A_042612","Amphipod","Gammarid amphipod",1.00,,,,,,,,,,,,"",50.00,1.00
344,390,"9_6_A_042612","Ostracod","Cypris",5.00,,,,,,,,,,,,"",50.00,1.00
345,390,"9_6_A_042612","Annelid","Polychaete trochophore",4.00,,,,,,,,,,,,"",50.00,1.00
346,390,"9_6_A_042612","Hydrozoan","Rathkea sp.",5.00,,,,,,,,,,,,"",50.00,1.00
347,390,"9_6_A_042612","Bivalve","Clam larvae",1.00,,,,,,,,,,,,"",50.00,1.00
348,396,"9_10_A_042612","Copepod","Pseudocalanus",83.00,,1.00,4.00,,12.00,8.00,,15.00,11.00,26.00,6.00,"",50.00,1.00
349,396,"9_10_A_042612","Copepod","Neocalanus plumchrus",21.00,1,1.00,8.00,,9.00,2.00,,,,,,"",50.00,1.00
350,396,"9_10_A_042612","Copepod","Acartia longerimis",23.00,,,,,1.00,2.00,,2.00,4.00,8.00,6.00,"",50.00,1.00
351,396,"9_10_A_042612","Copepod","Oithona similis",6.00,,,,,1.00,,,1.00,,3.00,1.00,"",50.00,1.00
352,396,"9_10_A_042612","Copepod","Tisbe spp.",4.00,,,,,1.00,,,1.00,,,2.00,"",50.00,1.00
353,396,"9_10_A_042612","Copepod","Microcalanus spp.",4.00,,,,,,,,,,2.00,2.00,"",50.00,1.00
354,396,"9_10_A_042612","Copepod","Acartia tumida",1.00,,,,,1.00,,,,,,,"",50.00,1.00
355,396,"9_10_A_042612","Copepod","Metridia okhotensis",1.00,,,,,,,,,,1.00,,"",50.00,1.00
356,396,"9_10_A_042612","Copepod","Sapphrina spp.",1.00,,,,,,,,,,,1.00,"",50.00,1.00
357,396,"9_10_A_042612","Copepod","Scolecithricella spp.",1.00,,,,,,,,1.00,,,,"",50.00,1.00
358,396,"9_10_A_042612","Copepod","Monstrilla spp.",1.00,,,,,,,,,,,1.00,"",50.00,1.00
359,396,"9_10_A_042612","Unknown","Egg",688.00,,,,,,,,,,,,"",50.00,1.00
360,396,"9_10_A_042612","Crustecean","Nauplii",3.00,,,,,,,,,,,,"",50.00,1.00
361,396,"9_10_A_042612","Barnacle","Barnacle nauplii",122.00,,,,,,,,,,,,"",50.00,1.00
362,396,"9_10_A_042612","Decapod","Zoea",14.00,,,,,,,,,,,,"",50.00,1.00
363,396,"9_10_A_042612","Chaetognath","Parasagitta elegans",11.00,,,,,,,,,,,,"",50.00,1.00
364,396,"9_10_A_042612","Fish","Fish egg",40.00,,,,,,,,,,,,"",50.00,1.00
365,396,"9_10_A_042612","Annelid","Spionidae",13.00,,,,,,,,,,,,"",50.00,1.00
366,396,"9_10_A_042612","Amphipod","Gammarid amphipod",8.00,,,,,,,,,,,,"",50.00,1.00
367,396,"9_10_A_042612","Gastropod","Limacina",21.00,,,,,,,,,,,,"",50.00,1.00
368,396,"9_10_A_042612","Ostracod","Cypris",4.00,,,,,,,,,,,,"",50.00,1.00
369,396,"9_10_A_042612","Amphipod","Themisto pacifica",1.00,,,,,,,,,,,,"",50.00,1.00
370,396,"9_10_A_042612","Annelid","Polychaete trochophore",9.00,,,,,,,,,,,,"",50.00,1.00
371,396,"9_10_A_042612","Hydrozoan","Obelia",3.00,,,,,,,,,,,,"",50.00,1.00
372,396,"9_10_A_042612","Hydrozoan","Euphysa japonica",1.00,,,,,,,,,,,,"",50.00,1.00
373,396,"9_10_A_042612","Isopod","Idotea",2.00,,,,,,,,,,,,"",50.00,1.00
374,396,"9_10_A_042612","Tunicate","Oikopleura dioica",1.00,,,,,,,,,,,,"",50.00,1.00
375,396,"9_10_A_042612","Bivalve","Clam larvae",2.00,,,,,,,,,,,,"",50.00,1.00
376,382,"9_1_A_042612","Copepod","Pseudocalanus",72.00,,1.00,12.00,,12.00,9.00,,9.00,21.00,5.00,3.00,"",50.00,1.00
377,382,"9_1_A_042612","Copepod","Acartia longerimis",292.00,2,3.00,9.00,,16.00,16.00,,117.00,69.00,37.00,23.00,"",50.00,1.00
378,382,"9_1_A_042612","Copepod","Oithona similis",6.00,,,,,,,,1.00,,4.00,1.00,"",50.00,1.00
379,382,"9_1_A_042612","Copepod","Neocalanus plumchrus",16.00,,6.00,4.00,,3.00,3.00,,,,,,"",50.00,1.00
380,382,"9_1_A_042612","Copepod","Acartia tumida",8.00,,2.00,2.00,,3.00,,,,1.00,,,"",50.00,1.00
381,382,"9_1_A_042612","Copepod","Paracalanus spp.",2.00,,,,,,,,1.00,1.00,,,"",50.00,1.00
382,382,"9_1_A_042612","Copepod","Tisbe spp.",2.00,,,,,,1.00,,,,,1.00,"",50.00,1.00
383,382,"9_1_A_042612","Copepod","Tortanus discaudatus",2.00,,,,,,,,2.00,,,,"",50.00,1.00
384,382,"9_1_A_042612","Unknown","Egg",410.00,,,,,,,,,,,,"",50.00,1.00
385,382,"9_1_A_042612","Crustecean","Nauplii",20.00,,,,,,,,,,,,"",50.00,1.00
386,382,"9_1_A_042612","Barnacle","Barnacle nauplii",424.00,,,,,,,,,,,,"",50.00,1.00
387,382,"9_1_A_042612","Fish","Fish egg",21.00,,,,,,,,,,,,"",50.00,1.00
388,382,"9_1_A_042612","Annelid","Spionidae",42.00,,,,,,,,,,,,"",50.00,1.00
389,382,"9_1_A_042612","Decapod","Shrimp zoea",57.00,,,,,,,,,,,,"",50.00,1.00
390,382,"9_1_A_042612","Decapod","Crab zoea",57.00,,,,,,,,,,,,"",50.00,1.00
391,382,"9_1_A_042612","Annelid","Trochophore",67.00,,,,,,,,,,,,"",50.00,1.00
392,382,"9_1_A_042612","Gastropod","Limacina",1.00,,,,,,,,,,,,"",50.00,1.00
393,382,"9_1_A_042612","Hydrozoan","Euphysa japonica",3.00,,,,,,,,,,,,"",50.00,1.00
394,382,"9_1_A_042612","Echinoderm","Pluteus",2.00,,,,,,,,,,,,"",50.00,1.00
395,382,"9_1_A_042612","Tunicate","Fritillaria borealis",1.00,,,,,,,,,,,,"",50.00,1.00
396,382,"9_1_A_042612","Hydrozoan","Rathkea sp.",3.00,,,,,,,,,,,,"",50.00,1.00
397,382,"9_1_A_042612","Fish","Gadid larvae",1.00,,,,,,,,,,,,"",50.00,1.00
398,382,"9_1_A_042612","Bryozoan","Cyphonaute",2.00,,,,,,,,,,,,"",50.00,1.00
399,382,"9_1_A_042612","Euphausid","Calytopsis",26.00,,,,,,,,,,,,"",50.00,1.00
400,382,"9_1_A_042612","Ostracod","Cypris",1.00,,,,,,,,,,,,"",50.00,1.00
401,382,"9_1_A_042612","Hydrozoan","Obelia",1.00,,,,,,,,,,,,"",50.00,1.00
402,382,"9_1_A_042612","Hydrozoan","Melicertum",2.00,,,,,,,,,,,,"",50.00,1.00
403,382,"9_1_A_042612","Chaetognath","Parasagitta elegans",1.00,,,,,,,,,,,,"",50.00,1.00
404,382,"9_1_A_042612","Branchiopod","Podon",1.00,,,,,,,,,,,,"",50.00,1.00
405,382,"9_1_A_042612","Cumacean","Cumacea",1.00,,,,,,,,,,,,"",50.00,1.00
406,47,"3_4_A_050212","Copepod","Pseudocalanus",193.00,,,7.00,,23.00,12.00,,32.00,21.00,72.00,26.00,"",50.00,1.00
407,47,"3_4_A_050212","Copepod","Acartia longerimis",13.00,,,,,,1.00,,7.00,1.00,1.00,3.00,"",50.00,1.00
408,47,"3_4_A_050212","Copepod","Eurytemora affinis",5.00,,,,,1.00,,,,,2.00,2.00,"",50.00,1.00
409,47,"3_4_A_050212","Copepod","Neocalanus plumchrus",6.00,,,1.00,,3.00,2.00,,,,,,"",50.00,1.00
410,47,"3_4_A_050212","Copepod","Tisbe spp.",1.00,,,,,,,,,,1.00,,"",50.00,1.00
411,47,"3_4_A_050212","Copepod","Oithona similis",1.00,,,,,,,,,,1.00,,"",50.00,1.00
412,47,"3_4_A_050212","Unknown","Egg",65.00,,,,,,,,,,,,"",50.00,1.00
413,47,"3_4_A_050212","Barnacle","Barnacle nauplii",343.00,,,,,,,,,,,,"",50.00,1.00
414,47,"3_4_A_050212","Gastropod","Limacina",9.00,,,,,,,,,,,,"",50.00,1.00
415,47,"3_4_A_050212","Ostracod","Cypris",13.00,,,,,,,,,,,,"",50.00,1.00
416,47,"3_4_A_050212","Annelid","Spionidae",1.00,,,,,,,,,,,,"",50.00,1.00
417,47,"3_4_A_050212","Bivalve","Clam larvae",1.00,,,,,,,,,,,,"",50.00,1.00
418,47,"3_4_A_050212","Decapod","Zoea",2.00,,,,,,,,,,,,"",50.00,1.00
419,47,"3_4_A_050212","Hydrozoan","Euphysa japonica",1.00,,,,,,,,,,,,"",50.00,1.00
420,47,"3_4_A_050212","Amphipod","Apherusa glacialis",1.00,,,,,,,,,,,,"",50.00,1.00
421,47,"3_4_A_050212","Cnidarian","Aurelia aurita ephyra",1.00,,,,,,,,,,,,"",50.00,1.00
422,47,"3_4_A_050212","Fish","Fish egg",5.00,,,,,,,,,,,,"",50.00,1.00
423,47,"3_4_A_050212","Crustecean","Nauplii",1.00,,,,,,,,,,,,"",50.00,1.00
424,47,"3_4_A_050212","Chaetognath","Parasagitta elegans",4.00,,,,,,,,,,,,"",50.00,1.00
425,47,"3_4_A_050212","Fish","Clupidae larvae",1.00,,,,,,,,,,,,"",50.00,1.00
426,47,"3_4_A_050212","Annelid","Polychaete trochophore",1.00,,,,,,,,,,,,"",50.00,1.00
427,47,"3_4_A_050212","Branchiopod","Evadne",1.00,,,,,,,,,,,,"",50.00,1.00
428,64,"3_8_A_050212","Copepod","Pseudocalanus",109.00,,1.00,3.00,,13.00,10.00,,15.00,14.00,36.00,17.00,"",50.00,1.00
429,64,"3_8_A_050212","Copepod","Neocalanus plumchrus",4.00,,,2.00,,2.00,,,,,,,"",50.00,1.00
430,64,"3_8_A_050212","Copepod","Acartia longerimis",2.00,,,,,,,,,,,2.00,"",50.00,1.00
431,64,"3_8_A_050212","Unknown","Egg",72.00,,,,,,,,,,,,"",50.00,1.00
432,64,"3_8_A_050212","Crustecean","Nauplii",7.00,,,,,,,,,,,,"",50.00,1.00
433,64,"3_8_A_050212","Barnacle","Barnacle nauplii",118.00,,,,,,,,,,,,"",50.00,1.00
434,64,"3_8_A_050212","Fish","Fish egg",7.00,,,,,,,,,,,,"",50.00,1.00
435,64,"3_8_A_050212","Gastropod","Limacina",4.00,,,,,,,,,,,,"",50.00,1.00
436,64,"3_8_A_050212","Amphipod","Apherusa glacialis",2.00,,,,,,,,,,,,"",50.00,1.00
437,64,"3_8_A_050212","Ostracod","Cypris",6.00,,,,,,,,,,,,"",50.00,1.00
438,64,"3_8_A_050212","Decapod","Zoea",1.00,,,,,,,,,,,,"",50.00,1.00
439,64,"3_8_A_050212","Annelid","Spionidae",3.00,,,,,,,,,,,,"",50.00,1.00
440,64,"3_8_A_050212","Chaetognath","Parasagitta elegans",2.00,,,,,,,,,,,,"",50.00,1.00
441,64,"3_8_A_050212","Cnidarian","Aurelia aurita ephyra",1.00,,,,,,,,,,,,"",50.00,1.00
442,57,"3_13_B_050212","Copepod","Pseudocalanus",17.00,,,1.00,,,1.00,,4.00,2.00,8.00,1.00,"",50.00,2.00
443,57,"3_13_B_050212","Copepod","Acartia longerimis",26.00,,,,,,,,7.00,6.00,4.00,9.00,"",50.00,2.00
444,57,"3_13_B_050212","Copepod","Tisbe spp.",3.00,,,,,,,,1.00,,2.00,,"",50.00,2.00
