Date,Transect,Station,Tide,Time,Mesh,Sample ID,Species,RTotal,RC1,RC2,RC3,RC4,RFC4,RMC4,RC5,RFC5,RMC5,RFA,RMA,RUnknown,Flow,Water Sampled (m3),Split,Total,C1,C2,C3,C4,FC4,MC4,C5,FC5,MC5,FA,MA,Unknown,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Parasagitta elegans,167,,,,,,,,,,,,,50,14.15,1,11.80212014,0,0,0,0,0,0,0,0,0,0,0,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Pseudocalanus,167,,,,,,,,27,47,88,5,,50,14.15,1,11.80212014,0,0,0,0,0,0,0,1.908127208,3.32155477,6.219081272,0.35335689,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Aglantha digitale,146,,,,,,,,,,,,,50,14.15,1,10.3180212,0,0,0,0,0,0,0,0,0,0,0,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Calanus marshallae,86,,,3,,4,1,,58,19,1,,,50,14.15,1,6.077738516,0,0,0.212014134,0,0.282685512,0.070671378,0,4.098939929,1.342756184,0.070671378,0,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Limacina helicina,75,,,,,,,,,,,,,50,14.15,1,5.300353357,0,0,0,0,0,0,0,0,0,0,0,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Acartia longiremis,70,,,,,,,,2,,68,,,50,14.15,1,4.946996466,0,0,0,0,0,0,0,0.141342756,0,4.80565371,0,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Oithona spinirostris,22,,,,,1,,,,,21,,,50,14.15,1,1.554770318,0,0,0,0,0.070671378,0,0,0,0,1.48409894,0,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Calanus pacificus,18,,,,,1,,,16,1,,,,50,14.15,1,1.272084806,0,0,0,0,0.070671378,0,0,1.130742049,0.070671378,0,0,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Metridia pacifica,10,,,,,3,1,,3,2,,1,,50,14.15,1,0.706713781,0,0,0,0,0.212014134,0.070671378,0,0.212014134,0.141342756,0,0.070671378,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Tortanus discaudatus,9,,,,,,,,2,2,2,3,,50,14.15,1,0.636042403,0,0,0,0,0,0,0,0.141342756,0.141342756,0.141342756,0.212014134,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Scolecithricella minor,7,,,,,,,,1,3,2,1,,50,14.15,1,0.494699647,0,0,0,0,0,0,0,0.070671378,0.212014134,0.141342756,0.070671378,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Siphonophora,6,,,,,,,,,,,,,50,14.15,1,0.424028269,0,0,0,0,0,0,0,0,0,0,0,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Clione limacina,5,,,,,,,,,,,,,50,14.15,1,0.35335689,0,0,0,0,0,0,0,0,0,0,0,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Fish egg,4,,,,,,,,,,,,,50,14.15,1,0.282685512,0,0,0,0,0,0,0,0,0,0,0,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Idotea,4,,,,,,,,,,,,,50,14.15,1,0.282685512,0,0,0,0,0,0,0,0,0,0,0,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Ostracoda,4,,,,,,,,,,,,,50,14.15,1,0.282685512,0,0,0,0,0,0,0,0,0,0,0,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Euphausia pacifica,3,,,,,,,,,,,,,50,14.15,1,0.212014134,0,0,0,0,0,0,0,0,0,0,0,0,,
04-Jan-12,9,1,,,,09_01_01_04_2012,Themisto pacifica,3,,,,,,,,,,,,,50,14.15,1,0.212014134,0,0,0,0,0,0,0,0,0,0,0,0,,
