Station,Date,Depth_m,Replicate,NH3_mg.L,NH3_MDL_mg.L,NOx_mg.L,NOx_MDL_mg.L,O-PO4_mg.L,O-PO4_MDL_mg.L,Si_mg.L,Si_MDL_mg.L,CHLA_N_ug/L,CHLA_N_MDL_ug/L
AlongBay_3,2021-02-16,0,1,0,0.0062,0.2327,0.0055,0.0357,0.0016,0.6238,0.062,0.263,0.001
AlongBay_3,2021-02-16,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0.299,0.001
AlongBay_3,2021-02-16,100,1,0,0.0062,0.2353,0.0055,0.0336,0.0016,0.6594,0.062,0.348,0.001
AlongBay_3,2021-02-16,100,2,0,0.0062,0.2353,0.0055,0.0339,0.0016,0.6485,0.062,0.401,0.001
AlongBay_6,2021-02-16,0,1,0,0.0062,0.2234,0.0055,0.0332,0.0016,0.6465,0.062,0.244,0.001
AlongBay_6,2021-02-16,0,2,0,0.0062,0.2249,0.0055,0.0347,0.0016,0.6448,0.062,0.27,0.001
AlongBay_6,2021-02-16,95,1,0,0.0062,0.2359,0.0055,0.0331,0.0016,0.6584,0.062,0.373,0.001
AlongBay_6,2021-02-16,95,2,0,0.0062,0.2366,0.0055,0.0358,0.0016,0.6188,0.062,0.432,0.001
AlongBay_10,2021-02-16,0,1,0,0.0062,0.2285,0.0055,0.0353,0.0016,0.5879,0.062,0.372,0.001
AlongBay_10,2021-02-16,0,2,0,0.0062,0.2291,0.0055,0.0358,0.0016,0.6025,0.062,0.397,0.001
AlongBay_10,2021-02-16,54,1,0,0.0062,0.2292,0.0055,0.0334,0.0016,0.7925,0.062,0.393,0.001
AlongBay_10,2021-02-16,54,2,0,0.0062,0.2271,0.0055,0.034,0.0016,0.7847,0.062,0.388,0.001
6_4,2021-02-16,0,1,0.0014,0.0062,0.2388,0.0055,0.0372,0.0016,0.6441,0.062,0.602,0.001
6_4,2021-02-16,0,2,0,0.0062,0.2406,0.0055,0.0371,0.0016,0.6468,0.062,0.423,0.001
