%Sample_ID,Date,Time,Latitude [degrees_north],Longitude [degrees_west],Depth [m],Sample Temp [deg_C],Salinity [PSS-78],CRM TCO2 [umol/kg],TA [umol_kg],pCO2 [uatm],pH [total],Omega_Arag
T9_6_4Nov2015,2015-11-04,21:45,59.57998,-151.37727,0,7.9,29.3,1949.683557,2082.520752,368.9190674,8.042699814,1.549939412
T9_1_4Nov2015_0m,2015-11-04,20:39,59.569,-151.35012,0,8.3,29.1,1967.343821,2086.276611,415.8687439,7.997986794,1.433271661
T9_10_4Nov2015_0m,2015-11-04,22:42,59.5931,-151.39708,0,7,28.3,1932.695425,2037.511475,414.6355286,7.990864277,1.288664157
T9_1_9Feb2016_0m,2016-02-09,13:55,59.569,-151.35012,0,5.9,28.2,1981.664419,2090.83252,395.9743347,8.018163681,1.338471202
T9_6_9Feb2016_0m_(1),2016-02-09,14:30,59.57998,-151.37727,0,5.4,29.2,1993.25427,2106.639404,388.9454041,8.023867607,1.368838605
T9_6_9Feb2016_0m_(2),2016-02-09,14:30,59.57998,-151.37727,0,5.4,29.2,1998.626139,2131.78125,341.4261169,8.079510689,1.552548435
T9_6_9Feb2016_97m_(1),2016-02-09,14:32,59.57998,-151.37727,97,6.4,29.7,2007.513141,2132.187012,384.5968323,8.02833271,1.451519898
T9_6_9Feb2016_97m_(2),2016-02-09,14:32,59.57998,-151.37727,97,6.4,29.7,2122.470964,2125.822754,1088.849365,7.606604099,0.589288471
T9_10_9Feb2016_0m,2016-02-09,15:06,59.5931,-151.39708,0,5.3,29.3,1999.517998,2112.489014,391.1623535,8.02225399,1.365879136
T9_1_7Apr2016_0m_(1),2016-04-07,14:05,59.5703,-151.358,0,6.5,26.2,1980.354975,2088.85791,387.4622803,8.035202026,1.352511971
T9_1_7Apr2016_0m_(2),2016-04-07,14:05,59.57030,-151.35800,0,6.50,26.2,1983.351489,2112.011719,336.9570618,8.094268799,1.543901435
