analysis date,description,sample date,sample ID,Sample T⁰C,Sample Depth,Sample Salinity (ppt),alk (µeq/kg),TCO2 (µmol/kg),pco2_in situ (µatm),co2aq (µmol/kg),bicarb (µmol/kg),co3 (µmol/kg),pHt,omega-C,omega-A
11/28/2017,T4,2016-12-13,T4_2_(1)_13Dec2016_103m,6.9,103,32.6,2141.93,2026.74,457.28,22.6,1914.59,89.55,7.96,2.062,1.333
11/28/2017,T4,2016-12-13,T4_2_(2)_13Dec2016_103m,6.9,103,32.6,2166.66,2004.88,335.8,16.6,1871.74,116.55,8.085,2.684,1.735
11/28/2017,T4,2016-12-13,T4_2_(3)_13Dec2016_103m,6.9,103,32.6,2145.14,2010.51,397.74,19.66,1890.47,100.38,8.015,2.311,1.495
11/28/2017,T4,2016-12-13,T4_4_(1)_13Dec2016_0m,6.9,0,32.5,2142.74,2064.65,611.74,30.26,1963.87,70.53,7.85,1.659,1.071
11/28/2017,T4,2016-12-13,T4_4_(2)_13Dec2016_0m,6.9,0,32.5,2131.82,2046.34,571.87,28.28,1944.12,73.93,7.875,1.739,1.123
11/28/2017,T4,2016-12-13,T4_4_(3)_13Dec2016_0m,6.9,0,32.5,2126.52,2027,509.5,25.2,1920.8,81,7.92,1.905,1.23
11/28/2017,T4,2016-12-13,T4_7_(1)_13Dec2016_0m,6.6,0,32.4,2161.12,2027.5,398.78,19.94,1907.14,100.41,8.022,2.364,1.526
11/28/2017,T4,2016-12-13,T4_7_(2)_13Dec2016_0m,6.6,0,32.4,2149.41,2028.85,434.56,21.73,1914.28,92.84,7.986,2.185,1.41
11/28/2017,T4,2016-12-13,T4_7_(3)_13Dec2016_0m,6.6,0,32.4,2164.92,2017.98,364.39,18.22,1891.64,108.11,8.058,2.545,1.642
11/28/2017,T9,2016-12-13,T9_1_(1)_13Dec2016_0m,6.7,0,32.5,2165.72,2023.67,379.74,18.91,1899.46,105.3,8.042,2.477,1.599
11/28/2017,T9,2016-12-13,T9_1_(2)_13Dec2016_0m,6.7,0,32.5,2147.23,2030.22,448.48,22.34,1917.06,90.82,7.973,2.136,1.379
11/28/2017,T9,2016-12-13,T9_1_(3)_13Dec2016_0m,6.7,0,32.5,2160,2017.46,376.81,18.77,1893.26,105.43,8.044,2.48,1.601
12/7/2017,T9,2017-01-11,T9_1_(1)_11Jan2017_0m,4.4,0,32.2,2192.63,2130.38,643.41,34.85,2032.07,63.47,7.835,1.498,0.963
12/7/2017,T9,2017-01-11,T9_1_(2)_11Jan2017_0m,4.4,0,32.2,2189.63,2112.46,567.25,30.72,2011.22,70.53,7.885,1.664,1.069
12/7/2017,T9,2017-01-11,T9_1_(3)_11Jan2017_0m,4.4,0,32.2,2140.55,2131.1,997.51,54.02,2035.98,41.1,7.645,0.97,0.623
12/13/2017,T9,2017-01-11,T9_6_(1)_11Jan2017_101m,4.9,101,32.1,2197.28,2146.79,725.94,38.63,2049.87,58.29,7.783,1.348,0.869
12/13/2017,T9,2017-01-11,T9_6_(2)_11Jan2017_101m,4.9,101,32.1,2186,2089.22,492.36,26.2,1982.62,80.4,7.937,1.86,1.198
12/13/2017,T9,2017-01-11,T9_6_(3)_11Jan2017_101m,4.9,101,32.1,2149.12,2071.56,561.24,29.87,1971.91,69.77,7.878,1.614,1.04
12/13/2017,T9,2017-01-11,T9_6_(1)_11Jan2017_0m,4.6,0,31.8,2184.84,2096.43,515.93,27.81,1992.44,76.19,7.923,1.804,1.16
