FID,Date,Time,POINT_X,POINT_Y,Class,Video_file,Subst_Orig,Subst_Cla,Sub_Subcl,Sub_Grp,Sub_Subgr,CMECS,Modifier,CMECSMod,Co_oc_el1,CMECS_1,Modifier_1,CMECSMod1,Co_oc_el2,CMECS_2,Modifier_2,CMECSMod2,Co_oc_el3,CMECS_3,Modifier_3,CMECSMod3,Co_oc_el4,CMECS_4,Modifier_4,CMECSMod4,Site_ID,Video_file_1,Boulder,Cobble,Pebble,Gravel,Shell,Sand,Mud,Kelp,Macroalgae,Filamentous_microalgae,Coralline_algae,Seagrass,Crab,Sponge,Sea_pen,Anemone,Sea_star,Urchin,Bryozoan,Tunicate,Nudibranch,Polychaete,Octopus,Clam_siphons,FID_1,Date_1,Time_1,POINT_X_1,POINT_Y_1,Class_1,Video_file_12,Subst_Orig_1,Subst_Cla_1,Sub_Subcl_1,Sub_Grp_1,Sub_Subgr_1,CMECS_12,Modifier_12,CMECSMod_1,Co_oc_el1_1,CMECS_12_13,Modifier_12_13,CMECSMod1_1,Co_oc_el2_1,CMECS_23,Modifier_23,CMECSMod2_1,Co_oc_el3_1,CMECS_34,Modifier_34,CMECSMod3_1,Co_oc_el4_1,CMECS_45,Modifier_45,CMECSMod4_1,Site_ID_1,Depth,Otters
1,7/12/2016 0:00,9:17 AM,-151.5918439,59.51113076,"mud, shell 0%",KBAY_2016_07_12_004_clip-1.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , , , , , , , , , , , , , , , , , ,2016_4,KBAY_2016_07_12_004_clip-1.mp4,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7/12/2016 0:00,9:17 AM,-151.5918439,59.51113076,"mud, shell 0%",KBAY_2016_07_12_004_clip-1.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , , , , , , , , , , , , , , , , , ,2016_4,-96.71893311,1
3,7/12/2016 0:00,8:51 AM,-151.5299566,59.48833076,"mud, shell 0%",KBAY_2016_07_12_008_clip-3.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , , , , , , , , , , , , , , , , , ,2016_8,KBAY_2016_07_12_008_clip-3.mp4,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7/12/2016 0:00,8:51 AM,-151.5299566,59.48833076,"mud, shell 0%",KBAY_2016_07_12_008_clip-3.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , , , , , , , , , , , , , , , , , ,2016_8,-80.43138885,1
4,7/13/2016 0:00,10:29 AM,-151.7095604,59.53576405,"mud, shell 0-<10%",KBAY_2016_07_13_024_clip-1.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_24,KBAY_2016_07_13_024_clip-1.mp4,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7/13/2016 0:00,10:29 AM,-151.7095604,59.53576405,"mud, shell 0-<10%",KBAY_2016_07_13_024_clip-1.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_24,-78.09359741,1
5,7/14/2016 0:00,4:14 PM,-151.3678435,59.61004497,"mud, shell 0-<10%",KBAY_2016_07_14_GOPRO_028_clip-1.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_28,KBAY_2016_07_14_GOPRO_028_clip-1.mp4,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7/14/2016 0:00,4:14 PM,-151.3678435,59.61004497,"mud, shell 0-<10%",KBAY_2016_07_14_GOPRO_028_clip-1.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_28,-62.26934052,1
6,7/10/2016 0:00,12:30 PM,-151.6491429,59.50116438,"mud, shell 10-<50%",KBAY_2016_07_10_033_clip-1.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_33,KBAY_2016_07_10_033_clip-1.mp4,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7/10/2016 0:00,12:30 PM,-151.6491429,59.50116438,"mud, shell 10-<50%",KBAY_2016_07_10_033_clip-1.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_33,-65.47824097,1
8,7/13/2016 0:00,9:11 AM,-151.6619007,59.51801347,"mud, shell 0-<10%",KBAY_2016_07_13_046_clip-2.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_46,KBAY_2016_07_13_046_clip-2.mp4,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7/13/2016 0:00,9:11 AM,-151.6619007,59.51801347,"mud, shell 0-<10%",KBAY_2016_07_13_046_clip-2.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_46,-104.9865036,1
11,7/11/2016 0:00,9:04 AM,-151.8110675,59.48348539,"mud, shell 50-<90%",KBAY_2016_07_11_056_clip-3.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10, , , , , , , , , , , , ,2016_56,KBAY_2016_07_11_056_clip-3.mp4,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7/11/2016 0:00,9:04 AM,-151.8110675,59.48348539,"mud, shell 50-<90%",KBAY_2016_07_11_056_clip-3.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10, , , , , , , , , , , , ,2016_56,-63.37552261,1
13,7/12/2016 0:00,10:33 AM,-151.5127947,59.54390608,"mud, shell 10-<50%",KBAY_2016_07_12_070_clip-5.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_70,KBAY_2016_07_12_070_clip-5.mp4,0,0,0,0,40,0,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,7/12/2016 0:00,10:33 AM,-151.5127947,59.54390608,"mud, shell 10-<50%",KBAY_2016_07_12_070_clip-5.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_70,-76.67883301,1
14,7/11/2016 0:00,9:28 AM,-151.8346958,59.47149712,"mud, shell 90-100%",KBAY_2016_07_11_076_clip-4.mp4,Biogenic,Shell,Shell Rubble, , ,S.2.5.2,Percent Cover 90% - 100%,PC11, , , , , , , , , , , , , , , , ,2016_76,KBAY_2016_07_11_076_clip-4.mp4,0,0,20,0,30,50,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,7/11/2016 0:00,9:28 AM,-151.8346958,59.47149712,"mud, shell 90-100%",KBAY_2016_07_11_076_clip-4.mp4,Biogenic,Shell,Shell Rubble, , ,S.2.5.2,Percent Cover 90% - 100%,PC11, , , , , , , , , , , , , , , , ,2016_76,-49.84768295,1
15,7/12/2016 0:00,9:32 AM,-151.6306253,59.5225286,"mud, shell 0%",KBAY_2016_07_12_082_clip-6.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , , , , , , , , , , , , , , , , , ,2016_82,KBAY_2016_07_12_082_clip-6.mp4,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7/12/2016 0:00,9:32 AM,-151.6306253,59.5225286,"mud, shell 0%",KBAY_2016_07_12_082_clip-6.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , , , , , , , , , , , , , , , , , ,2016_82,-108.2749176,1
