Latitude,Longitude,,hh,mm,ss.s,YYYY,MM,DD,Rec,Type,DstMark,Ang,DstLand,Dp,Spp  ,Numbe,Bin        ,Distance   ,Angle      ,Behavior   ,Comment1   ,Comment2   ,Scan Intvl ,OnOffSurvy ,Transect   ,Ice  ,Percn,Obsr ,Glare,Fog  ,Seas ,ObsCo,Wx   ,Ves  ,SryDs
58.872169,153.211502,,7,32,45.6,2021,5,1,104,USER ,0,0,,0,PALO ,1,           ,           ,           ,FLYING     ,           ,           ,60,NO         ,T6         ,NONE ,0,MREN ,3,N    ,0,EXLNT,0,SPIRI,300
58.872169,153.211502,0,7,32,53.5,2021,5,1,105,GPS  ,0,0,,0,     ,     ,           ,           ,           ,           ,           ,           ,60,NO         ,T6         ,NONE ,0,MREN ,3,N    ,0,EXLNT,0,SPIRI,300
58.87233,153.21199,2.64065E-07,7,33,13.6,2021,5,1,106,GPS  ,0,0,,0,     ,     ,           ,           ,           ,           ,           ,           ,60,NO         ,T6         ,NONE ,0,MREN ,3,N    ,0,EXLNT,0,SPIRI,300
58.872837,153.21167,3.59449E-07,7,33,27.6,2021,5,1,107,USER ,0,0,,0,     ,     ,           ,           ,           ,           ,START TRAN ,           ,60,YES        ,T6         ,NONE ,0,MREN ,3,N    ,0,EXLNT,0,SPIRI,300
58.872997,153.211334,1.38496E-07,7,33,33.5,2021,5,1,108,GPS  ,0,0,,0,     ,     ,           ,           ,           ,           ,           ,           ,60,YES        ,T6         ,NONE ,0,MREN ,3,N    ,0,EXLNT,0,SPIRI,300
58.873333,153.209671,2.87847E-06,7,33,51.5,2021,5,1,109,USER ,0,0,,0,PALO ,2,           ,           ,           ,           ,           ,           ,60,YES        ,T6         ,NONE ,0,MREN ,3,N    ,0,EXLNT,0,SPIRI,300
58.873501,153.20932,1.51425E-07,7,33,53.5,2021,5,1,110,GPS  ,0,0,,0,     ,     ,           ,           ,           ,           ,           ,           ,60,YES        ,T6         ,NONE ,0,MREN ,3,N    ,0,EXLNT,0,SPIRI,300
58.873665,153.208832,2.6504E-07,7,33,59.6,2021,5,1,111,USER ,0,0,,0,PIGU ,1,           ,           ,           ,FLYING     ,           ,           ,60,YES        ,T6         ,NONE ,0,MREN ,3,N    ,0,EXLNT,0,SPIRI,300
58.873837,153.207504,1.79317E-06,7,34,13.6,2021,5,1,112,GPS  ,0,0,,0,     ,     ,           ,           ,           ,           ,           ,           ,60,YES        ,T6         ,NONE ,0,MREN ,3,N    ,0,EXLNT,0,SPIRI,300
58.874332,153.205505,4.24103E-06,7,34,33.6,2021,5,1,113,GPS  ,0,0,,0,     ,     ,           ,           ,           ,           ,           ,           ,60,YES        ,T6         ,NONE ,0,MREN ,3,N    ,0,EXLNT,0,SPIRI,300
58.874836,153.203659,3.66173E-06,7,34,53.6,2021,5,1,114,GPS  ,0,0,,0,     ,     ,           ,           ,           ,           ,           ,           ,60,YES        ,T6         ,NONE ,0,MREN ,3,N    ,0,EXLNT,0,SPIRI,300
58.875164,153.202667,1.09165E-06,7,35,3.6,2021,5,1,115,USER ,0,0,,0,COLO ,1,           ,           ,           ,SCAN       ,           ,           ,60,YES        ,T6         ,NONE ,0,MREN ,3,N    ,0,EXLNT,0,SPIRI,300
58.875332,153.20166,1.04227E-06,7,35,13.6,2021,5,1,116,GPS  ,0,0,,0,     ,     ,           ,           ,           ,           ,           ,           ,60,YES        ,T6         ,NONE ,0,MREN ,3,N    ,0,EXLNT,0,SPIRI,300
