Date,Station,Taxon,Abundance (cells/L),Taxon
2/7/2019,T9-10,Achnanthes spp.,0,unknown pennate diatom
2/7/2019,T9-10,Actinoptychus senarius,0,unknown centric diatom (non-chain forming)
2/7/2019,T9-10,Actinocyclus octonarius,0,unknown centric diatom (non-chain forming)
2/7/2019,T9-10,Asterionellopsis glacialis,0,Asterionellopsis spp.
2/7/2019,T9-10,Asterionellopsis socialis,0,Asterionellopsis spp.
2/7/2019,T9-10,Asteromphalus heptactis,0,unknown centric diatom (non-chain forming)
2/7/2019,T9-10,Bacteriastrum spp.,0,Bacteriastrum spp.
2/7/2019,T9-10,Bacillaria paxilli,0,Bacillaria spp.
2/7/2019,T9-10,Cerataulina pelagica,0,Cerataulina spp.
2/7/2019,T9-10,Chaetoceros spp.,0.63,Chaetoceros spp.
2/7/2019,T9-10,Chaetoceros affinis,0,Chaetoceros spp.
2/7/2019,T9-10,Chaetoceros convolutus,0,Chaetoceros spp.
2/7/2019,T9-10,Chaetoceros contortus,0,Chaetoceros spp.
2/7/2019,T9-10,Chaetoceros danicus,0,Chaetoceros spp.
2/7/2019,T9-10,Chaetoceros debilis,0,Chaetoceros spp.
2/7/2019,T9-10,Chaetoceros decipiens,0,Chaetoceros spp.
2/7/2019,T9-10,Chaetoceros didymus,0,Chaetoceros spp.
2/7/2019,T9-10,Chaetoceros laciniosus,0,Chaetoceros spp.
2/7/2019,T9-10,Chaetoceros lorenzianus,0,Chaetoceros spp.
2/7/2019,T9-10,Chaetoceros radicans,0,Chaetoceros spp.
2/7/2019,T9-10,Chaetoceros rostratus,0,Chaetoceros spp.
2/7/2019,T9-10,Chaetoceros socialis,0,Chaetoceros spp.
2/7/2019,T9-10,Chaetoceros similis,0,Chaetoceros spp.
2/7/2019,T9-10,Chaetoceros subtilis,0,Chaetoceros spp.
2/7/2019,T9-10,Chaetoceros teres,0,Chaetoceros spp.
2/7/2019,T9-10,Chaetoceros vanheurckii,0,Chaetoceros spp.
2/7/2019,T9-10,Coscinodiscus spp.,5,Coscinodiscus spp.
2/7/2019,T9-10,Corethron sp.,0,Corethron sp.
2/7/2019,T9-10,Cylindrotheca closterium,1.25,Cylindrotheca closterium
2/7/2019,T9-10,Dactyliosolen fragilissimus,0,unknown pennate diatom
2/7/2019,T9-10,Dactyliosolen blavyanus,0,unknown pennate diatom
2/7/2019,T9-10,Ditylium brightwellii,1.88,Ditylium spp.
2/7/2019,T9-10,Detonula pumila,0,Detonula spp.
