hiresTax,lowresTax
Achnanthes spp.,unknown pennate diatom
Actinocyclus octonarius,unknown centric diatom (non-chain forming)
Actinoptychus senarius,unknown centric diatom (non-chain forming)
Akashiwa sanguinea,unknown dinoflagellate
Alexandrium spp.,Alexandrium spp.
Asterionellopsis glacialis,Asterionellopsis spp.
Asterionellopsis socialis,Asterionellopsis spp.
Asteromphalus heptactis,unknown centric diatom (non-chain forming)
Bacillaria paxilli,Bacillaria spp.
Bacteriastrum spp.,Bacteriastrum spp.
Centric diatoms,Centric diatoms
Cerataulina pelagica,Cerataulina spp.
Ceratium azoricum,unknown dinoflagellate
Ceratium fusus,Ceratium fusus
Ceratium horridum,unknown dinoflagellate
Ceratium lineatum,unknown dinoflagellate
Ceratium longipes,Ceratium longipes
Ceratium pentagum,unknown dinoflagellate
Ceratium tripos,unknown dinoflagellate
Chaetoceros affinis,Chaetoceros spp.
Chaetoceros contortus,Chaetoceros spp.
Chaetoceros convolutus,Chaetoceros spp.
Chaetoceros danicus,Chaetoceros spp.
Chaetoceros debilis,Chaetoceros spp.
Chaetoceros decipiens,Chaetoceros spp.
Chaetoceros didymus,Chaetoceros spp.
Chaetoceros laciniosus,Chaetoceros spp.
Chaetoceros lorenzianus,Chaetoceros spp.
Chaetoceros radicans,Chaetoceros spp.
Chaetoceros rostratus,Chaetoceros spp.
Chaetoceros similis,Chaetoceros spp.
Chaetoceros socialis,Chaetoceros spp.
Chaetoceros spp.,Chaetoceros spp.
Chaetoceros subtilis,Chaetoceros spp.
Chaetoceros teres,Chaetoceros spp.
Chaetoceros vanheurckii,Chaetoceros spp.
Cocconeis sp.,Cocconeis sp.
Corethron sp.,Corethron sp.
Coscinodiscus joneisanus,Coscinodiscus spp.
Coscinodiscus spp.,Coscinodiscus spp.
Cylindrotheca closterium,Cylindrotheca closterium
Dactyliosolen blavyanus,unknown pennate diatom
Dactyliosolen fragilissimus,unknown pennate diatom
Detonula pumila,Detonula spp.
Dictyocha fibula,Dictyocha spp.
Dictyocha speculum,Dictyocha spp.
Dinophysis acuminata,Dinophysis spp.
Dinophysis fortii,Dinophysis spp.
Dinophysis norvegica,Dinophysis spp.
Dinophysis parva,Dinophysis spp.
Diplopeltopsis sp.,unknown dinoflagellate
Dissodinium pseudolumula,unknown dinoflagellate
Ditylium brightwellii,Ditylium spp.
Eucampia zodiacus,Eucampia spp.
Euglena,Euglena
Fragilariopsis spp.,Fragilariopsis spp.
Gonyaulax digitale,Gonyaulax spp.
Gonyaulax spinifera,Gonyaulax spp.
Gonyaulax vetor,Gonyaulax spp.
Grammatophora spp.,Grammatophora spp.
Guinardia delicatula,Guinardia spp.
Guinardia striata,Guinardia spp.
Gymnodinium spp.,unknown dinoflagellate
Gyrodinium sp.,unknown dinoflagellate
Heterocapsa triquetra,Heterocapsa triquetra
Karenia sp.,Karenia sp.
Kofoidinium sp.,Kofoidinium sp.
Lauderia annulata,Lauderia annulata
Leptocylindrus danicus,Leptocylindrus spp.
Leptocylindrus medditerium,Leptocylindrus spp.
Leptocylindrus minimum,Leptocylindrus spp.
Licmophora spp.,Licmophora spp.
Melosira moniliformis,Melosira spp.
Mesodinium rubrum,Mesodinium rubrum
naked ciliates,naked ciliates
Navicula spp.,Navicula spp.
Nitzschia spp.,Nitzschia spp.
Noctiluca scintillans,Noctiluca scintillans
Odontella aurita,Odontella spp.
Odontella spp.,Odontella spp.
Paralia sulcata,unknown centric diatom (chain forming)
Pennate diatoms,unknown pennate diatom
Phalacroma rotundatum,unknown dinoflagellate
Pinnulia sp.,unknown pennate diatom
Planktoniella sol,Planktoniella sol
Planktoniella sp.,unknown centric diatom (non-chain forming)
Pleurosigma sp.,Pleurosigma spp.
Polykrikos schwarzii,unknown dinoflagellate
Proboscia alata,unknown pennate diatom
Prorocentrum gracile,Prorocentrum spp.
Prorocentrum micans,Prorocentrum spp.
Prorocentrum minimum,Prorocentrum spp.
Proroceratium reticulatum,unknown dinoflagellate
Protoperidinium bipes,Protoperidinium spp.
Protoperidinium spp.,Protoperidinium spp.
Pseudo-nitzschia deli/p-deli,Pseudo-nitzschia spp.
Pseudo-nitzschia fraud/aust,Pseudo-nitzschia spp.
Pseudo-nitzschia multi/pung,Pseudo-nitzschia spp.
Pyrophacus horologium,unknown dinoflagellate
Rhizosolenia setigera,Rhizosolenia spp.
Rhizosolenia sp.,Rhizosolenia spp.
Rhizosolenia styliformis,Rhizosolenia spp.
Scrippsiella trochoidea,Scrippsiella spp.
Skeletonema costatum,Skeletonema spp.
small dino,unknown dinoflagellate
Stephanopyxis spp.,Stephanopyxis spp.
Surirella spp.,unknown pennate diatom
Synedra sp.,unknown pennate diatom
Thalassionema nitzschioides,Thalassionema spp.
Thalassiosira nordenskioeldii,Thalassiosira spp.
Thalassiosira rotula,Thalassiosira spp.
Thalassiosira spp.,Thalassiosira spp.
Thalassiosira subtilis,Thalassiosira spp.
Thalassiothrix longissum,unknown pennate diatom
tintinnids,tintinnids
Torodinium robustum,unknown dinoflagellate
Tropidoneis antarctica var. polypkasta,unknown pennate diatom
