"Date","Sampling location","Alexandrium spp.","Ceratium furca","Ceratium fusus","Ceratium longipes","Dinophysis spp.","Gonyaulax spp.","Heterocapsa spp.","Karenia mikimotoi","Noctiluca scintillans","Prorocentrum spp.","Prorocentrum lima","Prorocentrum micans","Protoperidinium spp.","Scrippsiella spp.","unknown dinoflagellate","Asterionellopsis spp.","Bacillaria spp.","Bacteriastrum spp.","Bacteriosira spp.","Cerataulina spp.","Chaetoceros spp.","Coccolithophore spp.","Coscinodiscus spp.","Corethron spp.","Cylindrotheca closterium","Detonula spp.","Dictyocha spp.","Ditylum spp.","Entomoneis spp.","Eucampia spp.","Fragilariopsis spp.","Grammatophora spp.","Guinardia spp.","Hemiaulus spp.","Lauderia spp.","Leptocylindrus spp.","Licmorpha spp.","Lioloma spp.","Melosira spp.","Navicula spp.","Nitzschia spp.","Odontella spp.","Pleurosigma spp.","Pseudo-nitzschia spp.","Rhizosolenia spp.","Skeletonema spp.","Stephanopyxis spp.","Striatella spp.","Thalassionema spp.","Thalassiosira spp.","unknown centric diatom (chain-forming)","unknown centric diatom (non chain-forming)","unknown pennate diatom"
2013-06-06,"Bear Cove B",0,0,0,0,0,0,0,0,0,148.75,0,0,2231.25,0,0,0,0,0,0,0,957206.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743.75,148.75,1785,0,0,0,1338.75,0,0,0
2012-07-02,"China Poot B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8330,0,0,0,2975,1190,595,1190,13685,0,14280,0,0,0,1785,0,0,0
2012-07-02,"China Poot B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311875.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-06,"China Poot B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336918.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11453.75,0,0,0,0,0,0,0,2380,0,0,0,148.75,0,892.5,0,0,0
2012-07-02,"Halibut Cove A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143395,0,0,0,0,0,0,0,0,0,38675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-02,"Halibut Cove B",0,0,0,0,0,0,0,0,0,0,0,0,5081.3,0,5081.3,0,0,0,0,0,731707.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5081.3,5081.3,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-06,"Halibut Cove B",0,0,0,0,148.75,0,0,0,0,3272.5,0,0,1933.75,0,0,0,0,0,0,0,532525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.75,9668.75,0,0,0,0,0,0,0,0,0
2012-06-25,"Halibut Cove C",0,0,0,0,0,0,57120,0,7140,0,14280,7140,0,0,28560,0,0,0,0,0,456960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14280,0,49980,0,0,0,42840,0,0,0
2012-05-11,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-18,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-30,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302379,0,0,0,0,0,0,0,0,7497,0,0,0,0,0,0,0,0,0,4998,2499,0,0,0,0,0,0,2499,0,12495,0,0,0
2012-06-04,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402339,0,0,2499,0,0,2499,0,0,4998,0,0,0,0,0,0,0,0,0,14994,9996,0,0,0,2499,27489,0,0,4998,37485,0,0,0
2012-06-12,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,2165.8,0,0,0,0,0,0,0,4331.6,0,1009262.8,0,0,0,0,0,0,0,0,6497.4,0,0,6497.4,0,0,2165.8,0,0,0,8663.2,6497.4,0,0,10829,0,17326.4,0,0,0,67139.8,0,0,0
2012-06-21,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423830.4,0,10662.4,0,0,0,0,0,0,0,5331.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85299.2,0,0,0
2012-06-28,"Jakolof Bay Dock",0,0,0,0,0,0,4165,0,0,0,0,0,4165,8330,0,0,0,0,0,0,1037085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33320,0,0,0,0,4165,0,0,0,0,0,0,0,0,162435,0,0,0
2012-07-13,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-27,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-17,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-31,"Jakolof Bay Dock",0,0,0,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-07,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,297.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-14,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14577.5,0,0,0,0,0,0,0,0,0
2012-09-28,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2189.6,0,0,0,0,0,0,0,0,0
2012-10-05,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677.5,0,0,0,0,0,297.5,0,0,0
2012-10-26,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-30,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-18,"Jakolof Bay Dock",0,99.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-14,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-05,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380,0,0,0,0,0,0,2380,0,0,0,3570,0,0,0
2013-04-10,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,2975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,1190,0,0,0,1190,0,0,3570,0,0,3570,7140,0,0,0
2013-04-12,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2975,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,595,0,0,0,0,2975,0,0,0
2013-04-16,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12197.5,0,1041.25,0,0,0,0,0,0,0,297.5,1487.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-07,"Jakolof Bay Dock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1361062.5,0,0,0,0,3421.25,0,0,0,0,2231.25,0,0,0,0,4908.75,0,0,446.25,446.25,892.5,0,0,8925,446.25,1785,0,0,0,0,0,0,0
