Collected as part of GulfWatch on predefined stations in Kachemak Bay concurrent with zooplankton and CTD
station,Date,time,Latitude_DD,Longitude_DD,Transect,StationN,Alexandrium.spp.,Asterionellopsis.spp.,Bacillaria.spp.,Bacteriastrum.spp.,Bacteriosira.spp.,Centric.diatoms,Cerataulina.spp.,Ceratium.furca,Ceratium.fusus,Ceratium.longipes,Chaetoceros.spp.,Coccolithophore.spp.,Cocconeis.sp.,Corethron.sp.,Corethron.spp.,Coscinodiscus.joneisanus,Coscinodiscus.spp.,Cylindrotheca.closterium,Detonula.spp.,Dictyocha.fibula,Dictyocha.spp.,Dinophysis.spp.,Ditylium.spp.,Ditylum.spp.,Entomoneis.spp.,Eucampia.spp.,Euglena,Fragilariopsis.spp.,Gonyaulax.spp.,Gonyaulax.vetor,Grammatophora.spp.,Guinardia.spp.,Hemiaulus.spp.,Heterocapsa.spp.,Heterocapsa.triquetra,Karenia.mikimotoi,Karenia.sp.,Kofoidinium.sp.,Lauderia.annulata,Lauderia.spp.,Leptocylindrus.medditerium,Leptocylindrus.spp.,Licmophora.spp.,Licomorpha.spp.,Lioloma.spp.,Melosira.spp.,Mesodinium.rubrum,naked.ciliates,Navicula.spp.,Nitzschia.spp.,Noctiluca.scintillans,Odontella.aurita,Odontella.spp.,Planktoniella.sol,Pleurosigma.spp.,Prorocentrum.lima,Prorocentrum.micans,Prorocentrum.spp.,Protoperidinium.spp.,Pseudo.nitzschia.spp.,Rhizosolenia.spp.,Scrippsiella,Scrippsiella.spp.,Skeletonema.spp.,Stephanopyxis.spp.,Striatella.spp.,Thalassionema.spp.,Thalassiosira.spp.,Thalassiosira.subtilis,tintinnids,unknown.centric.diatom..chain.forming.,unknown.centric.diatom..non.chain.forming.,unknown.dinflagellate,unknown.dinoflagellate,unknown.pennate.diatom
Bear_B,2013-06-06,,59.72,-151.0276,subbay,Bear Cove inner,0,0,0,0,0,0,0,0,0,0,957206.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.75,2231.25,743.75,148.75,0,0,1785,0,0,0,1338.75,0,0,0,0,0,0,0
Chinapoot_B,2012-07-02,,59.5622,-151.2489,subbay,China Poot inner,0,0,0,0,0,0,0,0,0,0,1198330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8330,0,0,0,0,0,0,2975,1190,0,0,595,0,1190,0,0,0,0,13685,0,0,0,14280,0,0,0,1785,0,0,0,0,0,0,0
Chinapoot_B,2012-07-02,,59.5622,-151.2489,subbay,China Poot inner,0,0,0,0,0,0,0,0,0,0,311875.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinapoot_B,2013-06-06,,59.5622,-151.2489,subbay,China Poot inner,0,0,0,0,0,0,0,0,0,0,336918.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11453.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380,0,0,0,0,0,148.75,0,892.5,0,0,0,0,0,0,0
Halibut_A,2012-07-02,,59.6084,-151.2436,subbay,Halibut outer,0,0,0,0,0,0,0,0,0,0,143395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halibut_B,2012-07-02,,59.5979,-151.1816,subbay,Halibut east,0,0,0,0,0,0,0,0,0,0,731707.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5081.3,5081.3,0,0,0,0,0,0,0,0,5081.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5081.3,0
Halibut_B,2013-06-06,,59.5979,-151.1816,subbay,Halibut east,0,0,0,0,0,0,0,0,0,0,532525,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,0,3272.5,1933.75,9668.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halibut_C,2012-06-25,,59.5712,-151.1963,subbay,Halibut Cove Lagoon,0,0,0,0,0,0,0,0,0,0,456960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7140,0,0,0,0,14280,7140,0,0,14280,0,0,0,49980,0,0,0,42840,0,0,0,0,0,28560,0
Jakolof_Dock,2012-05-11,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakolof_Dock,2012-05-18,,59.4657,-151.536,land,Jackolof_Dock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
